key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Description,Description{Enhanced},Tooltip,SpecialAction{Name},SpecialAction{Description},Attack,Defense,Speed,HasAreaAttack,Strength{Gate},Strength{Eye},Strength{Shield},Strength{Arcana},MinionSkillType
int32,str,str,str,str,str,byte,byte,byte,bit&01,bit&02,bit&04,bit&08,bit&10,MinionSkillType
0,"","","","","",100,100,3,False,False,False,False,False,0
1,"Summon your cherry bomb minion─a miniature recreation of a voidsent bomb, created via the thaumaturgical rendering of umbrally charged aetherial energy. Guaranteed never to self-destruct, or your gil back.","To maintain the white-hot temperatures within their cores, bombs will feed upon almost any combustible material, including wood, charcoal, ceruleum, fire crystals, and even dragon peppers.","Brilliant bombs─
breathtaking,
beautiful, brilliant!
  - Acolyte Ba Go","Self-destruct","Delivers an attack with a potency of 300 to all enemies within range. The action party is immediately withdrawn from the playing field after execution.",30,40,2,False,False,True,True,False,1
2,"Summon your mammet #001 minion─a fully operational clockwork puppet built in a joint effort by the Alchemists' and Goldsmiths' Guilds.","The standard frill-free #001 model is not only the best-selling mammet on the market, but is the blueprint on which all other clockwork servitors are based.","Mammets can't
even taste food!
  - Serendipity","Deconstruct","Disarms deployed enemy traps.",25,45,1,False,True,True,False,True,6
3,"Summon your wayward hatchling minion. Until he finds his real mother, you'll have to suffice.","Even if this orphaned avian were to stumble across his birth parent, chances are he would not even blink an eye, for it is well documented that immediately after hatching, chocobos recognize the first thing they see as their mother─that being you.","Whoa, whoa, whoa!
Hooold your chocobos.
  - Buscarron","Choco Shuffle","Inflicts a weakness to <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>critters<UIGlow>01</UIGlow><UIForeground>01</UIForeground> on all enemies within range.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s",60,30,3,False,True,True,False,False,4
4,"Summon your Cait Sith minion. The ever-extended tail helps the kitten keep his balance.","The clockwork rendition of an enigmatic cat spirit from the pages of Midlander mythology, Goldsmiths' Guild guildmaster Serendipity crafted this lifelike figurine to bring joy to those children who were orphaned in the Calamity.","What may be a few to
you was everything to
those who died...
  - Cait Sith","Toy Soldier","Grants 10 action points to all allies within range who do not have similar actions.",55,65,2,False,True,False,True,False,3
5,"Summon your baby behemoth minion. We can only hope his mother doesn't come looking for him.","Obtainable in Ul'dah's Sapphire Avenue Exchange for a fistful of coin and a smile, the pedigree of this baby beast is questionable at best. While displaying many behemoth-like features─a sleek violet hide, hungry eyes, and two polished horns─its squealing is not unlike a boar at slaughter.","Disaster follows the man
like a behemoth chasing
a butterfly.
  - Chechezan","Wild Horn","Delivers an attack with a potency of 230 to all enemies within range.",45,30,3,True,False,False,False,False,1
6,"Summon your mammet #003L minion─a fully operational clockwork puppet built for the Maelstrom.","Designed to be a standard-bearer in Maelstrom company parades, these handcrafted automata were soon decommissioned due to the fact that their small stature ensured that no one could see the flags they carried.","Feelings! Maybe she just
doesn't feel like part of
the team!?
  - Wedge","Storm Standard","Reduces DEF of all enemies within range by 50%.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s",30,45,1,False,True,False,True,True,4
7,"Summon your mammet #003G minion─a fully operational clockwork puppet built for the Order of the Twin Adder.","Designed to be a standard-bearer in Order of the Twin Adder company parades, these handcrafted automata were soon decommissioned due to the fact that their small stature ensured that no one could see the flags they carried.","Feelings! Maybe she just
doesn't feel like part of
the team!?
  - Wedge","Serpent Standard","Grants 10 action points to all allies within range who do not have similar actions.",35,55,1,True,True,False,False,True,3
