key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
#,,Quest,,Text[0],Image[0],Text[1],Image[1],Text[2],Image[2],Text[3],Image[3],Text[4],Image[4],Text[5],Image[5],Text[6],Image[6],Text[7],Image[7],Text[8],Image[8],Text[9],Image[9],Text[10],Image[10],
int32,byte,Quest,byte,DescriptionString,Image,DescriptionString,Image,DescriptionString,Image,DescriptionString,Image,DescriptionString,Image,DescriptionString,Image,DescriptionString,Image,DescriptionString,Image,DescriptionString,Image,DescriptionString,Image,DescriptionString,Image,uint16
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,0,0,0,30,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1,0,0,0,32,0,33,86001,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2,0,0,0,35,0,36,86002,37,86003,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3,0,0,0,39,0,40,86004,41,86005,42,86006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.4,0,0,0,43,0,44,0,45,86007,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,47,0,48,0,49,86008,50,86009,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.6,0,0,0,52,0,53,0,54,0,55,0,56,0,57,0,58,0,0,0,0,0,0,0,0,0,0
4.7,0,0,0,59,0,60,0,61,86010,62,86011,63,86012,64,86013,65,86014,66,86015,67,0,0,0,0,0,0
4.8,0,0,0,68,0,69,86016,70,0,71,180501,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.9,0,0,0,73,0,74,86017,75,86018,76,0,77,0,78,180502,0,0,0,0,0,0,0,0,0,0,0
4.10,0,0,0,79,0,80,0,81,180503,82,180504,83,0,84,0,85,180505,0,0,0,0,0,0,0,0,0
4.11,0,0,0,86,0,87,0,88,180506,89,0,90,0,488,0,0,0,0,0,0,0,0,0,0,0,0
4.12,0,0,0,91,0,92,0,93,180507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.13,0,0,0,94,0,95,86019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,0,0,0,97,0,98,0,99,86020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1,0,0,0,100,0,101,0,102,0,103,180508,104,0,105,0,0,0,0,0,0,0,0,0,0,0,0
5.2,0,0,0,115,0,116,86045,117,86046,118,0,119,180513,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,0,0,0,122,0,123,86021,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1,0,0,0,125,0,126,86022,127,86023,128,86024,129,86025,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2,0,0,0,130,0,131,86026,132,86027,133,86028,134,86029,135,86030,136,86031,0,0,0,0,0,0,0,0,0
6.3,0,0,0,137,0,138,86032,139,86033,140,86034,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4,0,0,0,142,0,143,86035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,144,0,145,86036,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,0,0,0,153,0,154,86039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.1,0,0,0,155,0,156,86040,157,86041,158,86042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,0,0,0,159,0,160,86043,161,86044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
