key,0,1,2,3,4,5,6,7,8,9,10,11
#,,,,,,,,,,,,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,uint16,bit&01,uint32,uint32
0,"無効値",0,"",0,0,0,0,0,25422,False,0,0
1,"食い荒らされたパンプキン",0,"",0,0,0,0,0,30825,True,63963,2013171
2,"食い荒らされたキャベツ",0,"",0,0,0,0,0,30826,True,63963,2013172
3,"トワランツリー",0,"",0,0,0,0,0,30164,False,63964,2013173
4,"パームツリー",0,"",0,0,0,0,0,30165,False,63964,2013174
5,"アイルアップルツリー",0,"",0,0,0,0,0,30167,False,63964,2013175
6,"マホガニーツリー",0,"",0,0,0,0,0,30166,False,63964,2013176
7,"青みを帯びた岩",0,"",0,0,0,0,0,30933,False,63965,2013177
8,"白いなめらかな岩",0,"",0,0,0,0,0,30934,False,63965,2013178
9,"結晶を帯びた岩",0,"",0,0,0,0,0,30935,False,63965,2013179
10,"土山",0,"",0,0,0,0,0,30936,False,63966,2013180
11,"成熟しきったポポト",0,"",0,0,0,0,0,30937,True,63963,2013181
12,"成熟しきったパースニップ",0,"",0,0,0,0,0,30938,True,63963,2013182
13,"川底の砂",0,"",0,0,0,0,0,30939,True,63966,2013183
14,"サトウキビ",0,"",0,0,0,0,0,31139,True,63963,2013184
15,"綿花",0,"",0,0,0,0,0,31181,True,63963,2013185
16,"サイザルアサ",0,"",0,0,0,0,0,31165,True,63963,2013186
17,"大きな貝",0,"",0,0,0,0,0,30168,True,63967,2013187
18,"海藻の茂み",0,"",0,0,0,0,0,30848,True,63967,2013188
19,"珊瑚礁",0,"",0,0,0,0,0,30849,True,63967,2013189
20,"深い黒色の岩",0,"",0,0,0,0,0,31232,False,63965,2013190
21,"水晶塊",0,"",0,0,0,0,0,31230,False,63965,2013191
22,"まだら模様の岩",0,"",0,0,0,0,0,31231,False,63965,2013192
