key,0,1,2,3,4,5,6,7,8,9,10,11
#,XpMultiplier[0],XpMultiplier[1],,,CurrencyMultiplier[0],CurrencyMultiplier[1],,,,,,
int32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1200,1100,1100,1200,1200,1100,1100,1200,1200,1100,1100,1200
2,1300,1150,0,1200,1200,1100,0,1200,1200,1100,0,1200
3,1300,1150,0,1200,1200,1100,0,1200,1200,1100,0,1200
4,1300,1150,0,1200,1300,1100,0,1200,1300,1100,0,1200
5,1300,1150,0,1200,1300,1150,0,1200,1300,1150,0,1200
6,1300,1150,0,1200,1200,1100,0,1200,1200,1100,0,1200
7,1300,1150,0,1200,1200,1100,0,1200,1200,1100,0,1200
8,1300,1150,0,1200,1300,1150,0,1200,1300,1150,0,1200
9,1300,1150,0,1200,1300,1150,0,1200,1300,1150,0,1200
10,1500,1250,0,1200,3600,1900,0,1200,1500,1250,0,1200
11,1500,1250,0,1200,3800,2000,0,1200,1500,1250,0,1200
12,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0
