key,0,1,2,3,4,5,6,7,8,9,10
#,Category,SubType,Image,,UnlockCondition,,,,SortKey,Name,
int32,byte,byte,Image,byte,BannerCondition,uint16,uint16,uint16,byte,uint16,str
0,0,0,0,0,1,0,0,0,0,0,"None"
1,2,0,194002,0,1,0,0,0,1,1,"Glossy"
2,2,0,194003,0,1,0,0,0,1,6,"Squares"
3,2,0,194004,0,1,0,0,0,1,7,"Dots"
4,2,0,194005,0,1,0,0,0,1,8,"Checkerboard"
5,2,0,194006,0,1,0,0,0,1,2,"Grid"
6,2,0,194007,0,1,0,0,0,1,3,"Diagonal Lines"
7,2,0,194008,0,1,0,0,0,1,4,"Diagonal Slice"
8,2,0,194009,0,1,0,0,0,1,5,"Triangles"
9,2,0,194010,0,1,0,0,0,1,10,"Vellum"
10,2,0,194011,0,1,0,0,0,1,9,"Corner Accent"
11,1,0,195002,0,1,0,0,0,1,1,"Shadow"
12,1,0,195003,0,1,0,0,0,1,2,"Light"
13,1,0,195004,0,1,0,0,0,1,3,"Dots"
14,1,0,195005,0,1,0,0,0,1,4,"Notebook"
15,1,0,195006,0,1,0,0,0,1,5,"Scrapbook"
16,1,0,195007,0,1,0,0,0,1,6,"Arcane Sigil"
17,1,0,195008,0,1,0,0,0,1,7,"Vellum"
18,1,0,195009,0,1,0,0,0,1,8,"Paint"
19,1,0,195010,0,1,0,0,0,1,9,"Metal Signboard"
20,1,0,195011,0,1,0,0,0,1,10,"Parchment Stack"
21,3,0,197002,0,1,0,0,0,1,3,"Banner"
22,3,0,197003,0,1,0,0,0,1,4,"Welcome Back"
23,3,0,197004,0,1,0,0,0,1,5,"Curved Metal"
24,3,0,197005,0,1,0,0,0,1,6,"Tank Marker"
25,3,0,197006,0,1,0,0,0,1,8,"DPS Marker"
26,3,0,197007,0,1,0,0,0,1,7,"Healer Marker"
27,3,0,197008,0,1,0,0,0,1,1,"Simple"
28,3,0,197009,0,1,0,0,0,1,2,"Beveled"
29,3,0,197010,0,1,0,0,0,1,9,"Notes"
30,3,0,197011,0,1,0,0,0,1,10,"Scrapbook"
31,4,0,198002,0,1,0,0,0,1,3,"Black"
32,4,0,198003,0,1,0,0,0,1,2,"White"
33,4,0,198004,0,1,0,0,0,1,5,"Gemstone Inlay (Thick)"
34,4,0,198005,0,1,0,0,0,1,4,"Gemstone Inlay (Thin)"
35,4,0,198006,0,1,0,0,0,1,6,"Limsa Lominsa"
36,4,0,198007,0,1,0,0,0,1,7,"Gridania"
37,4,0,198008,0,1,0,0,0,1,8,"Ul'dah"
38,4,0,198009,0,1,0,0,0,1,1,"Metal"
39,4,0,198010,0,298,0,0,0,1,10,"Triple Triad Ex."
40,4,0,198011,0,298,0,0,0,1,9,"Triple Triad"
41,5,0,199002,0,1,0,0,0,1,1,"Gil"
42,5,0,199003,0,1,0,0,0,1,2,"Quill"
43,5,0,199004,0,1,0,0,0,1,3,"Stickers"
44,5,0,199005,0,1,0,0,0,1,4,"Maps"
45,5,0,199006,0,1,0,0,0,1,5,"Ribbon"
46,5,0,199007,0,1,0,0,0,1,6,"Letters"
47,5,0,199008,0,1,0,0,0,1,7,"Music"
48,5,0,199009,0,1,0,0,0,1,8,"Bouquet"
49,5,0,199010,0,1,0,0,0,1,9,"Notes"
50,5,0,199011,0,1,0,0,0,1,10,"Stamps"
51,2,0,194201,0,156,0,0,0,2,2000,"Gladiator"
52,2,0,194202,0,157,0,0,0,2,2001,"Marauder"
53,2,0,194203,0,158,0,0,0,2,2002,"Conjurer"
54,2,0,194204,0,159,0,0,0,2,2003,"Pugilist"
55,2,0,194205,0,160,0,0,0,2,2004,"Lancer"
56,2,0,194206,0,161,0,0,0,2,2005,"Rogue"
57,2,0,194207,0,162,0,0,0,2,2006,"Archer"
58,2,0,194208,0,163,0,0,0,2,2007,"Thaumaturge"
59,2,0,194209,0,164,0,0,0,2,2008,"Arcanist"
60,2,0,194210,0,300,0,0,0,2,2050,"Paladin"
61,2,0,194211,0,301,0,0,0,2,2051,"Warrior"
62,2,0,194212,0,302,0,0,0,2,2052,"Dark Knight"
63,2,0,194213,0,303,0,0,0,2,2053,"Gunbreaker"
64,2,0,194214,0,304,0,0,0,2,2054,"White Mage"
65,2,0,194215,0,305,0,0,0,2,2055,"Scholar"
66,2,0,194216,0,306,0,0,0,2,2056,"Astrologian"
67,2,0,194217,0,307,0,0,0,2,2057,"Sage"
68,2,0,194218,0,308,0,0,0,2,2058,"Monk"
69,2,0,194219,0,309,0,0,0,2,2059,"Dragoon"
70,2,0,194220,0,310,0,0,0,2,2060,"Ninja"
71,2,0,194221,0,311,0,0,0,2,2061,"Samurai"
