key,0,1,2
#,,,
int32,single,single,single
0,0,0,1
1,-0.076,-0.024,1.5
2,-0.08,-0.02,1.38
3,-0.07,-0.03,1.4
4,-0.07,-0.03,1.4
5,-0.1,-0.014,1.4
6,-0.1,-0.014,1.4
7,-0.1,-0.042,1.52
8,-0.1,-0.042,1.52
9,-0.09,-0.044,1.2
10,-0.09,-0.044,1.2
11,-0.1,-0.03,1.3
12,-0.1,-0.03,1.3
13,0,0,1
14,-0.1,-0.02,1.5
15,-0.1,-0.02,1.38
16,-0.1,-0.02,1.4
17,-0.1,-0.02,1.4
18,-0.1,-0.014,1.4
19,-0.1,-0.014,1.4
20,-0.11,-0.02,1.4
21,-0.11,-0.02,1.4
22,-0.094,-0.015,1.26
23,-0.094,-0.015,1.26
24,-0.05,-0.024,1.48
25,-0.05,-0.024,1.48
