key,0
#,
int32,str
0,""
1,"Sinus Ardorum is in dire need of materials to support the construction and development of the Moongate Hub, an intrastellar transportation system, on-site domiciles, and infrastructure necessary for travel to other stars. Of these materials, metal plating is some of the highest in demand, specifically that which meets the strict regulations of cosmic exploration. We seek talented crafters capable of fulfilling our metallurgical needs."
2,"Lunar adamantite is a mineral unique to the moon, but it seems that the samples collected within Sinus Ardorum exhibit even greater durability than what we've encountered thus far─a property that could prove extremely useful in the construction of starships and various other moon-based facilities. We call upon skilled metalworkers to forge a steady supply of ingots from our stockpiled ore that we might explore and develop new applications for use in our cosmic initiative."
3,"The Cosmic Exploration Initiative employs a wide range of machinery, but supplying individually tailored parts for the maintenance of each device on-site would lead to astronomical operation costs. To alleviate this expense, we've imposed a “cosmic standard” on all basic components used in our equipment. Recent reports cite an alarming shortage of the joints and shafts needed to keep the facilities running, and we are welcoming all contributions forged to the aforementioned specifications."
4,"As the initiative grows in scale, more mission members are reporting that they lack the necessary tools to carry out their work, or that they must work with tools in poor repair. If this is allowed to continue, it will have a serious impact on efficiency and morale. To ensure that our mission stays on course, we request contributions of equipment, with a focus on those that have been prone to shortage."
5,"Our researchers have discovered meteorites in the Fallen Tears that yield a range of useful minerals. However, an analysis has revealed that there are volatile elements in their composition, and an experienced hand is required in their processing. We seek skilled artisans to test refine the raw materials to determine whether they can be a viable resource for the initiative."
6,"As appears to be characteristic of Sharlayan itself, the initiative has been welcoming new members from all corners of Etheirys. Thus, when it comes to devising a comforting “home away from home” environment for this eclectic cohort, simply borrowing elements from any singular culture will not suffice. We request all veteran artisans to submit recreations of Etheirys furnishings that we might build a broad selection of regional styles."
7,"For our next round of testing, we'd like to ascertain the degree of precision crafting that can be attained using the moon's native materials. Replicating Etheirys's engineered goods will provide us an initial reference point, but we are hopeful that the lessons learned during this process will be applicable to future initiative projects. Ideally, these parts will be used to improve Moongate Hub facilities, so contributing artisans should concentrate on demonstrating fine detail while also preserving the necessary function. "
8,"Although the moon is bathed in the same sunlight and starlight as Etheirys, the lack of atmosphere to scatter this light makes for dark skies and darker shadows. In order to maintain a properly lit working environment throughout our facilities, we request that all available artisans turn their hands to the manufacture of specified illumination devices."
9,"Several of our new Etheirys colleagues have lodged complaints concerning Sinus Ardorum's “cold,” “dark,” and “impractical” working conditions. While we are unable to address every source of dissatisfaction, requests for improvement are taken very seriously as we strive to provide the most comfortable environment possible. Qualified artisans are encouraged to participate in this endeavor through the manufacture of optimized tools and equipment."
10,"Expeditions into the lunar nadir have detected promising sources of liquid and gaseous fuels which, when properly researched and developed, will prove highly valuable in future initiative applications. To that end, we request the construction of the tanks and containers necessary for safely storing and transporting these resources to the Moongate Hub."
11,"Interior construction in the Moongate Hub employs the basic materials recommended by our current guidelines. It is problematic, however, to assume that this same standard of structural integrity will suffice once the initiative progresses to unknown─and potentially less hospitable─reaches of the cosmos. We hope to preemptively solve this issue by refitting facilities with materials of greater durability, and request skilled artisans to manufacture replacement partitions and other interior components from sturdy metals."
12,"As the initiative progresses, the scale of inventory management, not to mention the number of people taking up residence on base, continues to expand at a rapid pace. We find ourselves in need of larger storage solutions, as well as general amenities such as benches and lighting equipment. In the case of bulky or complex items, we request that artisans report to us at each stage of the production process."
13,"As we expand the research facilities and living quarters in the Moongate Hub, we are looking for artisans to undertake the larger manufacturing tasks such as water tanks, vaults, and vending machines, as well as crafting spare parts for repairs. Owing to the size of said projects, we will transport the finished product to its intended location using heavy machinery─your only concern should be ensuring the smooth operation of its precision mechanisms."
14,"The new starship we have under construction is the lynchpin of our plans to explore the cosmos. We require artisans to manufacture the hard alloy that will serve as the primary element of its exterior cladding, as well as creating a surplus for repair purposes. As a vessel destined to navigate stellar currents, it must be sturdy enough to withstand the most turbulent aether fluctuations, and the resilient alloy you provide will be further processed into hull plating and other parts as dictated by the starship's unique specifications."
15,"Whether it be on the moon or another star we've yet to explore, our future ground-based expeditions are certain to encounter impassable terrain. Drones have proven useful for transporting supplies, but we are also looking to modify them to perform detailed aerial surveys in regions which challenge our surface vehicles. We encourage artisans to submit a range of parts that we might customize our drones and expand their practical functionality."
16,"On Etheirys and in Mare Lamentorum, there are apparently rare resources whose locations are passed down through folklore. We have discovered that materials of comparable rarity exist in Sinus Ardorum, and wish to use them to advance our initiative. As they are highly difficult to process, great preparation and care must be taken. We will issue a specialized device to assist artisans, but be warned that it has a limited charge."
17,"While metals are indispensable in our quest to explore the cosmos, other materials common to Etheirys are no less vital; leather, cloth, and wood all find use in various essential items such as uniforms and furnishings. To ensure the quality of finished products, we have established exacting specifications for base components we require in quantity, and ask that they be prepared to that standard."
18,"The initiative seeks capable artisans to refine paper and fiber from materials harvested from local flora as well as fauna brought in from northern Ilsabard. Although we primarily store our research data in terminals, we must also prepare physical reports to send to the Studium for archival purposes. That being the case, we require exceptionally durable products that will stand the test of time."
19,"We seek various outfitting materials for the interior of habitation modules and other structures. Although we have been outfitting the living spaces in our recommended fashion, it has come to our attention that the children of man have diverse tastes. With the initiative being a long-term undertaking, we wish to provide a wider selection of materials as part of our commitment to creating a comfortable environment for mission members."
20,"Reports are on the rise of supplies being in shortage at remote work sites. While such occurrences are not critical while our operations are limited to Sinus Ardorum, it could be a matter of life and death when we eventually venture to distant stars. To that end, we are redoubling our efforts to maintain our stockpiles, and kindly ask for contributions of essential items such as medical equipment and heating fuel."
21,"Our researchers have identified new vegetation in Weddingway's Bower that yields useful materials such as fiber and resin. However, an analysis has revealed that there are volatile elements in their composition, and an experienced hand is required in their processing. We seek skilled artisans to test refine the raw materials to determine whether they can be a viable resource for the initiative."
