key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
#,Item[0],Quantity[0],RecipeLevel[0],Item[1],Quantity[1],RecipeLevel[1],Item[2],Quantity[2],RecipeLevel[2],Item[3],Quantity[3],RecipeLevel[3],Item[4],Quantity[4],RecipeLevel[4],Item[5],Quantity[5],RecipeLevel[5],Item[6],Quantity[6],RecipeLevel[6],Item[7],Quantity[7],RecipeLevel[7]
int32,Item,byte,byte,Item,byte,byte,Item,byte,byte,Item,byte,byte,Item,byte,byte,Item,byte,byte,Item,byte,byte,Item,byte,byte
0,2228,1,9,2456,1,5,1891,1,2,1822,1,10,1996,1,6,2572,1,8,2405,1,4,1820,1,3
1,2575,1,20,3779,1,14,2573,1,12,1897,1,19,2675,1,14,1824,1,14,2459,1,19,2574,1,16
2,2460,1,23,2010,1,26,3805,1,24,2577,1,29,1908,1,26,2409,1,25,2576,1,25,1833,1,22
3,2026,1,37,2462,1,33,2411,1,34,3837,1,33,1855,1,38,2023,1,35,2578,1,32,2580,1,40
4,2030,1,42,2413,1,43,2287,1,45,1650,1,41,1862,1,44,2465,1,45,2581,1,45,2039,1,44
5,1937,1,46,2044,1,48,3908,1,48,2582,1,48,1872,1,49,2414,1,47,1867,1,47,1942,1,49
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2507,1,6,2520,1,8,2381,1,10,1602,1,2,5091,3,3,2315,1,4,1603,1,7,2329,1,9
11,7018,3,16,2419,1,14,1756,1,17,1684,1,13,2560,1,11,2395,1,18,2316,1,12,2523,1,20
12,2563,1,25,7019,3,27,2510,1,21,2526,1,30,5093,3,29,2537,1,23,2524,1,22,1625,1,28
13,1643,1,38,2552,1,33,2322,1,35,2399,1,32,2323,1,39,2335,1,36,2553,1,35,2348,1,32
14,2569,1,45,5094,3,43,2388,1,42,2568,1,41,2517,1,44,1657,1,42,7020,3,44,1659,1,43
15,2402,1,47,2377,1,47,2530,1,48,1803,1,49,1733,1,49,2427,1,46,2556,1,49,2325,1,46
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2494,1,4,2468,1,3,2226,1,5,2469,1,9,3767,1,7,3540,1,9,3011,1,6,5081,3,2
21,3544,1,14,2497,1,18,3045,1,20,2236,1,17,3985,1,19,2231,1,15,2673,1,12,3026,1,12
22,3802,1,22,5083,3,28,7022,1,27,2474,1,29,7024,3,26,3574,1,23,3998,1,24,2499,1,27
23,3835,1,32,5089,3,37,3619,1,35,3850,1,37,3142,1,40,4009,1,31,2812,1,38,3127,1,34
24,2850,1,45,2503,1,43,3654,1,44,3174,1,42,3886,1,45,7023,3,44,5084,3,43,2477,1,42
25,2859,1,46,4059,1,50,3912,1,50,3243,1,47,2294,1,50,2478,1,50,3209,1,50,3670,1,48
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2107,1,9,5258,3,6,2057,1,10,5086,3,4,2056,1,3,4421,1,7,1681,1,2,4307,1,9
31,2058,1,12,4205,1,17,2614,3,20,2059,1,14,4094,1,15,5087,3,15,4311,1,17,5259,3,20
32,2611,3,22,5260,3,30,2612,3,23,5088,3,24,7009,3,30,8563,1,23,2448,1,26,2610,3,27
33,2620,3,39,2617,3,34,2623,3,36,2615,3,32,2619,3,40,2450,1,36,4126,1,35,2774,1,34
34,2834,1,44,4254,1,43,2857,1,45,2622,3,41,2618,3,43,5090,3,43,2451,1,42,2624,3,44
35,4272,1,49,2133,1,50,2625,3,46,2626,3,47,4170,1,49,2628,3,48,2627,3,48,4379,1,49
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3764,1,8,3769,1,9,3966,1,10,3535,1,6,3310,1,5,3962,1,4,3762,1,5,3960,1,3
41,3552,1,18,2669,1,14,3970,1,14,1685,1,14,4435,1,20,2660,1,11,3979,1,16,3773,1,12
42,4005,1,27,3367,1,29,3806,1,24,3572,1,23,3810,1,27,4108,1,27,3795,1,21,2710,1,23
43,3856,1,40,3829,1,31,3627,1,39,3613,1,34,4038,1,40,4130,1,36,4456,1,32,3853,1,38
44,4057,1,45,4155,1,45,3447,1,44,3694,1,45,4049,1,43,3191,1,44,4052,1,44,4045,1,41
45,3904,1,47,3206,1,47,4516,1,48,2298,1,48,3213,1,49,4061,1,49,3916,1,49,3471,1,46
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3318,1,10,2958,1,4,2655,1,6,2630,1,4,3312,1,5,3013,1,9,3308,1,2,3311,1,5
51,3334,1,19,7025,1,18,5325,3,13,3028,1,16,3327,1,14,3324,1,14,3019,1,12,3974,1,16
52,2733,1,27,3570,1,23,3060,1,23,3354,1,25,3062,1,24,3365,1,28,3065,1,24,3370,1,30
53,3145,1,38,3385,1,34,3410,1,40,2778,1,36,7026,1,36,4036,1,39,4033,1,37,5328,3,39
54,5329,3,43,4063,1,45,3160,1,41,3188,1,44,7027,1,42,2837,1,44,3881,1,42,3648,1,43
55,3467,1,47,3698,1,50,3211,1,48,3918,1,50,3678,1,46,2891,1,47,3914,1,46,2886,1,46
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4565,6,6,5475,1,4,5503,3,2,5504,3,10,5510,3,7,4564,6,5,5482,3,10,5470,3,3
