key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Territory,,AetherCurrent[0],AetherCurrent[1],AetherCurrent[2],AetherCurrent[3],AetherCurrent[4],AetherCurrent[5],AetherCurrent[6],AetherCurrent[7],AetherCurrent[8],AetherCurrent[9],AetherCurrent[10],AetherCurrent[11],AetherCurrent[12],AetherCurrent[13],AetherCurrent[14]
int32,TerritoryType,byte,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,397,15,2818048,2818049,2818050,2818051,2818052,2818053,2818054,2818055,2818056,2818057,2818058,2818059,2818060,2818061,2818062
2,398,15,2818063,2818064,2818065,2818066,2818067,2818068,2818069,2818070,2818071,2818072,2818073,2818074,2818075,2818076,2818077
3,399,15,2818078,2818079,2818080,2818081,2818082,2818083,2818084,2818085,2818086,2818087,2818088,2818089,2818090,2818091,2818092
4,400,15,2818093,2818094,2818095,2818096,2818097,2818098,2818099,2818100,2818101,2818102,2818103,2818104,2818105,2818106,2818107
5,401,15,2818108,2818109,2818110,2818111,2818112,2818113,2818114,2818115,2818116,2818117,2818118,2818119,2818120,2818121,2818122
6,402,5,2818123,2818124,2818125,2818126,2818127,0,0,0,0,0,0,0,0,0,0
7,612,15,2818128,2818129,2818130,2818131,2818132,2818133,2818134,2818135,2818136,2818137,2818138,2818139,2818140,2818141,2818142
8,613,15,2818173,2818174,2818175,2818176,2818177,2818178,2818179,2818180,2818181,2818182,2818183,2818184,2818185,2818186,2818187
9,620,15,2818143,2818144,2818145,2818146,2818147,2818148,2818149,2818150,2818151,2818152,2818153,2818154,2818155,2818156,2818157
10,614,15,2818188,2818189,2818190,2818191,2818192,2818193,2818194,2818195,2818196,2818197,2818198,2818199,2818200,2818201,2818202
11,621,15,2818158,2818159,2818160,2818161,2818162,2818163,2818164,2818165,2818166,2818167,2818168,2818169,2818170,2818171,2818172
12,622,15,2818203,2818204,2818205,2818206,2818207,2818208,2818209,2818210,2818211,2818212,2818213,2818214,2818215,2818216,2818217
13,813,15,2818218,2818219,2818220,2818221,2818222,2818223,2818224,2818225,2818226,2818227,2818228,2818229,2818230,2818231,2818232
14,815,15,2818248,2818249,2818250,2818251,2818252,2818253,2818254,2818255,2818256,2818257,2818258,2818259,2818260,2818261,2818262
15,816,15,2818263,2818264,2818265,2818266,2818267,2818268,2818269,2818270,2818271,2818272,2818273,2818274,2818275,2818276,2818277
16,814,15,2818233,2818234,2818235,2818236,2818237,2818238,2818239,2818240,2818241,2818242,2818243,2818244,2818245,2818246,2818247
17,817,15,2818278,2818279,2818280,2818281,2818282,2818283,2818284,2818285,2818286,2818287,2818288,2818289,2818290,2818291,2818292
18,818,15,2818293,2818294,2818295,2818296,2818297,2818298,2818299,2818300,2818301,2818302,2818303,2818304,2818305,2818306,2818307
19,156,1,2818308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
