key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,,,,,,,,,,,,,,,
int32,uint32,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte
0,9904,1,0,1,3,2,4,2,21,3,0,0,0,0,20
1,9905,2,0,1,4,3,7,2,9,4,0,0,0,0,21
2,9906,3,0,1,7,3,9,3,11,4,0,0,0,0,22
3,9907,4,0,1,7,3,16,3,11,4,0,0,0,0,23
4,9908,5,0,1,7,3,11,3,12,3,13,3,0,0,24
5,9909,6,0,1,7,3,11,4,12,4,17,3,0,0,25
6,9910,7,0,1,8,6,11,6,12,6,13,6,0,0,26
7,9911,8,0,1,7,6,11,6,12,6,21,6,0,0,27
8,9912,0,61,3,2,3,0,0,0,0,0,0,0,0,1
9,9913,0,62,3,1,2,0,0,0,0,0,0,0,0,2
10,9914,0,63,3,1,2,1,2,0,0,0,0,0,0,3
11,9915,0,64,1,3,1,9,2,0,0,0,0,0,0,10
12,9916,0,65,1,13,3,11,1,0,0,0,0,0,0,11
13,9917,0,66,1,5,2,10,1,14,2,0,0,0,0,12
14,9947,9,0,1,8,10,9,10,11,10,15,10,0,0,28
15,9947,10,0,1,16,10,12,10,8,10,11,10,15,10,29
16,9947,11,0,1,17,10,13,10,16,10,12,10,7,10,30
17,9947,12,0,1,18,10,19,10,20,10,13,10,16,10,31
