key,0,1,2,3,4,5
#,,,Member,BigImage{Old},BigImage{New},Class
int32,uint16,byte,ENpcResident,Image,Image,DawnMemberUIParam
0,0,0,0,0,0,0
1,0,0,1030660,72621,72681,1
2,1,0,1030661,72622,72682,2
3,2,0,1030662,72623,72683,3
4,3,0,1030663,72624,72684,4
5,4,0,1030664,72625,72685,5
6,5,0,1030665,72626,72686,6
7,6,0,1030666,72627,72687,7
8,7,0,1030667,72628,72688,8
9,8,1,1030668,72629,72689,9
10,9,1,1030669,72629,72689,9
11,10,1,1030670,72629,72689,9
12,8,1,1031986,72636,72696,9
13,9,1,1031987,72636,72696,9
14,10,1,1031988,72636,72696,9
15,11,1,1033916,72637,72697,10
16,12,1,1033918,72637,72697,10
17,13,1,1033917,72637,72697,10
18,0,0,1030671,72630,72690,1
19,1,0,1030672,72631,72691,2
20,14,0,1040726,72638,72698,11
21,1,0,1040730,72639,72699,2
22,2,0,1030662,72623,72683,3
23,15,2,1040732,72625,72685,13
24,4,2,1030664,72625,72685,5
25,5,10,1030665,72626,72686,6
26,11,1,1033916,72637,72697,10
27,12,1,1033918,72637,72697,10
28,13,1,1033917,72637,72697,10
29,16,0,1036930,72644,72704,12
30,17,3,1036935,72647,72707,14
31,18,3,1036936,72647,72707,14
32,19,3,1036937,72647,72707,14
33,20,4,1036932,72648,72708,15
34,21,4,1036933,72648,72708,15
35,22,0,1036934,72649,72709,16
36,10000,0,1042776,0,72753,17
37,10001,0,1042777,0,72754,18
38,10002,0,1042778,0,72755,19
39,10003,0,1042779,0,72756,20
40,10004,0,1042780,0,72745,21
41,10005,0,1042781,0,72746,22
42,10006,0,1042782,0,72747,23
43,10007,0,1042783,0,72748,24
44,10008,0,1042784,0,72749,21
45,10009,0,1042785,0,72750,22
46,10010,0,1042786,0,72751,23
47,10011,0,1042787,0,72752,24
48,10012,0,1042788,0,72741,25
49,10013,0,1042789,0,72742,26
50,10014,0,1042790,0,72743,27
51,10015,0,1042791,0,72744,28
52,10016,0,1043427,0,72757,21
53,10017,0,1043428,0,72758,22
54,10018,0,1043429,0,72759,23
55,10019,0,1043430,0,72760,24
56,10020,5,1043431,0,72761,30
57,10021,5,1043432,0,72761,30
58,10022,0,1040739,0,72705,12
59,10023,6,1030671,0,72690,1
60,10024,6,1030671,0,72690,1
61,10025,0,1043434,0,72762,31
62,10026,0,1043435,0,72763,32
63,10027,0,1043436,0,72764,33
64,10028,7,1043433,0,72765,34
65,10029,7,1043433,0,72765,34
66,10030,8,1030671,0,72690,1
67,10031,8,1030671,0,72690,1
68,23,9,1043956,72650,72710,29
69,24,9,1043957,72650,72710,29
70,25,10,1043958,72626,72686,6
