key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
#,ClassJob,ClassJobLevel,Reward{Currency},RequiredItem[0],Quantity[0],RequestHq[0],Collectability{HighBonus}[0],Collectability{Bonus}[0],Collectability{Base}[0],ExpModifier[0],Reward{Scrips}[0],BonusMultiplier[0],ClassJobLevel{Max}[0],Stars[0],RequiredItem[1],Quantity[1],RequestHq[1],Collectability{HighBonus}[1],Collectability{Bonus}[1],Collectability{Base}[1],ExpModifier[1],Reward{Scrips}[1],BonusMultiplier[1],ClassJobLevel{Max}[1],Stars[1],RequiredItem[2],Quantity[2],RequestHq[2],Collectability{HighBonus}[2],Collectability{Bonus}[2],Collectability{Base}[2],ExpModifier[2],Reward{Scrips}[2],BonusMultiplier[2],ClassJobLevel{Max}[2],Stars[2],RequiredItem[3],Quantity[3],RequestHq[3],Collectability{HighBonus}[3],Collectability{Bonus}[3],Collectability{Base}[3],ExpModifier[3],Reward{Scrips}[3],BonusMultiplier[3],ClassJobLevel{Max}[3],Stars[3],RequiredItem[4],Quantity[4],RequestHq[4],Collectability{HighBonus}[4],Collectability{Bonus}[4],Collectability{Base}[4],ExpModifier[4],Reward{Scrips}[4],BonusMultiplier[4],ClassJobLevel{Max}[4],Stars[4],RequiredItem[5],Quantity[5],RequestHq[5],Collectability{HighBonus}[5],Collectability{Bonus}[5],Collectability{Base}[5],ExpModifier[5],Reward{Scrips}[5],BonusMultiplier[5],ClassJobLevel{Max}[5],Stars[5],RequiredItem[6],Quantity[6],RequestHq[6],Collectability{HighBonus}[6],Collectability{Bonus}[6],Collectability{Base}[6],ExpModifier[6],Reward{Scrips}[6],BonusMultiplier[6],ClassJobLevel{Max}[6],Stars[6],RequiredItem[7],Quantity[7],RequestHq[7],Collectability{HighBonus}[7],Collectability{Bonus}[7],Collectability{Base}[7],ExpModifier[7],Reward{Scrips}[7],BonusMultiplier[7],ClassJobLevel{Max}[7],Stars[7]
int32,ClassJob,byte,Currency,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte,Item,byte,bool,uint16,uint16,uint16,uint16,uint16,MasterpieceSupplyMultiplier,uint16,byte
0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
1,8,50,2,10604,1,False,230,180,130,75,9,1,51,0,10610,1,False,230,180,130,75,7,1,51,0,10634,1,False,230,180,130,75,3,1,51,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
2,8,52,2,10605,1,False,280,220,160,75,20,1,52,0,10611,1,False,280,220,160,75,22,1,52,0,11911,1,False,280,220,160,75,13,1,52,0,11927,1,False,340,270,190,75,17,1,53,0,11935,1,False,340,270,190,75,32,1,53,0,12014,1,False,340,270,190,75,20,1,53,0,12020,1,False,340,270,190,75,16,1,53,0,0,0,False,0,0,0,1000,0,0,0,0
3,8,54,2,10606,1,False,390,300,220,75,24,1,54,0,10612,1,False,390,300,220,75,24,1,54,0,10636,1,False,390,300,220,75,23,1,54,0,11912,1,False,430,340,240,75,29,1,55,0,12011,1,False,390,300,220,75,30,1,54,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
4,8,56,2,12581,1,False,440,340,250,60,3,1,56,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
5,8,56,2,10607,1,False,480,370,270,60,42,1,56,0,10613,1,False,480,370,270,60,49,1,56,0,10883,1,False,480,370,270,60,37,1,56,0,10925,1,False,480,370,270,60,38,1,56,0,11913,1,False,530,410,290,60,26,1,57,0,11928,1,False,480,370,270,60,26,1,56,0,11936,1,False,480,370,270,60,31,1,56,0,12021,1,False,530,410,290,60,14,1,57,0
6,8,58,2,10608,1,False,580,450,320,60,29,1,58,0,10614,1,False,580,450,320,60,48,1,58,0,10638,1,False,580,450,320,60,55,1,58,0,12015,1,False,580,450,320,60,21,1,58,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
7,8,59,2,11929,1,False,630,490,350,60,24,1,59,0,11937,1,False,630,490,350,60,34,1,59,0,12012,1,False,630,490,350,60,22,1,59,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0,0,0,False,0,0,0,1000,0,0,0,0
