key,0,1,2,3
#,Name,Icon,Order{Minor},Order{Major}
int32,str,Image,byte,byte
0,"",0,0,0
1,"Pugilist's Arm",60101,5,1
2,"Gladiator's Arm",60102,0,1
3,"Marauder's Arm",60103,1,1
4,"Archer's Arm",60105,8,1
5,"Lancer's Arm",60104,4,1
6,"One–handed Thaumaturge's Arm",60108,11,1
7,"Two–handed Thaumaturge's Arm",60108,12,1
8,"One–handed Conjurer's Arm",60107,16,1
9,"Two–handed Conjurer's Arm",60107,17,1
10,"Arcanist's Grimoire",60109,13,1
11,"Shield",60110,0,3
12,"Carpenter's Primary Tool",60112,0,2
13,"Carpenter's Secondary Tool",60112,1,2
14,"Blacksmith's Primary Tool",60113,2,2
15,"Blacksmith's Secondary Tool",60113,3,2
16,"Armorer's Primary Tool",60114,4,2
17,"Armorer's Secondary Tool",60114,5,2
18,"Goldsmith's Primary Tool",60115,6,2
19,"Goldsmith's Secondary Tool",60115,7,2
20,"Leatherworker's Primary Tool",60116,8,2
21,"Leatherworker's Secondary Tool",60116,9,2
22,"Weaver's Primary Tool",60117,10,2
23,"Weaver's Secondary Tool",60117,11,2
24,"Alchemist's Primary Tool",60118,12,2
25,"Alchemist's Secondary Tool",60118,13,2
26,"Culinarian's Primary Tool",60119,14,2
27,"Culinarian's Secondary Tool",60119,15,2
28,"Miner's Primary Tool",60120,16,2
29,"Miner's Secondary Tool",60120,17,2
30,"Botanist's Primary Tool",60121,18,2
31,"Botanist's Secondary Tool",60121,19,2
32,"Fisher's Primary Tool",60122,20,2
33,"Fishing Tackle",60123,29,7
34,"Head",60124,1,3
35,"Body",60126,2,3
36,"Legs",60128,5,3
37,"Hands",60129,3,3
38,"Feet",60130,6,3
39,"Waist",60131,4,3
40,"Necklace",60132,1,4
41,"Earrings",60133,0,4
42,"Bracelets",60134,2,4
43,"Ring",60135,3,4
44,"Medicine",60136,0,5
45,"Ingredient",60137,0,6
46,"Meal",60146,1,5
47,"Seafood",60138,1,6
48,"Stone",60139,2,6
49,"Metal",60140,3,6
50,"Lumber",60141,4,6
51,"Cloth",60142,5,6
52,"Leather",60143,6,6
53,"Bone",60144,7,6
54,"Reagent",60145,8,6
55,"Dye",60147,10,6
56,"Part",60148,9,6
57,"Furnishing",60164,20,7
58,"Materia",60150,0,7
59,"Crystal",60151,1,7
60,"Catalyst",60152,2,7
61,"Miscellany",60153,3,7
62,"Soul Crystal",60157,4,4
63,"Other",60159,6,7
64,"Construction Permit",60160,7,7
65,"Roof",60160,8,7
66,"Exterior Wall",60160,9,7
67,"Window",60160,10,7
68,"Door",60160,11,7
69,"Roof Decoration",60160,12,7
70,"Exterior Wall Decoration",60160,13,7
71,"Placard",60160,14,7
72,"Fence",60160,15,7
73,"Interior Wall",60161,16,7
74,"Flooring",60161,17,7
75,"Ceiling Light",60161,18,7
76,"Outdoor Furnishing",60168,19,7
77,"Table",60162,21,7
78,"Tabletop",60163,22,7
79,"Wall-mounted",60166,23,7
80,"Rug",60167,24,7
81,"Minion",60155,5,7
82,"Gardening",60153,25,7
83,"Demimateria",60150,26,7
84,"Rogue's Arm",60106,7,1
85,"Seasonal Miscellany",60154,4,7
86,"Triple Triad Card",60156,27,7
87,"Dark Knight's Arm",60170,2,1
88,"Machinist's Arm",60172,9,1
89,"Astrologian's Arm",60171,19,1
90,"Airship Hull",60169,11,6
91,"Airship Rigging",60169,12,6
92,"Airship Aftcastle",60169,14,6
93,"Airship Forecastle",60169,13,6
94,"Orchestrion Roll",60173,28,7
95,"Painting",60175,29,7
96,"Samurai's Arm",60177,6,1
97,"Red Mage's Arm",60176,14,1
98,"Scholar's Arm",60178,18,1
99,"Fisher's Secondary Tool",60122,21,2
100,"Currency",60179,255,7
101,"Submersible Hull",60169,15,6
102,"Submersible Stern",60169,16,6
103,"Submersible Bow",60169,17,6
104,"Submersible Bridge",60169,18,6
105,"Blue Mage's Arm",60180,15,1
106,"Gunbreaker's Arm",60181,3,1
107,"Dancer's Arm",60182,10,1
