key,0,1,2,3,4,5,6,7,8,9
#,MonsterNoteTarget[0],MonsterNoteTarget[1],MonsterNoteTarget[2],MonsterNoteTarget[3],Count[0],Count[1],Count[2],Count[3],Reward,Name
int32,MonsterNoteTarget,MonsterNoteTarget,MonsterNoteTarget,MonsterNoteTarget,byte,byte,byte,byte,uint32,str
10001,1,0,0,0,3,0,0,0,75,"Gladiator 01"
10002,206,0,0,0,3,0,0,0,180,"Gladiator 02"
10003,208,0,0,0,3,0,0,0,360,"Gladiator 03"
10004,209,0,0,0,3,0,0,0,410,"Gladiator 04"
10005,211,0,0,0,3,0,0,0,530,"Gladiator 05"
10006,213,0,0,0,3,0,0,0,980,"Gladiator 06"
10007,210,0,0,0,3,0,0,0,1100,"Gladiator 07"
10008,217,0,0,0,3,0,0,0,1300,"Gladiator 08"
10009,220,0,0,0,3,0,0,0,1600,"Gladiator 09"
10010,223,224,0,0,3,3,0,0,1700,"Gladiator 10"
10011,228,229,0,0,3,3,0,0,2300,"Gladiator 11"
10012,227,0,0,0,3,0,0,0,3200,"Gladiator 12"
10013,230,0,0,0,3,0,0,0,4000,"Gladiator 13"
10014,232,0,0,0,3,0,0,0,4500,"Gladiator 14"
10015,234,0,0,0,3,0,0,0,5000,"Gladiator 15"
10016,235,0,0,0,3,0,0,0,5300,"Gladiator 16"
10017,237,0,0,0,3,0,0,0,5500,"Gladiator 17"
10018,240,0,0,0,3,0,0,0,5700,"Gladiator 18"
10019,238,0,0,0,3,0,0,0,5900,"Gladiator 19"
10020,242,244,0,0,3,3,0,0,6100,"Gladiator 20"
10021,32,137,0,0,4,3,0,0,6300,"Gladiator 21"
10022,245,0,0,0,4,0,0,0,6500,"Gladiator 22"
10023,138,0,0,0,4,0,0,0,6700,"Gladiator 23"
10024,34,0,0,0,4,0,0,0,6900,"Gladiator 24"
10025,150,0,0,0,4,0,0,0,7100,"Gladiator 25"
10026,252,0,0,0,4,0,0,0,7600,"Gladiator 26"
10027,255,0,0,0,4,0,0,0,8600,"Gladiator 27"
10028,158,0,0,0,4,0,0,0,9400,"Gladiator 28"
10029,161,0,0,0,4,0,0,0,9700,"Gladiator 29"
10030,37,38,0,0,4,3,0,0,10000,"Gladiator 30"
10031,165,42,0,0,4,3,0,0,11000,"Gladiator 31"
10032,39,166,0,0,4,3,0,0,12000,"Gladiator 32"
10033,265,0,0,0,4,0,0,0,12500,"Gladiator 33"
10034,171,0,0,0,4,0,0,0,13000,"Gladiator 34"
10035,64,0,0,0,4,0,0,0,13500,"Gladiator 35"
10036,271,0,0,0,4,0,0,0,14000,"Gladiator 36"
10037,294,0,0,0,4,0,0,0,14500,"Gladiator 37"
10038,176,0,0,0,4,0,0,0,15000,"Gladiator 38"
10039,301,0,0,0,4,0,0,0,16000,"Gladiator 39"
10040,306,66,0,0,4,3,0,0,16500,"Gladiator 40"
10041,67,72,0,0,5,2,0,0,17000,"Gladiator 41"
