key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,byte,byte,bit&01,uint16,byte,uint16,bit&02,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,str,str,str,str,str,str,str,str,str,str,str
0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
1,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
2,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
3,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
4,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
5,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
6,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
7,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
8,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
9,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
10,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
11,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
12,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
13,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
14,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
15,3,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"必要MGP：<Format(IntegerParameter(1),FF022C)/>MGP","やる","やる(無料券)","キャンセル","","","","","","",""
16,2,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"<Value>IntegerParameter(1)</Value> MGP is required to purchase a ticket.
You currently possess <Format(IntegerParameter(2),FF022C)/>. Proceed?","Yes","No","","","","","","","",""
17,1,0,False,44,2,0,False,0,0,0,0,0,0,0,0,0,0,"I'm afraid you lack the points to play. Why not bolster your funds with a visit to the attendant behind me? ","","","","","","","","","",""
18,1,0,False,45,2,0,False,0,0,0,0,0,0,0,0,0,0,"Thank you for your patronage, but you can only purchase three Mini Cactpot tickets a day. Perhaps another of our amusements would help pass the time till the next drawing?","","","","","","","","","",""
19,1,0,False,16,2,764,False,0,0,0,0,0,0,0,0,0,0,"Come one, come all─drawing number <Value>IntegerParameter(3)</Value> of the Mini Cactpot is here! Care to try your luck with a ticket, <If(PlayerParameter(4))>miss<Else/>sir</If>?","","","","","","","","","",""
20,1,0,False,21,2,764,False,0,0,0,0,0,0,0,0,0,0,"Look! A poor, defenseless chocobo hatchling has wandered her way up the cliffs of Mt. Corel and is now trapped at the top. I would save her myself, I would, but I am no alpinist and, as a Lalafell, have a severe aversion to heights.","","","","","","","","","",""
21,1,0,False,158,2,0,False,0,0,0,0,0,0,0,0,0,0,"That, and there appears to be a gang of unruly goblins tossing grenados at any would-be rescuer. Is there naught you can do, wealthy patro...er...kind adventurer!?","","","","","","","","","",""
22,1,0,False,23,2,764,False,0,0,0,0,0,0,0,0,0,0,"Quite the fall, I must say! Your form was impeccable! And they say only coeurls land on their feet! However, despite your victorious bout with gravity, there still is the problem of the stranded hatchling...","","","","","","","","","",""
23,2,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"Attempt the climb once more?","Yes","No","","","","","","","",""
24,1,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"You've saved her! I think the little hatchling has learned a very valuable lesson here today. I do believe we can set the chick on her way knowing that she will never again put herself in danger.","","","","","","","","","",""
25,1,0,False,140,2,0,False,0,0,0,0,0,0,0,0,0,0,"Now, the Jolly Raptor doesn't pay me enough to fend off brutish brigands, so I seek someone with the savvy to steal by these snakes and spirit the ceramics to the attendants awaiting their arrival. Just make certain you stay out of their sight!","","","","","","","","","",""
26,1,0,False,143,2,0,False,0,0,0,0,0,0,0,0,0,0,"Now, the Jolly Raptor doesn't pay me enough to fend off brutish brigands, so I seek someone with the savvy to steal by these snakes and spirit the ceramics to the attendants awaiting their arrival. Just make certain you stay out of their sight!","","","","","","","","","",""
27,1,0,False,28,2,764,False,0,0,0,0,0,0,0,0,0,0,"M-M-My Baby B-B-Bootkins! Won't s-s-someone s-s-save my B-B-Baby Bootkins fwom those t-t-tewwible hobgobwins!","","","","","","","","","",""
28,1,0,False,159,2,0,False,0,0,0,0,0,0,0,0,0,0,"Ma said to s-s-stay away fwom the big statue, b-b-but B-B-Bootkins is at the top, and if I...and if I...and if I don't s-s-save her, who will!?","","","","","","","","","",""
29,1,0,False,30,2,764,False,0,0,0,0,0,0,0,0,0,0,"Awe you alwight <If(PlayerParameter(4))>Miss<Else/>Mister</If> adventuwer? Now I know why Ma towd me to stay away fwom that statue... B-B-But now who'll s-s-save B-B-Bootkins!?","","","","","","","","","",""
30,2,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"Try again to save the hatchling?","Yes","No","","","","","","","",""
31,1,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"Thank you! Thank you! You saved my Baby Bootkins! From now on, we'll only play around Mt. Corel!","","","","","","","","","",""
32,1,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"Oh, you do not seem to have enough space, <If(PlayerParameter(4))>miss<Else/>sir</If>. I will be happy to hand over your prize after you make some room for it in your luggage.","","","","","","","","","",""
33,1,0,True,100,2,764,False,0,0,0,0,0,0,0,0,0,0,"This Jumbo Cactpot ticket looks to be in order. Now, let us see what you have won...","","","","","","","","","",""
34,1,0,False,35,2,764,False,0,0,0,0,0,0,0,0,0,0,"I could sense by the way you thrust your pelvis as you strut across the hall that the gods created you for one purpose, and one purpose alone─to dance!","","","","","","","","","",""
35,1,0,False,37,2,0,False,0,0,0,0,0,0,0,0,0,0,"Will you not join my troupe of performers on stage and show the world your talent? You need only mimic the motions of the Lords and Ladies of the Dance, and I shall make you a star!","","","","","","","","","",""
36,2,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"Proceed to the main stage?","Yes","No","","","","","","","",""
37,1,7,False,277,2,0,False,0,0,0,0,0,0,0,0,0,0,"The Lords and Ladies of the Dance will perform four emotes in succession. Memorize the order and execute the proper emotes when given the cue. The emotes used in the routine will be automatically added to your hotbar.","","","","","","","","","",""
38,1,0,False,39,2,764,False,0,0,0,0,0,0,0,0,0,0,"Simply put, the prizes for the Jumbo Cactpot are larger when more people participate. You're sure to rake in the MGP if you join in the fun with all your friends!","","","","","","","","","",""
39,1,7,False,40,0,0,False,0,0,0,0,0,0,0,0,0,0,"The participant bonus in the Jumbo Cactpot increases all MGP prizes based on the number of tickets sold.","","","","","","","","","",""
40,1,7,False,105,0,0,False,0,0,0,0,0,0,0,0,0,0,"There are multiple levels to the participant bonus. The higher this level becomes, the larger the subsequent bonus.","","","","","","","","","",""
