key,0,1,2,3
#,Masculine,Feminine,IsPrefix,Order
int32,str,str,bit&01,uint16
0,"","",False,0
1,"The Insatiable","The Insatiable",False,1
2,"The True","The True",False,2
3,"Coeurlfist","Coeurlfist",True,3
4,"Ironeater","Ironeater",True,4
5,"Of the Vengeful Lance","Of the Vengeful Lance",False,5
6,"The Godsbow","The Godsbow",False,6
7,"The White","The White",False,7
8,"Starcaller","Starcaller",True,8
9,"The Exterminator","The Exterminator",False,50
10,"Notorious Monster Hunter","Notorious Monster Hunter",True,60
11,"Honest Gillionaire","Honest Gillionaire",True,80
12,"Ruthless Gillionaire","Ruthless Gillionaire",True,80
13,"Warmonger","Warmonger",True,100
14,"Archmage","Archmage",True,101
15,"Builder of the Realm","Builder of the Realm",False,102
16,"Provider of the Realm","Provider of the Realm",False,103
17,"Of the Golden Saw","Of the Golden Saw",False,150
18,"Of the Golden Anvil","Of the Golden Anvil",False,151
19,"Of the Golden Hammer","Of the Golden Hammer",False,152
20,"Of the Golden Leaf","Of the Golden Leaf",False,153
21,"Of the Golden Hide","Of the Golden Hide",False,154
22,"Of the Golden Needle","Of the Golden Needle",False,155
23,"Of the Golden Lead","Of the Golden Lead",False,156
24,"Of the Golden Ladle","Of the Golden Ladle",False,157
25,"Meadowbreaker","Meadowbreaker",True,200
26,"Forestbreaker","Forestbreaker",True,201
27,"Desertbreaker","Desertbreaker",True,202
28,"Of the Meadow Mines","Of the Meadow Mines",False,203
29,"Of the Forest Mines","Of the Forest Mines",False,204
30,"Of the Desert Mines","Of the Desert Mines",False,205
31,"Meadowreaper","Meadowreaper",True,206
32,"Forestreaper","Forestreaper",True,207
33,"Desertreaper","Desertreaper",True,208
34,"Of the Meadow Grasses","Of the Meadow Grasses",False,209
35,"Of the Forest Grasses","Of the Forest Grasses",False,210
36,"Of the Desert Grasses","Of the Desert Grasses",False,211
37,"Meadowcaster","Meadowcaster",True,212
38,"Forestcaster","Forestcaster",True,213
39,"Desertcaster","Desertcaster",True,214
40,"Of the Meadow Pools","Of the Meadow Pools",False,215
41,"Of the Forest Pools","Of the Forest Pools",False,216
42,"Of the Desert Pools","Of the Desert Pools",False,217
43,"Carrier of the Cauldron","Carrier of the Cauldron",False,250
44,"The Assimilator","The Assimilator",False,251
45,"Seeker of Blood","Seeker of Blood",False,300
46,"Seeker of Truth","Seeker of Truth",False,301
47,"Seeker of Skill","Seeker of Skill",False,302
48,"Seeker of Bounty","Seeker of Bounty",False,303
49,"Sidestepper","Sidestepper",True,350
50,"Lord Protector","Lady Protector",True,351
51,"Lord Creator","Lady Creator",True,352
52,"Peacemaker","Peacemaker",True,353
53,"The Last Resort","The Last Resort",False,354
54,"The Sword of La Noscea","The Sword of La Noscea",False,355
55,"The Sword of the Shroud","The Sword of the Shroud",False,356
56,"The Sword of Thanalan","The Sword of Thanalan",False,357
57,"The Sword of Eorzea","The Sword of Eorzea",False,358
58,"The Shield of La Noscea","The Shield of La Noscea",False,359
59,"The Shield of the Shroud","The Shield of the Shroud",False,360
60,"The Shield of Thanalan","The Shield of Thanalan",False,361
61,"The Shield of Eorzea","The Shield of Eorzea",False,362
62,"Brother of the Broken Blade","Sister of the Broken Blade",True,363
63,"The Warden's Wall","The Warden's Wall",False,364
64,"Bearer of the Horn","Bearer of the Horn",True,365
65,"The Uncommitted","The Uncommitted",False,366
66,"The Professional","The Professional",False,400
67,"Inquisitor","Inquisitor",True,450
68,"Divine Crusher","Divine Crusher",True,451
69,"Stonesplitter","Stonesplitter",True,452
70,"A Kobold's Worst Nightmare","A Kobold's Worst Nightmare",False,453
71,"An Ixal's Worst Nightmare","An Ixal's Worst Nightmare",False,454
72,"An Amalj'aa's Worst Nightmare","An Amalj'aa's Worst Nightmare",False,455
73,"The Guardian of Aleport","The Guardian of Aleport",False,456
74,"The Guardian of Hyrstmill","The Guardian of Hyrstmill",False,457
75,"The Guardian of the Golden Bazaar","The Guardian of the Golden Bazaar",False,458
76,"The Wind of Aleport","The Wind of Aleport",False,459
77,"The Wind of Hyrstmill","The Wind of Hyrstmill",False,460
78,"The Wind of the Golden Bazaar","The Wind of the Golden Bazaar",False,461
79,"The Hand of Aleport","The Hand of Aleport",False,462
80,"The Hand of Hyrstmill","The Hand of Hyrstmill",False,463
81,"The Hand of the Golden Bazaar","The Hand of the Golden Bazaar",False,464
82,"Wild Thing","Wild Thing",True,500
83,"The Winter Wyrm","The Winter Wyrm",False,501
84,"Messenger of Love","Messenger of Love",True,502
85,"Royal Seneschal","Princess for a Day",True,503
86,"Dreamseeker","Dreamseeker",True,504
87,"Cascadier","Cascadier",True,505
88,"Crystal Bearer","Crystal Bearer",True,506
89,"Stormlord","Stormlady",True,550
90,"Serpentlord","Serpentlady",True,551
91,"Flamelord","Flamelady",True,552
92,"The Stormsworn","The Stormsworn",False,553
93,"The Serpentsworn","The Serpentsworn",False,554
94,"The Flamesworn","The Flamesworn",False,555
95,"Stormcarrier","Stormcarrier",True,556
96,"Serpentcarrier","Serpentcarrier",True,557
97,"Flamecarrier","Flamecarrier",True,558
98,"Stormbringer","Stormbringer",True,559
99,"Serpentbringer","Serpentbringer",True,560
100,"Flamebringer","Flamebringer",True,561
101,"Featherfoot","Featherfoot",True,600
102,"A Bo's Best Friend","A Bo's Best Friend",True,601
103,"Lightning","Lightning",True,602
104,"Cavalier","Cavalier",True,603
105,"The Wanderer's Shadow","The Wanderer's Shadow",False,604
106,"Green Eyes","Green Eyes",False,605
107,"The Strategist","The Strategist",False,606
108,"The Reaper","The Reaper",False,607
109,"Dungeon Master","Dungeon Master",True,608
110,"Tempter of Fate","Temptress of Fate",False,609
111,"Elite Cascadier","Elite Cascadier",True,610
112,"Storm Puppy","Storm Puppy",True,650
113,"Storm Howler","Storm Howler",True,651
114,"Storm Growler","Storm Growler",True,652
115,"Storm Hound","Storm Hound",True,653
116,"Storm Stalker","Storm Stalker",True,654
117,"Storm Chaser","Storm Chaser",True,655
118,"Naago's Friend","Naago's Friend",True,1448
119,"Naago's Partner","Naago's Partner",True,1449
120,"Wings of Steel","Wings of Steel",False,1450
121,"Wings of Fire","Wings of Fire",False,1451
122,"Serpent Puppy","Serpent Puppy",True,660
123,"Serpent Howler","Serpent Howler",True,661
124,"Serpent Growler","Serpent Growler",True,662
125,"Serpent Hound","Serpent Hound",True,663
126,"Serpent Stalker","Serpent Stalker",True,664
127,"Serpent Chaser","Serpent Chaser",True,665
128,"Deep Canal Raider","Deep Canal Raider",True,1452
129,"Deep Canal Dweller","Deep Canal Dweller",True,1453
130,"The Luckiest of Lords","The Luckiest of Ladies",False,1454
131,"Crimson Explorer","Crimson Explorer",True,1455
132,"Flame Puppy","Flame Puppy",True,670
133,"Flame Howler","Flame Howler",True,671
134,"Flame Growler","Flame Growler",True,672
135,"Flame Hound","Flame Hound",True,673
136,"Flame Stalker","Flame Stalker",True,674
137,"Flame Chaser","Flame Chaser",True,675
138,"The Legend","The Legend",False,1456
139,"Raubahn's Left Arm","Raubahn's Left Arm",True,1457
140,"Of the Blue","Of the Blue",False,1458
141,"Fashion Leader","Fashion Leader",False,1459
142,"The Ravenous Wolf","The Ravenous Wolf",False,700
143,"The Alpha Wolf","The Alpha Wolf",False,701
144,"The Heart of the Party","The Heart of the Party",False,750
145,"Brother of Ash","Sister of Ash",True,751
146,"Sylph-Friend","Sylph-Friend",True,752
147,"Treasure Hunter","Treasure Hunter",True,753
148,"789th Order Champion","789th Order Champion",True,754
149,"Novv Clutchmate","Novv Clutchmate",True,755
150,"The Ambitious Angler","The Ambitious Angler",False,756
151,"The Meat Shield","The Meat Shield",False,757
152,"The Meat Axe","The Meat Axe",False,758
