key,0,1,2
#,,,
int32,int32,single,single
0.0,0,0,0
1.0,4512071,0,0
1.1,4520393,0,0
1.2,4520394,0,0
1.3,4512095,0,0
1.4,4520424,0,0
1.5,4520426,0,0
1.6,4512105,0,0
1.7,4520449,0,0
1.8,4520451,0,0
1.9,4512117,0,0
1.10,4520460,0,0
1.11,4520462,0,0
1.12,4512320,0,0
1.13,4520494,0,0
1.14,4520504,0,0
1.15,4517195,0,0
1.16,4520505,0,0
1.17,4520506,0,0
1.18,4512323,0,0
1.19,4520517,0,0
1.20,4520518,0,0
1.21,4512324,0,0
1.22,4520525,0,0
1.23,4520526,0,0
1.24,4512325,0,0
1.25,4520535,0,0
1.26,4520540,0,0
1.27,4512326,0,0
1.28,4520566,0,0
1.29,4520567,0,0
1.30,4512327,0,0
1.31,4520608,0,0
1.32,4520609,0,0
1.33,4512328,0,0
1.34,4520619,0,0
1.35,4520618,0,0
1.36,4512329,0,0
1.37,4520628,0,0
1.38,4520629,0,0
1.39,4515973,0,0
1.40,4520638,0,0
1.41,4520639,0,0
1.42,4512332,0,0
1.43,4520585,0,0
1.44,4520586,0,0
2.0,4515589,0,0
2.1,4520395,0,0
2.2,4520396,0,0
2.3,4515574,0,0
2.4,4520428,0,0
2.5,4520430,0,0
2.6,4515559,0,0
2.7,4520452,0,0
2.8,4520453,0,0
2.9,4515549,0,0
2.10,4520463,0,0
2.11,4520465,0,0
2.12,4517140,0,0
2.13,4520496,0,0
2.14,4520497,0,0
2.15,4517187,0,0
2.16,4520513,0,0
2.17,4520514,0,0
2.18,4517210,0,0
2.19,4520515,0,0
2.20,4520516,0,0
2.21,4517214,0,0
2.22,4520527,0,0
2.23,4520528,0,0
2.24,4517328,0,0
2.25,4520541,0,0
2.26,4520544,0,0
2.27,4517358,0,0
2.28,4520568,0,0
2.29,4520569,0,0
2.30,4515924,0,0
2.31,4520610,0,0
2.32,4520611,0,0
2.33,4515958,0,0
2.34,4520621,0,0
2.35,4520620,0,0
2.36,4515556,0,0
2.37,4520630,0,0
2.38,4520631,0,0
2.39,4512331,0,0
2.40,4520640,0,0
2.41,4520641,0,0
2.42,4517368,0,0
2.43,4520587,0,0
2.44,4520588,0,0
3.0,4515590,0,0
3.1,4520398,0,0
3.2,4520403,0,0
3.3,4515575,0,0
3.4,4520434,0,0
3.5,4520435,0,0
3.6,4515560,0,0
3.7,4520454,0,0
3.8,4520455,0,0
3.9,4515551,0,0
3.10,4520466,0,0
3.11,4520467,0,0
3.12,4517144,0,0
3.13,4520498,0,0
3.14,4520499,0,0
3.15,4517188,0,0
3.16,4520507,0,0
3.17,4520508,0,0
3.18,4517211,0,0
3.19,4520519,0,0
3.20,4520520,0,0
3.21,4517215,0,0
3.22,4520529,0,0
3.23,4520530,0,0
3.24,4517329,0,0
3.25,4520545,0,0
3.26,4520549,0,0
3.27,4517360,0,0
3.28,4520571,0,0
3.29,4520572,0,0
3.30,4515929,0,0
3.31,4520614,0,0
3.32,4520612,0,0
3.33,4515960,0,0
3.34,4520622,0,0
3.35,4520623,0,0
3.36,4515553,0,0
3.37,4520632,0,0
3.38,4520633,0,0
3.39,4515976,0,0
3.40,4520642,0,0
3.41,4520643,0,0
3.42,4517370,0,0
3.43,4520589,0,0
3.44,4520590,0,0
3.45,4517374,0,0
3.46,4520599,0,0
3.47,4520600,0,0
4.0,4515591,0,0
4.1,4520405,0,0
4.2,4520414,0,0
4.3,4515576,0,0
4.4,4520440,0,0
4.5,4520444,0,0
4.6,4515563,0,0
4.7,4520456,0,0
4.8,4520457,0,0
4.9,4515550,0,0
4.10,4520469,0,0
4.11,4520471,0,0
4.12,4517146,0,0
4.13,4520500,0,0
4.14,4520501,0,0
4.15,4517189,0,0
4.16,4520509,0,0
4.17,4520510,0,0
4.18,4517212,0,0
4.19,4520521,0,0
4.20,4520522,0,0
4.21,4517323,0,0
4.22,4520531,0,0
