key,0,1,2
#,,,
int32,uint16,str,str
0,0,"",""
1,1978,"Work will soon commence at the Moongate Hub.
Contributors wanted!","“Base Camp Alpha Expansion” has commenced at the Moongate Hub. Contributors wanted!"
2,1979,"Work will soon commence at the Moongate Hub.
Contributors wanted!","“Cosmoliner Alpha Construction Support” has commenced at the Moongate Hub. Contributors wanted!"
3,1980,"Work will soon commence in the Moongate Hub's southeastern sector.
Contributors wanted!","“Habitation Module Construction Support” has commenced in the Moongate Hub's southeastern sector. Contributors wanted!"
4,1981,"Work will soon commence in the Moongate Hub's northwestern sector.
Contributors wanted!","“Cosmoport Alpha Maintenance Support” has commenced in the Moongate Hub's northwestern sector. Contributors wanted!"
5,1982,"Work will soon commence in the Moongate Hub's northeastern sector.
Contributors wanted!","“Mech Hangar Alpha Expansion” has commenced in the Moongate Hub's northeastern sector. Contributors wanted!"
6,0,"Work in northwest Sinus Ardorum is nearly finished. Access to the work site will be restricted upon completion.",""
7,0,"Work in southeast Sinus Ardorum is nearly finished. Access to the work site will be restricted upon completion.",""
8,1983,"Work will soon commence in southern Sinus Ardorum.
Contributors wanted!","“Tunnel Project Alpha Excavation” has commenced in southern Sinus Ardorum. Contributors wanted!"
9,1984,"Work will soon commence in southern Sinus Ardorum.
Contributors wanted!","“Tunnel Project Beta Excavation” has commenced in southern Sinus Ardorum. Contributors wanted!"
10,0,"Work in southwest Sinus Ardorum is nearly finished. Access to the work site will be restricted upon completion.",""
11,1985,"Work will soon commence at the Moongate Hub.
Contributors wanted!","“Base Camp Beta Expansion” has commenced at the Moongate Hub. Contributors wanted!"
12,1986,"Work will soon commence in the Moongate Hub's southwestern sector.
Contributors wanted!","“Energization Expansion Support” has commenced in the Moongate Hub's southwestern sector. Contributors wanted!"
13,1987,"Work will soon commence in the Moongate Hub's western sector.
Contributors wanted!","“Hydrofication Expansion Support” has commenced in the Moongate Hub's western sector. Contributors wanted!"
14,1988,"Work will soon commence in the Moongate Hub's northeastern sector. Contributors wanted!","“Mech Hangar Beta Construction” has commenced in the Moongate Hub's northeastern sector. Contributors wanted!"
15,1989,"Work will soon commence in the Moongate Hub's northwestern sector. Contributors wanted!","“Cosmoport Beta Construction” has commenced in the Moongate Hub's northwestern sector. Contributors wanted!"
16,1990,"Work will soon commence in northeast Sinus Ardorum. Contributors wanted!","“Nadir Lift Preliminary Construction” has commenced in northeast Sinus Ardorum. Contributors wanted!"
17,1991,"Work will soon commence in northeast Sinus Ardorum. Contributors wanted!","“Nadir Lift Final Construction” has commenced in northeast Sinus Ardorum. Contributors wanted!"
18,0,"Work in northeast Sinus Ardorum is nearly finished. Access to the work site will be restricted upon completion.",""
19,1992,"Work will soon commence at the Moongate Hub. Contributors wanted!","“Lunar Hopopolis Construction” has commenced at the Moongate Hub. Contributors wanted!"
20,2008,"Work will soon commence at Glassblowers' Beacon.
Contributors wanted!","“Beacon Camp Alpha Expansion” has commenced at Glassblowers' Beacon. Contributors wanted!"
21,2009,"Work will soon commence at the Glassblown Grotto.
Contributors wanted!","“Cosmoliner Alpha Construction Support” has commenced at the Glassblown Grotto. Contributors wanted!"
22,2010,"Work will soon commence to the northeast of Glassblowers' Beacon.
Contributors wanted!","“Habitation Module Construction Support” has commenced to the northeast of Glassblowers' Beacon. Contributors wanted!"
23,2011,"Work will soon commence to the southeast of Glassblowers' Beacon.
Contributors wanted!","“Energization Station Construction Support” has commenced to the southeast of Glassblowers' Beacon. Contributors wanted!"
24,2012,"Work will soon commence to the southeast of Glassblowers' Beacon.
Contributors wanted!","“Hydrofication Station Construction Support” has commenced to the southeast of Glassblowers' Beacon. Contributors wanted!"
25,2013,"Work will soon commence in the northwestern sector of Glassblowers' Beacon. Contributors wanted!","“Mech Hangar Alpha Expansion” has commenced in the northwestern sector of Glassblowers' Beacon. Contributors wanted!"
26,0,"Work on the Cosmoliner Floatshore Filigree is nearly finished. Access to the work site will be restricted upon completion.",""
27,2014,"Work will soon commence in southeast Millefiori.
Contributors wanted!","“Upper Crane Construction” has commenced in southeast Millefiori. Contributors wanted!"
28,2015,"Work will soon commence in northeast Capsule Chasm.
Contributors wanted!","“Lower Crane Construction” has commenced in northeast Capsule Chasm. Contributors wanted!"
29,0,"Work on the Chasmwind Filigree is nearly finished. Access to the work site will be restricted upon completion.",""
30,2016,"Work will soon commence at Glassblowers' Beacon.
Contributors wanted!","“Beacon Camp Beta Expansion” has commenced at Glassblowers' Beacon. Contributors wanted!"
31,2017,"Work will soon commence at Glassblowers' Beacon's northwestern sector.
Contributors wanted!","“Mech Hangar Beta Expansion” has commenced at Glassblowers' Beacon's northwestern sector. Contributors wanted!"
32,2018,"Work will soon commence at Glassblowers' Beacon's southwestern sector.
Contributors wanted!","“Cosmoport Maintenance Support” has commenced at Glassblowers' Beacon's southwestern sector. Contributors wanted!"
33,2019,"Work will soon commence in northwest Opalescent Crossing.
Contributors wanted!","“Power Procurement” has commenced in northwest Opalescent Crossing. Contributors wanted!"
34,2020,"Work will soon commence in northwest Millefiori.
Contributors wanted!","“Additional Power Procurement” has commenced in northwest Millefiori. Contributors wanted!"
35,2021,"Work will soon commence in the Saltpeter Shore's southern sector.
Contributors wanted!","“Mobilization Station Construction” has commenced in the Saltpeter Shore's southern sector. Contributors wanted!"
36,2022,"Work will soon commence at Fusingway Vent.
Contributors wanted!","“Operation Chilling-a-Way: Phase One” has commenced at Fusingway Vent. Contributors wanted!"
37,2023,"Work will soon commence at Fusingway Vent.
Contributors wanted!","“Operation Chilling-a-Way: Phase Two” has commenced at Fusingway Vent. Contributors wanted!"
38,0,"Work on the Fusingway Vent Cosmoliner is nearly finished. Access to the work site will be restricted upon completion.",""
39,2024,"Work will soon commence in Glassblowers' Beacon.
Contributors wanted!","“Beacon Camp Facility Expansion” has commenced in Glassblowers' Beacon. Contributors wanted!"
