key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
#,EventItem,MonsterNoteTarget{Common}[0],MonsterCount[0],MonsterNoteTarget{Common}[1],MonsterCount[1],MonsterNoteTarget{Common}[2],MonsterCount[2],MonsterNoteTarget{Common}[3],MonsterCount[3],MonsterNoteTarget{Common}[4],MonsterCount[4],MonsterNoteTarget{Common}[5],MonsterCount[5],MonsterNoteTarget{Common}[6],MonsterCount[6],MonsterNoteTarget{Common}[7],MonsterCount[7],MonsterNoteTarget{Common}[8],MonsterCount[8],MonsterNoteTarget{Common}[9],MonsterCount[9],MonsterNoteTarget{NM}[0],MonsterNoteTarget{NM}[1],MonsterNoteTarget{NM}[2],,Fate[0],PlaceName{Fate}[0],Fate[1],PlaceName{Fate}[1],Fate[2],PlaceName{Fate}[2],Leve[0],Leve[1],Leve[2]
int32,EventItem,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,byte,MonsterNoteTarget,MonsterNoteTarget,MonsterNoteTarget,uint16,Fate,PlaceName,Fate,PlaceName,Fate,PlaceName,Leve,Leve,Leve
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2001298,357,3,358,3,359,3,360,3,361,3,362,3,363,3,371,3,364,3,365,3,446,447,448,0,480,155,589,180,611,152,644,849,868
2,2001299,366,3,396,3,367,3,368,3,369,3,370,3,372,3,373,3,374,3,375,3,449,450,451,0,571,138,424,146,633,154,645,853,875
3,2001300,376,3,377,3,356,3,378,3,379,3,380,3,381,3,383,3,384,3,385,3,452,453,454,0,521,156,620,152,430,146,646,860,863
4,2001301,386,3,387,3,388,3,389,3,390,3,391,3,392,3,393,3,394,3,395,3,455,456,457,0,475,155,577,138,540,145,646,649,865
5,2001302,397,3,398,3,400,3,401,3,402,3,403,3,382,3,413,3,404,3,405,3,458,459,453,0,569,138,516,156,616,152,647,652,870
6,2001303,406,3,407,3,408,3,409,3,399,3,410,3,411,3,412,3,414,3,415,3,460,461,448,0,632,154,642,147,499,155,650,643,873
7,2001304,416,3,417,3,418,3,419,3,420,3,421,3,422,3,423,3,424,3,425,3,462,463,454,0,317,139,604,148,517,156,643,658,848
8,2001305,426,3,427,3,428,3,429,3,430,3,431,3,432,3,433,3,434,3,435,3,464,451,457,0,552,146,486,155,628,153,644,659,855
9,2001306,436,3,437,3,438,3,439,3,440,3,441,3,442,3,443,3,444,3,445,3,465,459,461,0,493,155,587,180,543,145,645,657,859
