key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
#,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,uint32,str,bit&01,str,str,str,str,str,str,str,str,str,str,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,str,str,str
0,0,"",False,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
1,0,"",False,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","Yes","No"
2,0,"WarpRentalChocobo",True,"HOWTO_ABOUT_RENTAL_CHOCOBO","","","","","","","","","",81,0,0,0,0,0,0,0,0,0,"Rent a Chocobo","",""
3,0,"WarpInnLimsaLominsa",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
4,0,"WarpInnGridania",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
5,0,"WarpInnUldah",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
6,0,"WarpHousingEnterHouse",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","Yes","No"
7,0,"WarpHousingExitHouse",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","Yes","No"
8,0,"WarpWeddingPlaceDesk",False,"QUEST_WEDDING","ITEM_CHILD_TICKET","","","","","","","","",67114,8699,0,0,0,0,0,0,0,0,"","Yes","No"
9,0,"WarpInnIshgard",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
10,0,"WarpInnKugane",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
