key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,ExpToNext,AdditionalActions,ApplyAction,ScaledQuestXP,MpModifier,BaseSpeed,LevelModifier,QuestExpModifier,HpModifier,HuntingLogExpReward,MonsterNoteSeals,ItemLevelSync,ProperDungeon,ProperGuildOrder,CraftingLevel
int32,int32,byte,byte,uint16,int32,int32,int32,byte,uint16,int32,int32,uint16,uint16,uint16,uint16
0,100,0,0,45,10000,53,53,1,2,0,0,0,4,10001,0
1,300,1,0,50,10000,56,56,2,6,2500,1181,1,4,10001,1
2,600,1,0,55,10000,57,57,4,14,0,0,2,4,10001,2
3,1100,1,0,60,10000,60,60,7,21,0,0,3,4,10001,3
4,1700,1,0,65,10000,62,62,7,27,0,0,4,4,10001,4
5,2300,1,0,70,10000,65,65,8,34,0,0,5,4,10001,5
6,4200,1,0,75,10000,68,68,13,58,0,0,6,4,10001,6
7,6000,1,0,80,10000,70,70,14,79,0,0,7,4,10001,7
8,7350,1,1,85,10000,73,73,15,92,0,0,8,4,10001,8
9,9930,1,1,90,10000,76,76,18,119,0,0,9,4,10001,9
10,11800,2,1,95,10000,78,78,18,134,10000,2141,10,4,10001,10
11,15600,2,1,100,10000,82,82,21,169,0,0,11,4,10001,11
12,19600,2,2,105,10000,85,85,25,201,0,0,12,4,10001,12
13,23700,2,2,110,10000,89,89,28,231,0,0,13,4,10001,13
14,26400,2,2,115,10000,93,93,28,243,0,0,14,4,10001,14
15,30500,3,2,120,10000,96,96,28,268,0,0,15,4,10003,15
16,35400,3,3,125,10000,100,100,28,297,0,0,16,2,10003,16
17,40500,3,3,130,10000,104,104,28,324,0,0,17,3,10003,17
18,45700,3,3,135,10000,109,109,28,349,0,0,18,3,10003,18
19,51000,3,3,140,10000,113,113,28,373,0,0,19,3,10003,19
20,56600,4,4,145,10000,116,116,28,396,20000,3603,20,7,10005,20
21,63900,4,4,150,10000,122,122,28,429,0,0,21,7,10005,21
22,71400,4,4,155,10000,127,127,28,460,0,0,22,7,10005,22
23,79100,4,4,160,10000,133,133,28,490,0,0,23,7,10005,23
24,87100,4,5,165,10000,138,138,28,518,0,0,24,1,10005,24
25,95200,5,5,170,10000,144,144,28,544,0,0,25,1,10007,25
26,109800,5,5,175,10000,150,150,29,605,0,0,26,1,10007,26
27,124800,5,5,180,10000,155,155,32,662,0,0,27,1,10007,27
28,140200,5,5,185,10000,162,162,34,717,0,0,28,6,10007,28
29,155900,5,5,190,10000,168,168,38,770,0,0,29,6,10007,29
30,162500,6,5,195,10000,173,173,38,774,30000,0,30,6,10009,30
31,175900,6,5,200,10000,181,181,38,810,0,0,31,6,10009,31
32,189600,6,6,205,10000,188,188,39,844,0,0,32,8,10009,32
33,203500,6,6,210,10000,194,194,39,876,0,0,33,8,10009,33
