key,0,1,2,3,4
#,Name{Action},Icon,Addon,QuickChatTransient,
int32,str,Image,Addon,QuickChatTransient,uint16
0,"Deleted Message",783,0,0,0
1,"Hello",9901,11030,1,1
2,"Good Match",9902,11031,2,2
3,"Thank You",9903,11032,3,3
4,"Nice Job",9904,11033,4,4
5,"Additional Action 1",9927,11034,6,5
6,"Adrenaline Rush",9906,11035,5,6
7,"Offensive Supplies",9907,11036,10,0
8,"Defensive Supplies",9908,11037,11,0
9,"Adrenaline Supplies",9909,11038,12,9
10,"Wolf's Heart",9910,11039,13,10
11,"Attack Tank",9911,11040,14,11
12,"Attack Healer",9912,11041,15,12
13,"Attack Melee DPS",9913,11042,16,13
14,"Attack Ranged DPS",9914,11043,17,14
15,"Stop Tank",9915,11044,19,15
16,"Stop Healer",9916,11045,20,16
17,"Stop Melee DPS",9917,11046,21,17
18,"Stop Ranged DPS",9918,11047,22,18
19,"Collecting Medals",9919,11048,24,19
20,"Get Medals",9920,11049,25,20
21,"Charge",9921,11050,26,21
22,"Retreat",9922,11051,27,22
23,"MP",9923,11052,8,23
24,"TP",9924,11053,9,0
25,"Attack Target",9925,11054,18,25
26,"Stop Target",9926,11055,23,26
27,"Additional Action 2",9928,11056,7,27
28,"Focus Attack",9935,11057,28,28
29,"End Focused Attack",9936,11058,29,29
