key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,,,,,,,,,,,,,,
int32,uint32,int16,int32,uint16,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str
0,0,-1,0,0,"",0,"",0,0,1,0,0,"",""
1,71037,0,200049,0,"pair of oval spectacles",0,"pairs of oval spectacles",0,0,1,0,0,"A piece of undyed facewear.","Oval Spectacles"
2,136573,0,200053,0,"pair of silver oval spectacles",0,"pairs of silver oval spectacles",0,0,1,0,0,"A piece of silver facewear.","Silver Oval Spectacles"
3,202109,0,200052,0,"pair of gold oval spectacles",0,"pairs of gold oval spectacles",0,0,1,0,0,"A piece of gold facewear.","Gold Oval Spectacles"
4,267645,0,200054,0,"pair of black oval spectacles",0,"pairs of black oval spectacles",0,0,1,0,0,"A piece of black facewear.","Black Oval Spectacles"
5,333181,0,200059,0,"pair of white oval spectacles",0,"pairs of white oval spectacles",0,0,1,0,0,"A piece of white facewear.","White Oval Spectacles"
6,398717,0,200050,0,"pair of grey oval spectacles",0,"pairs of grey oval spectacles",0,0,1,0,0,"A piece of grey facewear.","Grey Oval Spectacles"
7,464253,0,200057,0,"pair of red oval spectacles",0,"pairs of red oval spectacles",0,0,1,0,0,"A piece of red facewear.","Red Oval Spectacles"
8,529789,0,200056,0,"pair of blue oval spectacles",0,"pairs of blue oval spectacles",0,0,1,0,0,"A piece of blue facewear.","Blue Oval Spectacles"
9,595325,0,200060,0,"pair of green oval spectacles",0,"pairs of green oval spectacles",0,0,1,0,0,"A piece of green facewear.","Green Oval Spectacles"
10,660861,0,200051,0,"pair of brass oval spectacles",0,"pairs of brass oval spectacles",0,0,1,0,0,"A piece of brass facewear.","Brass Oval Spectacles"
11,726397,0,200055,0,"pair of purple oval spectacles",0,"pairs of purple oval spectacles",0,0,1,0,0,"A piece of purple facewear.","Purple Oval Spectacles"
12,791933,0,200058,0,"pair of brown oval spectacles",0,"pairs of brown oval spectacles",0,0,1,0,0,"A piece of brown facewear.","Brown Oval Spectacles"
13,71038,1,200085,0,"pair of shaded spectacles",0,"pairs of shaded spectacles",0,0,1,0,0,"A piece of undyed facewear.","Shaded Spectacles"
14,136574,1,200089,0,"pair of silver shaded spectacles",0,"pairs of silver shaded spectacles",0,0,1,0,0,"A piece of silver facewear.","Silver Shaded Spectacles"
15,202110,1,200088,0,"pair of gold shaded spectacles",0,"pairs of gold shaded spectacles",0,0,1,0,0,"A piece of gold facewear.","Gold Shaded Spectacles"
16,267646,1,200090,0,"pair of black shaded spectacles",0,"pairs of black shaded spectacles",0,0,1,0,0,"A piece of black facewear.","Black Shaded Spectacles"
17,333182,1,200095,0,"pair of white shaded spectacles",0,"pairs of white shaded spectacles",0,0,1,0,0,"A piece of white facewear.","White Shaded Spectacles"
18,398718,1,200086,0,"pair of grey shaded spectacles",0,"pairs of grey shaded spectacles",0,0,1,0,0,"A piece of grey facewear.","Grey Shaded Spectacles"
19,464254,1,200093,0,"pair of red shaded spectacles",0,"pairs of red shaded spectacles",0,0,1,0,0,"A piece of red facewear.","Red Shaded Spectacles"
20,529790,1,200092,0,"pair of blue shaded spectacles",0,"pairs of blue shaded spectacles",0,0,1,0,0,"A piece of blue facewear.","Blue Shaded Spectacles"
21,595326,1,200096,0,"pair of green shaded spectacles",0,"pairs of green shaded spectacles",0,0,1,0,0,"A piece of green facewear.","Green Shaded Spectacles"
22,660862,1,200087,0,"pair of brass shaded spectacles",0,"pairs of brass shaded spectacles",0,0,1,0,0,"A piece of brass facewear.","Brass Shaded Spectacles"
23,726398,1,200091,0,"pair of purple shaded spectacles",0,"pairs of purple shaded spectacles",0,0,1,0,0,"A piece of purple facewear.","Purple Shaded Spectacles"
24,791934,1,200094,0,"pair of brown shaded spectacles",0,"pairs of brown shaded spectacles",0,0,1,0,0,"A piece of brown facewear.","Brown Shaded Spectacles"
25,71039,2,200061,0,"pair of classic spectacles",0,"pairs of classic spectacles",0,0,1,0,0,"A piece of undyed facewear.","Classic Spectacles"
26,136575,2,200065,0,"pair of silver classic spectacles",0,"pairs of silver classic spectacles",0,0,1,0,0,"A piece of silver facewear.","Silver Classic Spectacles"
27,202111,2,200064,0,"pair of gold classic spectacles",0,"pairs of gold classic spectacles",0,0,1,0,0,"A piece of gold facewear.","Gold Classic Spectacles"
28,267647,2,200066,0,"pair of black classic spectacles",0,"pairs of black classic spectacles",0,0,1,0,0,"A piece of black facewear.","Black Classic Spectacles"
29,333183,2,200071,0,"pair of white classic spectacles",0,"pairs of white classic spectacles",0,0,1,0,0,"A piece of white facewear.","White Classic Spectacles"
30,398719,2,200062,0,"pair of grey classic spectacles",0,"pairs of grey classic spectacles",0,0,1,0,0,"A piece of grey facewear.","Grey Classic Spectacles"
31,464255,2,200069,0,"pair of red classic spectacles",0,"pairs of red classic spectacles",0,0,1,0,0,"A piece of red facewear.","Red Classic Spectacles"
32,529791,2,200068,0,"pair of blue classic spectacles",0,"pairs of blue classic spectacles",0,0,1,0,0,"A piece of blue facewear.","Blue Classic Spectacles"
33,595327,2,200072,0,"pair of green classic spectacles",0,"pairs of green classic spectacles",0,0,1,0,0,"A piece of green facewear.","Green Classic Spectacles"
34,660863,2,200063,0,"pair of brass classic spectacles",0,"pairs of brass classic spectacles",0,0,1,0,0,"A piece of brass facewear.","Brass Classic Spectacles"
35,726399,2,200067,0,"pair of purple classic spectacles",0,"pairs of purple classic spectacles",0,0,1,0,0,"A piece of purple facewear.","Purple Classic Spectacles"
36,791935,2,200070,0,"pair of brown classic spectacles",0,"pairs of brown classic spectacles",0,0,1,0,0,"A piece of brown facewear.","Brown Classic Spectacles"
37,71040,3,200013,0,"pair of rose-colored spectacles",0,"pairs of rose-colored spectacles",0,0,1,0,0,"A piece of undyed facewear.","Rose-colored Spectacles"
38,136576,3,200017,0,"pair of silver rose-colored spectacles",0,"pairs of silver rose-colored spectacles",0,0,1,0,0,"A piece of silver facewear.","Silver Rose-colored Spectacles"
39,202112,3,200016,0,"pair of gold rose-colored spectacles",0,"pairs of gold rose-colored spectacles",0,0,1,0,0,"A piece of gold facewear.","Gold Rose-colored Spectacles"
40,267648,3,200018,0,"pair of black rose-colored spectacles",0,"pairs of black rose-colored spectacles",0,0,1,0,0,"A piece of black facewear.","Black Rose-colored Spectacles"
41,333184,3,200023,0,"pair of white rose-colored spectacles",0,"pairs of white rose-colored spectacles",0,0,1,0,0,"A piece of white facewear.","White Rose-colored Spectacles"
42,398720,3,200014,0,"pair of grey rose-colored spectacles",0,"pairs of grey rose-colored spectacles",0,0,1,0,0,"A piece of grey facewear.","Grey Rose-colored Spectacles"
