key,0,1,2,3,4,5,6,7,8,9
#,Item,,,,,,,,,
int32,Item,bit&01,byte,byte,byte,uint32,bit&02,byte,byte,byte
0,0,False,0,0,0,0,False,0,0,0
1,30315,False,2,3,5,0,False,0,0,0
2,30316,False,2,3,5,0,False,0,0,0
3,30317,False,2,3,5,0,False,0,0,0
4,30318,False,2,3,5,0,False,0,0,0
5,30319,False,2,3,5,0,False,0,0,0
6,30320,False,2,3,5,0,False,0,0,0
7,30321,False,2,3,5,0,False,0,0,0
8,30322,False,2,3,5,0,False,0,0,0
9,30323,False,2,3,5,0,False,0,0,0
10,30324,False,2,3,5,0,False,0,0,0
11,30325,False,2,3,5,0,False,0,0,0
12,30326,False,2,3,5,0,False,0,0,0
13,30327,False,2,3,5,0,False,0,0,0
14,30328,False,2,3,5,0,False,0,0,0
15,30329,False,2,3,5,0,False,0,0,0
16,30330,False,2,3,5,0,False,0,0,0
17,0,False,0,0,0,0,False,0,0,0
