key,0,1,2,3,4,5,6,7,8,9,10,11,12
#,,,,,,,,,,,,,
int32,single,single,byte,byte,single,single,single,single,byte,byte,byte,byte,uint16
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0.144,0.31,2,0,0.07,0.12,0,0.139,255,255,0,1,3
2.1,0.341,0.318,2,0,0.075,0.198,0,0.146,255,255,0,2,4
2.2,0.52,0.34,2,0,0.065,0.145,0,0.119,255,255,1,3,5
2.3,0.66,0.33,2,0,0.075,0.169,0,0.13,255,255,2,4,6
2.4,0.769,0.44,2,0,0.085,0.516,0,0.299,255,255,3,4,7
3.0,0.108,0.248,2,0,0.139,0.417,0,0.233,255,255,255,2,8
3.1,0.904,0.248,2,0,0.139,0.417,0,0.233,255,255,3,255,9
3.2,0.282,0.377,2,0,0.087,0.232,0,0.146,255,255,0,4,10
3.3,0.732,0.377,2,0,0.087,0.232,0,0.146,255,255,4,1,11
3.4,0.578,0.527,2,1,0.071,0.242,0,0.151,255,255,2,3,16
4.0,0.108,0.248,2,0,0.139,0.417,0,0.233,255,255,255,2,12
4.1,0.904,0.248,2,0,0.139,0.417,0,0.233,255,255,3,255,13
4.2,0.282,0.377,2,0,0.087,0.232,0,0.146,255,255,0,4,14
4.3,0.732,0.377,2,0,0.087,0.232,0,0.146,255,255,4,1,15
4.4,0.585,0.532,2,1,0.071,0.275,0,0.164,255,255,2,3,16
5.0,0.123,0.27,2,0,0.089,0.29,0,0.189,255,255,0,1,17
5.1,0.315,0.28,2,0,0.129,0.265,0,0.177,255,255,0,2,18
5.2,0.488,0.28,2,0,0.099,0.36,0,0.224,255,255,1,3,19
5.3,0.666,0.31,2,0,0.101,0.35,0,0.22,255,255,2,4,20
5.4,0.823,0.43,2,0,0.149,0.23,0,0.159,255,255,3,4,21
6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2,0,0,0,0,0,0,0,0,0,0,0,0,0
