key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
#,Npc,Quest{Required},LevelUnlock,DeliveriesPerWeek,SupplyIndex[0],SupplyIndex[1],SupplyIndex[2],SupplyIndex[3],SupplyIndex[4],SupplyIndex[5],Satisfaction{Required}[0],Satisfaction{Required}[1],Satisfaction{Required}[2],Satisfaction{Required}[3],Satisfaction{Required}[4],Satisfaction{Required}[5],Item[0][0],Item[1][0],Item[2][0],Item[3][0],Item[4][0],Item[5][0],ItemCount[0][0],ItemCount[1][0],ItemCount[2][0],ItemCount[3][0],ItemCount[4][0],ItemCount[5][0],IsHQ[0][0],IsHQ[1][0],IsHQ[2][0],IsHQ[3][0],IsHQ[4][0],IsHQ[5][0],Item[0][1],Item[1][1],Item[2][1],Item[3][1],Item[4][1],Item[5][1],ItemCount[0][1],ItemCount[1][1],ItemCount[2][1],ItemCount[3][1],ItemCount[4][1],ItemCount[5][1],IsHQ[0][1],IsHQ[1][1],IsHQ[2][1],IsHQ[3][1],IsHQ[4][1],IsHQ[5][1],Item[0][2],Item[1][2],Item[2][2],Item[3][2],Item[4][2],Item[5][2],ItemCount[0][2],ItemCount[1][2],ItemCount[2][2],ItemCount[3][2],ItemCount[4][2],ItemCount[5][2],IsHQ[0][2],IsHQ[1][2],IsHQ[2][2],IsHQ[3][2],IsHQ[4][2],IsHQ[5][2],Icon,,,
int32,ENpcResident,Quest,byte,byte,int32,int32,int32,int32,int32,int32,uint16,uint16,uint16,uint16,uint16,uint16,Item,Item,Item,Item,Item,Item,byte,byte,byte,byte,byte,byte,bool,bool,bool,bool,bool,bool,Item,Item,Item,Item,Item,Item,byte,byte,byte,byte,byte,byte,bool,bool,bool,bool,bool,bool,Item,Item,Item,Item,Item,Item,byte,byte,byte,byte,byte,byte,bool,bool,bool,bool,bool,bool,Image,byte,byte,byte
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,0,0,0,0
1,1019615,67087,55,6,0,1,2,3,4,5,0,90,480,780,1080,0,0,5703,5688,5698,5693,0,0,1,1,1,1,0,False,False,False,False,False,False,0,12868,14140,5708,5713,0,0,1,1,1,1,0,False,True,True,False,False,False,0,12865,14139,12870,12863,0,0,1,1,1,1,0,False,True,True,True,True,False,61661,1,0,0
2,1020337,68541,60,6,0,6,7,8,9,10,0,90,480,780,1080,0,0,18025,18022,18024,18023,0,0,1,1,1,1,0,False,False,False,False,False,False,0,12868,14140,18026,18027,0,0,3,3,1,1,0,False,True,True,False,False,False,0,12865,14139,12870,12863,0,0,3,3,3,3,0,False,True,True,True,True,False,61662,99,0,0
3,1025878,68675,62,6,0,11,12,13,14,15,0,90,480,780,1080,0,0,18025,18022,18024,18023,0,0,1,1,1,1,0,False,False,False,False,False,False,0,12868,14140,18026,18027,0,0,3,3,1,1,0,False,True,True,False,False,False,0,12865,14139,12870,12863,0,0,3,3,3,3,0,False,True,True,True,True,False,61663,0,0,0
4,1018393,68713,66,6,0,16,17,18,19,20,0,90,480,780,1080,0,0,18025,18022,18024,18023,0,0,1,1,1,1,0,False,False,False,False,False,False,0,19826,19834,18026,18027,0,0,3,3,1,1,0,False,True,True,False,False,False,0,19830,19839,23187,23185,0,0,3,3,3,3,0,False,True,True,True,True,False,61664,2,0,0
5,1031801,69265,70,6,0,21,22,23,24,25,0,90,480,780,1080,0,0,18025,18022,18024,18023,0,0,1,1,1,1,0,False,False,False,False,False,False,0,27864,27870,18026,18027,0,0,3,3,1,1,0,False,True,True,False,False,False,0,27865,27871,27876,27878,0,0,3,3,3,3,0,False,True,True,True,True,False,61665,3,0,0
6,1033543,69425,70,6,0,26,27,28,29,30,0,90,480,780,1080,0,0,18025,18022,18024,18023,0,0,1,1,1,1,0,False,False,False,False,False,False,0,27864,27870,18026,18027,0,0,3,3,1,1,0,False,True,True,False,False,False,0,27865,27871,27876,27878,0,0,3,3,3,3,0,False,True,True,True,True,False,0,99,3,4
7,1035211,69615,70,6,0,31,32,33,34,35,0,90,480,780,1080,0,0,18025,18022,18024,18023,0,0,1,1,1,1,0,False,False,False,False,False,False,0,27864,27870,18026,18027,0,0,3,3,1,1,0,False,True,True,False,False,False,0,27865,27871,27876,27878,0,0,3,3,3,3,0,False,True,True,True,True,False,61669,4,5,5
