key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,Item,Theme[0],Theme[1],,Material[0],Amount[0],Material[1],Amount[1],Material[2],Amount[2],Material[3],Amount[3],LevelReq,CraftingTime,Value
int32,Item,MJICraftworksObjectTheme,MJICraftworksObjectTheme,uint16,MJIItemPouch,uint16,MJIItemPouch,uint16,MJIItemPouch,uint16,MJIItemPouch,uint16,uint16,uint16,uint16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37628,8,0,0,0,2,7,2,0,0,0,0,1,4,28
2,37633,8,16,0,8,2,14,1,7,1,0,0,1,4,28
3,37627,6,12,0,9,4,11,2,0,0,0,0,1,6,42
4,37630,3,15,0,4,2,5,2,0,0,0,0,1,4,28
5,37629,10,12,0,2,3,11,1,0,0,0,0,1,4,28
6,37631,10,15,0,6,3,11,3,0,0,0,0,1,6,42
7,37632,2,11,0,13,3,8,3,0,0,0,0,1,6,42
8,37634,7,12,0,10,3,3,3,0,0,0,0,1,6,42
9,37618,1,0,0,43,1,15,3,0,0,0,0,1,4,40
10,37619,3,0,0,45,1,12,3,0,0,0,0,1,4,40
11,37620,2,13,0,52,2,11,4,0,0,0,0,1,6,72
12,37621,5,14,0,53,1,10,3,0,0,0,0,1,4,44
13,37622,5,12,0,54,1,10,3,0,0,0,0,1,4,44
14,37623,3,14,0,56,1,5,3,0,0,0,0,1,4,44
15,37624,7,14,0,57,2,3,4,0,0,0,0,1,6,72
16,37625,10,14,0,58,1,11,3,0,0,0,0,1,4,44
17,37626,9,14,0,60,1,15,3,0,0,0,0,1,4,44
18,37635,6,16,0,19,2,14,2,10,2,0,0,5,6,48
19,37636,6,11,0,20,3,13,3,9,2,0,0,5,8,64
20,37637,8,0,0,27,2,7,3,2,3,0,0,5,8,136
21,37638,7,16,0,28,2,13,3,20,3,0,0,5,8,136
22,37639,2,12,0,29,2,13,3,3,3,0,0,5,8,136
23,37640,5,15,0,30,2,5,3,12,3,0,0,5,8,136
24,37641,10,11,0,31,2,20,3,6,3,0,0,5,8,136
25,37642,4,0,0,42,2,60,1,12,3,0,0,5,6,72
26,37643,3,0,0,50,2,7,1,12,1,0,0,5,4,48
27,37644,4,0,0,16,4,60,2,0,0,0,0,6,6,81
28,37645,10,13,0,17,2,13,2,11,2,0,0,6,6,54
29,37646,5,13,0,18,2,7,1,11,1,0,0,6,4,36
30,37647,2,13,0,55,2,17,2,18,2,0,0,6,6,81
31,37648,5,14,0,59,2,19,2,18,2,0,0,6,6,81
32,37649,1,15,0,24,4,15,2,0,0,0,0,7,6,54
33,37650,9,15,0,25,2,15,2,0,0,0,0,7,4,36
34,37651,8,15,0,26,2,0,2,5,2,0,0,7,6,54
35,37652,9,0,0,44,3,16,2,12,1,0,0,7,6,78
36,37654,9,0,0,47,2,16,1,7,1,0,0,7,4,52
37,37653,3,0,0,46,3,15,2,7,1,0,0,7,6,78
38,37655,4,15,0,48,3,24,2,16,1,0,0,7,6,78
39,37656,1,0,0,49,2,16,2,0,0,0,0,7,4,52
40,37657,1,0,0,51,4,1,2,16,2,0,0,7,8,104
41,37658,7,11,0,21,3,9,3,8,2,0,0,8,8,72
42,37659,10,16,0,22,3,21,3,3,2,0,0,8,8,72
43,37660,5,16,0,23,3,22,3,19,2,0,0,8,8,72
44,37661,8,0,0,43,3,7,2,5,1,0,0,8,6,78
45,37662,4,0,0,45,3,56,1,60,1,0,0,8,6,78
46,37663,6,14,0,52,3,17,2,18,1,0,0,8,6,90
47,37664,5,11,0,53,3,21,2,10,1,0,0,9,6,90
48,37665,6,13,0,54,4,17,2,9,2,0,0,9,8,120
49,37666,2,14,0,57,4,21,2,17,2,0,0,9,8,120
50,37667,7,12,0,58,4,22,2,9,2,0,0,9,8,120
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
