key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
#,Name,Abbreviation,,ClassJobCategory,ExpArrayIndex,BattleClassIndex,,JobIndex,DohDolJobIndex,Modifier{HitPoints},Modifier{ManaPoints},Modifier{Strength},Modifier{Vitality},Modifier{Dexterity},Modifier{Intelligence},Modifier{Mind},Modifier{Piety},,,,,,,,,,PvPActionSortRow,,ClassJob{Parent},Name{English},Item{StartingWeapon},,Role,StartingTown,MonsterNote,PrimaryStat,LimitBreak1,LimitBreak2,LimitBreak3,UIPriority,Item{SoulCrystal},UnlockQuest,RelicQuest,Prerequisite,StartingLevel,PartyBonus,,IsLimitedJob,CanQueueForDuty
int32,str,str,str,ClassJobCategory,sbyte,sbyte,byte,byte,sbyte,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,int32,int32,byte,byte,byte,ClassJob,str,Item,int32,byte,Town,MonsterNote,byte,Action,Action,Action,byte,Item,Quest,Quest,Quest,byte,byte,byte,bit&01,bit&01
0,"","","",30,-1,-1,0,0,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,"Adventurer",0,0,0,0,127,0,0,0,0,0,0,0,0,0,1,0,0,False,False
1,"gladiator","GLA","剣",30,1,0,1,0,-1,130,100,95,100,90,50,95,100,100,100,100,100,100,100,1,0,0,0,0,1,"Gladiator",1601,0,1,3,0,1,197,198,199,2,0,0,0,0,1,1,0,False,True
2,"pugilist","PGL","格",30,0,1,2,0,-1,105,100,100,95,100,45,85,100,100,100,100,100,100,100,2,0,0,0,0,2,"Pugilist",1680,0,2,3,1,1,200,201,202,22,0,0,0,0,1,3,0,False,True
3,"marauder","MRD","斧",30,2,2,3,0,-1,135,100,100,100,90,30,50,100,100,100,100,100,100,100,3,0,0,0,0,3,"Marauder",1749,0,1,1,2,1,197,198,4240,4,0,0,0,0,1,1,0,False,True
4,"lancer","LNC","槍",30,4,3,4,0,-1,110,100,105,100,95,40,60,100,100,100,100,100,100,100,4,0,0,0,0,4,"Lancer",1819,0,2,2,3,1,200,201,4242,24,0,0,0,0,1,3,0,False,True
5,"archer","ARC","弓",30,3,4,5,0,-1,100,100,85,95,105,80,75,100,100,100,100,100,100,100,5,0,0,0,0,5,"Archer",1889,0,3,2,4,2,4238,4239,4244,32,0,0,0,0,1,4,0,False,True
6,"conjurer","CNJ","幻",31,6,5,6,0,-1,100,100,50,95,100,100,105,100,100,100,100,100,100,100,6,0,0,0,0,6,"Conjurer",1995,0,4,2,5,5,206,207,208,12,0,0,0,0,1,2,2,False,True
7,"thaumaturge","THM","呪",31,5,6,7,0,-1,100,100,40,95,95,105,70,100,100,100,100,100,100,100,7,0,0,0,0,7,"Thaumaturge",2055,0,3,3,6,4,203,204,205,42,0,0,0,0,1,5,0,False,True
