key,0,1,2,3,4,5,6,7,8,9,10
#,Quest,,UITab,Category,,QuestRedoUISmall,QuestRedoUILarge,QuestRedoUIWide,ChapterName,ChapterPart,Transient
int32,Quest,uint32,QuestRedoChapterUITab,QuestRedoChapterUICategory,byte,Image,Image,Image,str,str,str
0,0,0,0,0,0,0,0,0,"","",""
1,66060,0,1,30,1,114766,114166,114466,"A Realm Reborn - Part 1","Part 1","Eorzea─a realm embraced by gods and forged by heroes. It is here that one adventurer's journey begins. Though power, fame, and fortune all beckon, this intrepid soul is destined for greater things still. Guided by the Mothercrystal, they will walk the path of a hero─of a Warrior of Light..."
2,66060,0,1,30,2,114767,114167,114467,"A Realm Reborn - Part 2","Part 2","In the midst of touring the three city-states and witnessing the myriad problems besetting the realm, the adventurer has a chance encounter with a member of the enigmatic Scions of the Seventh Dawn. An invitation to their base of operations, the Waking Sands, promises to shed light upon the mystery of the Echo and more."
3,66060,0,1,30,3,114768,114168,114468,"A Realm Reborn - Part 3","Part 3","The adventurer's victory over Ifrit, the Lord of the Inferno, prompts comparisons to be made to the fabled Warrior of Light. Yet even as the feat draws the admiration of the masses, so too does it draw the ire of the shadowy Ascians. To what end these masked individuals scheme remains to be seen, the search for answers beginning with the one named Lahabrea."
4,66060,0,1,30,4,114769,114169,114469,"A Realm Reborn - Part 4","Part 4","With the hard-won aid of the Company of Heroes, the adventurer succeeds in vanquishing Titan, the Lord of Crags. And though she arrives too late to aid in the battle, Y'shtola chances to discover that the Garlean Empire is in league with the Ascians, an unsettling revelation that serves to compound the intrigue."
5,66996,0,1,30,5,114770,114170,114470,"A Realm Reborn - Part 5","Part 5","At the end of a large-scale operation marshaling the combined might of the three city-states, the Warrior of Light emerges triumphant in the Praetorium. The Empire's stranglehold over the realm thus broken, the leaders of Eorzea declare that the Seventh Astral Era has dawned. But the celebration would prove short-lived, for there can be no light without shadow."
6,65964,0,1,30,6,114771,114171,114471,"A Realm Reborn - Part 6","Part 6","The Seventh Astral Era is meant to be a time of peace, and yet Eorzea remains rife with turmoil; from rampaging primals to unruly refugees, myriad are the problems demanding urgent answers. In response, Alphinaud forms the Crystal Braves, an ambitious company that will serve the realm as a whole rather than any one nation."
7,67205,0,1,1,1,114701,114101,114401,"Heavensward - Part 1","Part 1","Owing to schemes in the shadows of Ul'dah, the Scions of the Seventh Dawn have been scattered, and the Warrior of Light has been forced to flee north. Though granted shelter by Lord Haurchefant, the heroes must press on to Ishgard. But what trials await in this reclusive nation, locked in a never-ending struggle with dragons?"
8,67205,0,1,1,2,114702,114102,114402,"Heavensward - Part 2","Part 2","Venturing deep into the domain of the dragons, the heroes come face-to-face with the great wyrm Hraesvelgr, from whom they learn the sordid truth of the Dragonsong War. Born of man's treachery was this bloody conflict, and by man's hand it must be ended. Thus does the Warrior of Light sally forth with Ishgard's greatest champion, the Azure Dragoon, on a mission to crush the serpent's head."
9,67783,0,1,1,3,114703,114103,114403,"Heavensward - Part 3","Part 3","Though it came at great cost, the heroes have triumphed over the archbishop on the floating continent of Azys Lla, thereby breaking the cycle of conflict between man and dragon. Yet a millennium of war is not soon ended, and in the wake of the Warrior of Light's return, the nation of Ishgard was left trembling, the faith of her people shaken to the very core."
10,67895,0,1,1,4,114704,114104,114404,"Heavensward - Part 4","Part 4","After a thousand years of bloodshed and sorrow, the shade of Nidhogg, rage incarnate, fell at last to the Warrior of Light. So it was that the Dragonsong War drew to a close, and the survivors, bloodied but unbowed, could begin to pick up the pieces. A new day dawns in Ishgard, and her champions may rest easy─if only for a moment. For every ending marks a new beginning."
11,68089,0,1,2,1,114705,114105,114405,"Stormblood - Part 1","Part 1","With the vaunted Warrior of Light marching beside them, the men and women of the Eorzean Alliance prepare to liberate Ala Mhigo, a land conquered by the Garlean Empire twenty years ago. Meanwhile, in the Far East, the freedom fighters of the fallen nation of Doma struggle to rekindle the fires of hope in their countrymen."
12,68089,0,1,2,2,114706,114106,114406,"Stormblood - Part 2","Part 2","Making their way across the Ruby Sea, the heroes set foot upon the shores of Yanxia, a region which has languished under imperial rule for twenty-five long years. In order to wrest these troubled lands from the spiteful grip of the acting imperial viceroy of Doma, Yotsuyu, they set out for the boundless plains of the Azim Steppe, in search of the kingdom's rightful ruler."
13,68612,0,1,2,3,114707,114107,114407,"Stormblood - Part 3","Part 3","The liberation of Ala Mhigo signals the end of an era of tyranny. Here, on the cusp of a new age of freedom, her people must decide how they will greet their future...and reconcile with their past. What path lies ahead for Lyse and her efforts to rebuild the nation? What choices plague Fordola from within her prison cell? And to where will Raubahn return, now that the dream for his homeland has at last become a reality?"
14,68721,0,1,2,4,114708,114108,114408,"Stormblood - Part 4","Part 4","The shadow of mystery deepens as the man who wears Zenos's face continues to move unchecked, sowing the seeds of strife from the heart of the Empire. All indications point to Ascian machination, and the arrival of a messenger at the Rising Stones sets the Scions of the Seventh Dawn upon a path rife with peril, towards an unknowable destination."
15,69190,0,1,3,1,114709,114109,114409,"Shadowbringers - Part 1","Part 1","Ala Mhigo is at last free from imperial rule, but that liberty may prove fleeting as the Empire moves to both reclaim this bloodied nation and subjugate all of Eorzea. In their hour of need, however, they cannot turn to the Warrior of Light. Nor to the Scions, who yet slumber, their souls adrift. The realm is left to struggle without its saviors, for they have been beckoned beyond time and space─beckoned to the First."
16,69190,0,1,3,2,114710,114110,114410,"Shadowbringers - Part 2","Part 2","Though the Warriors of Darkness have succeeded in restoring the night to the Rak'tika Greatwood, much of Norvrandt yet remains shrouded in primordial Light, its denizens at the mercy of the abominations known as sin eaters. Burdened by the unsettling truths revealed to them by the Ascian Emet-Selch, the heroes forge on along their chosen path─the path of villainy."
17,65580,0,3,4,1,114711,114111,114411,"The Binding Coil of Bahamut","","Ripped from the heavens by the nefarious designs of Nael van Darnus, the false moon Dalamud hurtled into Vylbrand, its shattering impact forming a network of labyrinthine caverns beneath the surface. Braving dangers untold, the Warrior of Light plumbs the subterranean depths, that the truth behind the Seventh Umbral Calamity may be unearthed."
18,66031,0,3,5,1,114712,114112,114412,"The Crystal Tower","","A sky-scraping spire that shines with the light of a thousand stars─long thought to be but a legend, the Crystal Tower arose from the crags of Mor Dhona in the wake of the Calamity, striking awe and fear into the hearts of all who bore it witness. What lost secrets of ancient Allag await those brave souls who would probe its innermost sanctums?"
19,67875,0,3,4,2,114713,114113,114413,"Alexander","","This clockwork colossus emerged from the rushing waters of the Thaliak to loom over the lush hinterlands of Dravania. Summoned to stave off the threat of the sleeping primal before it stirs, the Warrior of Light steps within, and the curtain rises on a battle that will transcend space and time..."
20,67910,0,3,5,2,114714,114114,114414,"The Shadow of Mhach","","In an age of unprecedented air travel, sky pirates soar through the heavens on their airships in search of new frontiers and undiscovered treasures. When tales of a ghost ship haunting the clouds spread, the Warrior of Light answers the call and boards the baleful vessel forged by ancient and forbidden magicks."
21,67930,0,3,6,1,114715,114115,114415,"The Warring Triad","","Sealed deep within a research facility on Azys Lla are three eikons, beings of fearsome power that have slumbered there since the fall of the Allag. When one eikon─Sephirot, the Fiend─threatens to stir, the Warrior of Light sets off at the behest of the enigmatic Unukalhai to face it in an epic struggle..."
22,68693,0,3,4,3,114716,114116,114416,"Omega","","Roused from age-old slumber to stave off a new primal threat looming over Eorzea, the ancient weapon known as Omega vanished into the far reaches of Gyr Abania after a mighty struggle against the draconic Shinryu. There did the Warrior of Light travel, not knowing that a dimension-spanning battle that would defy the imagination awaited..."
23,68726,0,3,5,3,114717,114117,114417,"Return to Ivalice","","Fresh off their widely acclaimed performance of <Emphasis>The Zodiac Brave Story</Emphasis> in Garlemald, the airborne theater troupe <Emphasis>Prima Vista</Emphasis> sets anchor in Kugane with a new story to be told. What brings them to these far lands? Sit back and let them regale you with a tale of the fabled kingdom of Ivalice, and perhaps you will understand..."
