key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,int32,byte,uint16,uint16,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
0,0,1,0,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,65775,1,30,50,"BNPC_PIPIN","BNPC_IRUBELT_SWORD01","BNPC_IRUBELT_SWORD03","BNPC_IRUBELT_SWORD02","BNPC_NANAMO","BNPC_GODBELT","BNPC_DURARA","BNPC_TEREJIADEREJI","BNPC_RORORITO","BNPC_FIRUGAISU","POP_RANGE_ESCAPE","QIBTEST_CHANNELING_FIRE","QIBTEST_MUTEKI","QIBTEST_KNOCK_DOWN","POP_RANGE_DRAGON_1","POP_RANGE_DRAGON_2","POP_RANGE_DRAGON_3","PR_CREATE_GIMMICK_TEST","BNPC_ENEMY_1","BNPC_ENEMY_2","BNPC_ENEMY_3","BNPC_ENEMY_5","BNPC_ENEMY_6","BNPC_ENEMY_4","BNPC_ENEMY_7","BNPC_ENEMY_9","BNPC_ENEMY_8","BNPC_ENEMY_10","BNPC_ENEMY_11","BNPC_ENEMY_14","BNPC_ENEMY_13","BNPC_ENEMY_15","EOBJ_BOX_4","EOBJ_LETTER_EFFECT_ON","EOBJ_LETTER_EFFECT_OFF","EOBJ_FLOWER_WHITE","EOBJ_FLOWER_YELLOW2","EOBJ_BOX_2","EOBJ_BOX_1","EOBJ_FLOWER_YELLOW1","EOBJ_BOX_3","EOBJ_PRISM_FALSE_2","EOBJ_PRISM_FALSE_1","EOBJ_PRISM_TRUE_1","EVENT_ACTION_FIND_MID","EVENT_ACTION_PROCESSING_MID","LOGMESSAGE_HINT","LOGMESSAGE_YELLOW","LOGMESSAGE_WHITE","BNPC_ENEMY_12","EOBJ_FLOWER_YELLOW_DUMMY1","EOBJ_FLOWER_YELLOW_DUMMY2","EOBJ_FLOWER_WHITE_TRUE","BNPC_BASE_ID_TEREJIADEREJI","BNPC_BASE_ID_FIRUGAISU","EOBJ_BOSS_AREA_CONTROL","EVENT_RANGE_PIPIN","POP_RANGE_PIPIN_MOVING","ACTION_SELF_MOTION","BNPC_TOUMEI_1","BNPC_TOUMEI_2","BNPC_TOUMEI_3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",7074454,7074455,7074456,7074457,7074458,7074459,7074460,7074461,7074463,7074462,7074578,5,1496,1855,5853006,5853007,5853009,6939061,7078700,7078701,7078702,7078708,7078709,7078711,7078751,7078752,7078753,7079368,7079370,7079378,7079379,7079380,7078807,7078817,7078818,7078894,7078897,7078900,7078927,7078928,7078929,7079395,7079396,7079397,12,24,5388,7966,7967,7079366,7080610,7080611,7080612,8114,8113,7082005,7081936,7078952,9997,7083067,7083068,7083069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,65612,1,30,34,"INIT_P_POP_01","INIT_POP_1_LNC01","INIT_POP_1_LNC02","INIT_POP_1_BARD_01","INIT_POP_2_LNC01","INIT_POP_2_BARD_01","INIT_POP_2_LNC02","INIT_POP_2_CNJ02","INIT_POP_3_LNC01","INIT_POP_3_BARD_01","INIT_POP_3_CNJ01","INIT_POP_3_PGL01","LOC_ACTOR0","LOC_ACTOR1","LOC_ACTOR2","LOC_POS_ACTOR1","LOC_ACTOR3","LOC_ACTOR2_ACTION","BNPC_NAME_01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4259106,3708966,3762271,3715772,3913908,3913909,3913919,4259107,4259108,4259109,4259110,4259111,1000199,1003065,1003010,3890200,1003012,961,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,65612,2,30,34,"INIT_POP_BOSS","INIT_POP_1_ARC_01","INIT_POP_1_ARC_02","INIT_POP_1_ARC_03","INIT_POP_1_LNC_01","INIT_POP_1_LNC_02","INIT_POP_1_LNC_03","INIT_P_POP_LEIHALIAPOH","INIT_P_POP_SILVAIRRE","INIT_POP_2_ARC_01","INIT_POP_2_ARC_02","INIT_POP_2_LNC_01","INIT_POP_2_LNC_02","INIT_POP_2_CNJ_01","INIT_POP_2_THM_01","CUT_SCENE_01","CUT_SCENE_02","EOBJ_BTL_ARROW_FIRE","STATUS_CUSTOM_ARROW_FIRE","DEF_ACTION_SIDEWINDER","DEF_ACTION_MONSTER_WHISTLE","DEF_PARALYSIS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3762267,3762259,3762264,4277285,3762262,3762265,4277284,3815984,3815986,4277286,4277287,4277288,4277289,4277290,4277291,14,15,4309876,675,1060,983,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,65607,1,30,29,"INIT_POP_01","LOC_POS_FIRST","INIT_POP_02","INIT_POP_03","BNPC_001","LOC_ACTOR0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3777844,3867063,3906824,3906825,539,1000199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,65606,1,30,24,"INIT_POP_1_ARC_01","INIT_POP_1_LNC_01","INIT_POP_1_LNC_02","INIT_POP_2_LNC_01","INIT_POP_2_LNC_02","INIT_POP_2_CNJ_01","INIT_POP_2_ARC_01","INIT_POP_2_ARC_02","INIT_POP_3_LNC_01","INIT_POP_3_LNC_02","INIT_POP_3_BOSS","INIT_POP_3_CNJ_01","INIT_P_POP_1","BNPC_NAME_01","BNPC_NAME_02","CUT_SCENE_01","CUT_SCENE_02","DEF_QUICK_KNOCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3818973,3818974,3818975,4259098,4259100,4259102,3818976,3818977,3914483,3914484,4259104,4259105,4259091,139,140,11,12,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,65604,1,30,19,"INIT_POP_01","INIT_POP_02","INIT_POP_03","INIT_POP_04","INIT_POP_05","INIT_POP_06","INIT_POP_07","INIT_POP_08","INIT_POP_09","INIT_POP_10","INIT_POP_11","INIT_POP_12","BNPC_001","ER_RECT_01","INIT_POP_CAMP_EXC01","INIT_POP_CAMP_EXC02","INIT_POP_CAMP_LNC01","INIT_POP_CAMP_EXC03","INIT_POP_CAMP_EXC04","INIT_POP_CAMP_LNC02","DEF_ACTION_WATERA","INIT_P_POP_MIRAUDONT","INIT_POP_ADD_GLA01","INIT_POP_ADD_GLA02","POP_RANGE_MIRAUDONT_MOVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3818956,3818957,3818958,3818959,3818960,3818961,3818962,3818963,3818964,3818966,3818967,3818968,113,4246562,4246567,4246568,4246569,4246638,4246639,4246640,1016,4246724,4246863,4246864,4358145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,65591,1,30,19,"INIT_POP_BOSS","INIT_POP_01","INIT_POP_02","INIT_POP_03","INIT_POP_04","INIT_POP_05","INIT_POP_06","INIT_POP_07","INIT_POP_08","INIT_POP_09","INIT_POP_10","INIT_POP_11","INIT_P_POP_01","BNPC_001","LOC_POS_PC_FIRST","LOC_ACTOR0","BNPC_NAME_01","DEF_ACTION_BLIND_POISON","DEF_BLIND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3792898,3792905,3792907,3792908,3792909,3792911,3792912,3792913,3792914,3792916,3792917,3911020,4259221,543,3879338,1003009,626,1089,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
