key,0
#,Name
int32,str
0,""
1,"Maelstrom Uniform"
2,"Order of the Twin Adder Uniform"
3,"Immortal Flames Uniform"
4,"Eastern Garb for Men"
5,"Eastern Garb for Women"
6,"Far Eastern Attire for Men"
7,"Far Eastern Attire for Women"
8,"上仙装束"
9,"Loyal Housemaid's Uniform"
10,"Loyal Butler's Uniform"
11,"Nezha Lord's Attire"
12,"Nezha Lady's Attire"
13,"Far Eastern Noble's Attire"
14,"Fuga Garb"
15,"Far Eastern Gentleman's Attire"
16,"Far Eastern Beauty's Attire"
17,"Emerald Carbuncle Attire"
18,"Topaz Carbuncle Attire"
19,"Angelic Attire"
20,"Demonic Attire"
