key,0,1,2,3,4,5
#,Name,Description,Icon,Icon{Status},Reward,Sort
int32,str,str,Image,Image,uint16,byte
0,"","",0,0,0,0
1,"","",0,0,0,0
2,"Withdraw","Dismiss your companion from battle.",4001,14001,18,1
3,"Follow","Order your companion to follow you.",4002,14002,18,2
4,"Free Stance","Allow your companion to make his own decisions in battle.",4006,14006,18,3
5,"Defender Stance","Order your companion to focus on defensive maneuvers, using only actions learned from the <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Defender<UIGlow>01</UIGlow><UIForeground>01</UIForeground> skill tree.",4003,14003,18,4
6,"Attacker Stance","Order your companion to focus more on offensive maneuvers, using only actions learned from the <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Attacker<UIGlow>01</UIGlow><UIForeground>01</UIForeground> skill tree.",4004,14004,18,6
7,"Healer Stance","Order your companion to stop fighting and concentrate on healing maneuvers, using only actions learned from the <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Healer<UIGlow>01</UIGlow><UIForeground>01</UIForeground> skill tree.",4005,14005,18,5
