key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
#,,,,,Model{MainHand},Dye{MainHand},Model{OffHand},Dye{OffHand},,,Model{Head},Dye{Head},Model{Body},Dye{Body},Model{Hands},Dye{Hands},Model{Legs},Dye{Legs},Model{Feet},Dye{Feet},Model{Ears},Dye{Ears},Model{Neck},Dye{Neck},Model{Wrists},Dye{Wrists},Model{LeftRing},Dye{LeftRing},Model{RightRing},Dye{RightRing}
int32,uint32,uint32,byte,sbyte,int64,Stain,int64,Stain,int64,byte,uint32,Stain,uint32,Stain,uint32,Stain,uint32,Stain,uint32,Stain,uint32,Stain,uint32,Stain,uint32,Stain,uint32,Stain,uint32,Stain
0,0,0,0,-1,"0, 0, 0, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,0,"1501, 1, 5, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,131156,0,131156,0,131156,0,131156,0,0,0,0,0,0,0,0,0,0,0
2,2,7,1,1,"1501, 1, 5, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,131157,0,131157,0,131157,0,131157,0,0,0,0,0,0,0,0,0,0,0
3,2,7,2,0,"1501, 1, 5, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,131158,0,131158,0,131158,0,131158,0,0,0,0,0,0,0,0,0,0,0
4,2,7,2,1,"1501, 1, 5, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,131159,0,131159,0,131159,0,131159,0,0,0,0,0,0,0,0,0,0,0
5,2,7,3,0,"1501, 1, 5, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,131164,0,131164,0,131164,0,131164,0,0,0,0,0,0,0,0,0,0,0
6,2,7,3,1,"1501, 1, 5, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,131165,0,131165,0,131165,0,131165,0,0,0,0,0,0,0,0,0,0,0
7,2,7,4,0,"1501, 1, 5, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,131160,0,131160,0,131160,0,131160,0,0,0,0,0,0,0,0,0,0,0
8,2,7,4,1,"1501, 1, 5, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,131161,0,131161,0,131161,0,131161,0,0,0,0,0,0,0,0,0,0,0
9,2,7,5,0,"1501, 1, 5, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,131162,0,131162,0,131162,0,131162,0,0,0,0,0,0,0,0,0,0,0
10,2,7,5,1,"1501, 1, 5, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,131163,0,131163,0,131163,0,131163,0,0,0,0,0,0,0,0,0,0,0
11,2,7,6,0,"1501, 1, 5, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,131329,0,131329,0,131329,0,131329,0,0,0,0,0,0,0,0,0,0,0
12,2,7,6,1,"1501, 1, 5, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,131330,0,131330,0,131330,0,131330,0,0,0,0,0,0,0,0,0,0,0
13,2,7,7,0,"1501, 1, 5, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,66133,0,66133,0,66133,0,66133,0,0,0,0,0,0,0,0,0,0,0
14,2,7,8,1,"1501, 1, 5, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,66117,0,66117,0,66117,0,66117,0,0,0,0,0,0,0,0,0,0,0
15,3,7,0,-1,"1501, 37, 1, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,65800,0,65800,0,65800,0,65800,0,0,0,0,0,0,0,0,0,0,0
16,4,7,0,-1,"1501, 60, 1, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,65864,0,65864,0,65864,0,65864,0,0,0,0,0,0,0,0,0,0,0
17,1,7,0,-1,"1501, 74, 1, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,66073,0,66073,0,66073,0,66073,0,0,0,0,0,0,0,0,0,0,0
18,5,7,0,-1,"1501, 11, 1, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,65757,0,65757,0,131294,0,65757,0,65757,0,0,0,0,0,0,0,0,0,0,0
19,6,7,0,-1,"1504, 1, 1, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,65723,0,65723,0,65723,0,65723,0,0,0,0,0,0,0,0,0,0,0
20,7,7,0,-1,"1501, 38, 2, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,131341,0,262268,0,262268,0,262268,0,0,0,0,0,0,0,0,0,0,0
21,8,7,0,-1,"1508, 1, 1, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,65933,0,65933,0,65933,0,65933,0,0,0,0,0,0,0,0,0,0,0
22,9,7,0,-1,"1501, 42, 1, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,65810,10,65810,10,65810,10,65810,10,0,0,0,0,0,0,0,0,0,0
23,10,7,0,-1,"1501, 22, 1, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,65637,0,65637,0,65637,0,65637,0,0,0,0,0,0,0,0,0,0,0
24,11,7,0,-1,"1501, 23, 1, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,65640,0,65640,0,65640,0,65640,0,0,0,0,0,0,0,0,0,0,0
25,12,7,0,-1,"1501, 24, 1, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,65643,0,65643,0,65643,0,65643,0,0,0,0,0,0,0,0,0,0,0
26,13,7,0,-1,"1501, 73, 1, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,66111,0,66111,0,66111,0,66111,0,66111,0,0,0,0,0,0,0,0,0,0,0
27,14,7,0,-1,"1501, 59, 1, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,65973,0,197050,0,197050,0,197050,0,0,0,0,0,0,0,0,0,0,0
28,15,7,0,-1,"1501, 68, 1, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,65646,0,65646,0,65646,0,65646,0,0,0,0,0,0,0,0,0,0,0
29,16,7,0,-1,"1501, 3, 3, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,66011,0,66011,0,66011,0,66011,0,0,0,0,0,0,0,0,0,0,0
30,17,7,0,-1,"1501, 27, 1, 0",0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,65631,0,65631,0,65631,0,65631,0,0,0,0,0,0,0,0,0,0,0
