key,0,1,2,3,4,5
#,,,,,,
int32,str,byte,uint32,uint32,uint16,uint16
0,"Complete a stellar mission.",1,1,0,50,0
1,"Complete three types of stellar missions.",1,3,0,75,1
2,"Achieve a gold star rank on a stellar mission.",1,1,0,75,2
3,"Complete a critical mission.",1,1,0,50,3
4,"Complete a mech op.",1,1,0,100,4
5,"Draw a cosmic fortune.",1,1,0,50,5
6,"Complete 10 stellar missions on the moon.",2,10,1,300,6
7,"Complete 50 stellar missions on the moon.",2,50,1,450,7
8,"Complete 100 stellar missions on the moon.",2,100,1,900,8
9,"Complete 500 stellar missions on the moon.",2,500,1,1500,9
10,"Complete 10 unique stellar missions on the moon.",2,10,1,300,10
11,"Complete 50 unique stellar missions on the moon.",2,50,1,900,11
12,"Complete 100 unique stellar missions on the moon.",2,100,1,2400,12
13,"Complete 10 unique stellar missions on the moon with a Gold Star rating.",2,10,1,300,13
14,"Complete 50 unique stellar missions on the moon with a Gold Star rating.",2,50,1,900,14
15,"Complete 100 unique stellar missions on the moon with a Gold Star rating.",2,100,1,2400,15
16,"Complete 1 critical mission on the moon.",2,1,2,500,16
17,"Complete 10 critical missions on the moon.",2,10,2,1000,17
18,"Complete 30 critical missions on the moon.",2,30,2,3000,18
19,"Complete 1 mech op as a pilot on the moon.",2,1,1,1500,22
20,"Complete 5 mech ops as a pilot on the moon.",2,5,1,3000,23
21,"Complete 10 mech ops as a pilot on the moon.",2,10,1,4500,24
22,"Complete 5 mech ops as a ground supporter on the moon.",2,5,1,300,25
23,"Complete 20 mech ops as a ground supporter on the moon.",2,20,1,900,26
24,"Complete 50 mech ops as a ground supporter on the moon.",2,50,1,2100,27
25,"Unlock class C stellar missions for carpenter on the moon.",2,1,3,50,28
26,"Unlock class B stellar missions for carpenter on the moon.",2,1,3,100,29
27,"Unlock class A stellar missions for carpenter on the moon.",2,1,3,200,30
28,"Unlock class C stellar missions for blacksmith on the moon.",2,1,7,50,31
29,"Unlock class B stellar missions for blacksmith on the moon.",2,1,7,100,32
30,"Unlock class A stellar missions for blacksmith on the moon.",2,1,7,200,33
31,"Unlock class C stellar missions for armorer on the moon.",2,1,11,50,34
32,"Unlock class B stellar missions for armorer on the moon.",2,1,11,100,35
33,"Unlock class A stellar missions for armorer on the moon.",2,1,11,200,36
34,"Unlock class C stellar missions for goldsmith on the moon.",2,1,15,50,37
35,"Unlock class B stellar missions for goldsmith on the moon.",2,1,15,100,38
36,"Unlock class A stellar missions for goldsmith on the moon.",2,1,15,200,39
37,"Unlock class C stellar missions for leatherworker on the moon.",2,1,19,50,40
38,"Unlock class B stellar missions for leatherworker on the moon.",2,1,19,100,41
39,"Unlock class A stellar missions for leatherworker on the moon.",2,1,19,200,42
40,"Unlock class C stellar missions for weaver on the moon.",2,1,23,50,43
41,"Unlock class B stellar missions for weaver on the moon.",2,1,23,100,44
42,"Unlock class A stellar missions for weaver on the moon.",2,1,23,200,45
43,"Unlock class C stellar missions for alchemist on the moon.",2,1,27,50,46
44,"Unlock class B stellar missions for alchemist on the moon.",2,1,27,100,47
45,"Unlock class A stellar missions for alchemist on the moon.",2,1,27,200,48
46,"Unlock class C stellar missions for culinarian on the moon.",2,1,31,50,49
47,"Unlock class B stellar missions for culinarian on the moon.",2,1,31,100,50
48,"Unlock class A stellar missions for culinarian on the moon.",2,1,31,200,51
49,"Unlock class C stellar missions for botanist on the moon.",2,1,39,50,55
50,"Unlock class B stellar missions for botanist on the moon.",2,1,39,100,56
51,"Unlock class A stellar missions for botanist on the moon.",2,1,39,200,57
52,"Unlock class C stellar missions for miner on the moon.",2,1,35,50,52
53,"Unlock class B stellar missions for miner on the moon.",2,1,35,100,53
54,"Unlock class A stellar missions for miner on the moon.",2,1,35,200,54
55,"Unlock class C stellar missions for fisher on the moon.",2,1,43,50,58
56,"Unlock class B stellar missions for fisher on the moon.",2,1,43,100,59
57,"Unlock class A stellar missions for fisher on the moon.",2,1,43,200,60
58,"Draw 5 cosmic fortunes on the moon.",2,5,1,300,61
59,"Draw 30 cosmic fortunes on the moon.",2,30,1,600,62
60,"Draw 100 cosmic fortunes on the moon.",2,100,1,900,63
61,"Complete 5 unique critical missions on the moon.",2,5,2,1000,19
62,"Complete 15 unique critical missions on the moon.",2,15,2,2000,20
63,"Complete 33 unique critical missions on the moon.",2,33,2,3000,21
