key,0,1,2
#,,,
int32,uint32,str,str
0,0,"",""
1,0,"",""
2,5,"Archives",""
3,6,"New Game+",""
4,13,"Lost Actions",""
5,21,"Portraits",""
6,22,"Adventurer Plate",""
7,23,"Island Sanctuary",""
8,24,"Isleworks Beginner's Guide",""
9,25,"Deep Dungeons",""
10,26,"Deep Dungeons",""
11,27,"Deep Dungeons",""
12,28,"Fashion Accessories",""
13,29,"Gear Sets",""
14,19,"PvP",""
15,3,"Rival Wings",""
16,7,"Frontline",""
17,20,"Crystalline Conflict",""
18,30,"Moogle Treasure Trove",""
19,32,"Glamour Guide",""
20,33,"Combat Guide",""
21,2,"Mahjong Rules",""
22,0,"",""
