key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
#,,,,,,,,,,,,,,,,,,,,,,
int32,bit&01,bit&02,uint32,uint32,bit&04,bit&08,uint32,byte,str,str,str,str,str,byte,byte,byte,byte,byte,byte,byte,byte,byte
0,False,False,0,90,False,True,6603,2,"mji","info","","","",0,0,0,0,0,0,0,0,0
1,False,True,3356,90,False,True,6604,2,"mji","setrank","","","",1,1,0,0,0,0,0,0,0
2,True,False,0,90,False,False,0,2,"mji","createlively","","","",1,1,0,0,0,0,0,0,0
3,False,True,990,90,False,True,2840,3,"fishing","mode","reducecost","","",1,2,0,0,0,0,0,0,0
4,False,True,2340,90,False,True,5380,3,"satis","bias","server","","",1,1,0,0,0,0,0,0,0
5,True,True,0,90,False,False,0,3,"satis","bias","client","","",1,1,0,0,0,0,0,0,0
6,True,True,0,90,False,False,0,3,"satis","bias","disp","","",0,0,0,0,0,0,0,0,0
7,False,False,0,90,False,True,6690,2,"mji","flags","","","",2,1,2,0,0,0,0,0,0
8,False,True,3400,90,False,True,6691,3,"mji","nekomimi","timeback","","",1,1,0,0,0,0,0,0,0
9,False,True,3401,90,False,True,6692,3,"mji","nekomimi","lottery","","",1,1,0,0,0,0,0,0,0
10,False,True,3402,90,False,True,6693,3,"mji","nekomimi","bonus","","",3,1,1,2,0,0,0,0,0
11,False,True,3407,90,False,True,6694,3,"mji","nekomimi","weeklygrow","","",0,0,0,0,0,0,0,0,0
12,False,True,3403,90,False,True,6695,3,"mji","nekomimi","complete","","",3,1,1,2,0,0,0,0,0
13,False,True,3404,90,False,True,6696,3,"mji","nekomimi","ship","","",3,1,1,1,0,0,0,0,0
14,False,True,3405,90,False,True,6697,3,"mji","nekomimi","init","","",0,0,0,0,0,0,0,0,0
15,False,True,3406,90,False,True,6698,3,"mji","nekomimi","disp","","",0,0,0,0,0,0,0,0,0
