key,0,1,2,3,4,5
#,Quest,Text[Long],Text[Short],Text[Commentary],,Section
int32,Quest,str,str,str,bit&01,DescriptionSection
3604480,0,"","","",False,0
3604481,0,"","","",False,0
3604482,68737,"Mahjong Rules","Mahjong Rules","",True,2
3604483,0,"Rival Wings Rules","Rival Wings","",True,3
3604484,0,"Housing Inquiries","Housing","",True,4
3604485,0,"Enjoying New Game+","New Game+","つよくてニューゲーム解説",True,2
3604486,0,"Frontline Rules","Frontline Rules","",True,7
3604487,0,"Ocean Fishing","Ocean Fishing","",True,8
3604488,0,"Faux Hollows","Faux Hollows","",True,9
3604489,0,"The Bozjan Southern Front","The Bozjan Southern Front","",True,10
3604490,0,"Resistance Rank","Resistance Rank","",True,11
3604491,0,"Lost Actions","Lost Actions","",True,13
3604492,0,"Bozjan Clusters","Bozjan Clusters","",True,12
3604493,0,"Triple Triad Tournaments: Short Modes","Triple Triad Tournaments: Short Modes","",True,14
3604494,0,"","","",True,15
3604495,0,"","","",True,16
3604496,0,"Resistance Honors","Resistance Honors","",True,17
3604497,0,"Zadnor","Zadnor","",True,18
