key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
#,Text,Type,Property[0],Property[1],Property[2],Property[3],Property[4],Property[5],Property[6],Property[7],Property[8],Property[9],Property[10],Property[11],Property[12],Property[13],Property[14],Property[15],Property[16],Property[17],Property[18],Property[19],Property[20],Property[21],Property[22],Property[23],Property[24],Property[25],Property[26],Property[27],Property[28],Property[29],Property[30],Property[31]
int32,str,str,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property,UDS_Property
0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Update_activityStart","activityStart",2,1,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Update_activityEnd","activityEnd",14,2,8,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Update_activityResume","activityResume",1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Update_activityAvailabilityChange","activityAvailabilityChange",13,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Update_activityTerminate","activityTerminate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Update_MainQuest_Progress","custom",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Update_LargestLv_Battle","custom",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Update_LargestLv_Crafter","custom",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Update_LargestLv_Gatherer","custom",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Update_LargestGCRank","custom",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Update_Fate_Complete","custom",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Update_Dangeon_Complete","custom",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Update_Craft_CollectCount","custom",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Update_Gather_CollectCount","custom",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Update_Raid8_200N_Complete","custom",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
