key,0,1,2,3,4,5,6,7,8,9
#,Quest,QuestStep,ENPC[0],ENPC[1],ENPC[2],ENPC[3],ENPC[4],ENPC[5],ENPC[6],
int32,Quest,byte,ENpcResident,ENpcResident,ENpcResident,ENpcResident,ENpcResident,ENpcResident,ENpcResident,uint32
0,68836,4,1029846,1029847,1029848,1029849,0,0,0,0
1,68848,2,1029157,1029158,1029159,1029160,1029161,0,0,0
2,68876,2,1029210,1029557,1029850,1029851,0,0,0,0
3,69157,2,1030157,1030158,1030159,1030160,1030161,1030162,0,0
4,69179,3,1030297,1030298,1030299,1030300,1030301,1030302,0,0
5,69190,7,1030361,1030362,1030363,1030364,1030365,1030366,0,0
6,69210,2,1031726,1031727,1031728,1031729,0,0,0,0
7,69305,2,1032539,1032540,1032541,1032542,1032543,1032544,0,0
8,69313,3,1033839,1033840,1033841,1033842,1033843,1033844,0,0
9,69547,4,1035381,1035382,1035383,1035384,0,0,0,0
10,69598,3,1036375,1036376,1036377,1036378,1036379,1036380,0,0
11,69913,3,1038663,1038664,1038665,1038666,0,0,0,0
12,69931,4,1039957,1039958,1039959,1039960,1039961,1039962,1039963,0
13,69945,4,1038979,1038980,1038981,1038982,1038983,1038984,0,0
14,69973,2,1040154,1040155,1040156,0,0,0,0,0
15,69985,2,1040488,1040489,1040490,1040491,1040492,1040493,1040494,0
16,69985,4,1040496,1040497,1040498,1040499,1040500,1040501,1040502,0
17,70000,1,1041172,1041173,1041174,1041175,1041176,1041177,1041178,0
