key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
#,,,SGB[0],,SGB[1],,SGB[2],,SGB[3],,SGB[4],,,,,,,Material[0],Material[1],Material[2],Material[3],Material[4],Amount[0],Amount[1],Amount[2],Amount[3],Amount[4],Name,,Icon
int32,byte,uint16,ExportedSG,byte,ExportedSG,byte,ExportedSG,byte,ExportedSG,byte,ExportedSG,byte,byte,byte,byte,byte,byte,MJIItemPouch,MJIItemPouch,MJIItemPouch,MJIItemPouch,MJIItemPouch,byte,byte,byte,byte,byte,MJIText,uint16,Image
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,0,0,0,0,0,0,0,0
1,2,0,30118,31,30266,27,30267,28,30268,29,30118,30,12,10,4,0,12,9,14,10,11,13,15,15,10,5,5,20,57,53914
2,2,0,30121,36,30272,32,30281,33,30282,34,30121,35,12,10,4,0,12,10,9,14,7,11,15,15,10,5,5,21,58,53911
3,3,0,30120,41,30269,37,30270,38,30271,39,30120,40,12,10,4,0,12,9,14,19,0,4,15,15,10,10,3,22,59,53910
4,5,0,30119,46,30263,42,30264,43,30265,44,30119,45,12,10,4,0,12,23,18,9,19,31,20,10,10,10,3,23,60,53913
5,5,326,30117,51,30260,47,30261,48,30262,49,30117,50,12,10,4,0,12,23,14,19,7,27,15,15,10,10,3,24,61,53912
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
