key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,ModelChara,,FlyingCondition,,,,IsFlying,,MountCustomize,RideBGM,,,,ExitMoveDist,ExitMoveSpeed,,IsEmote,EquipHead,EquipBody,EquipLeg,EquipFoot,Order,Icon,UIPriority,RadiusRate,BaseMotionSpeed_Run,BaseMotionSpeed_Walk,,ExtraSeats,MountAction,IsAirborne,ExHotbarEnableConfig,UseEP,,IsImmobile,,,,,,,,,,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,ModelChara,uint16,MountFlyingCondition,byte,byte,byte,byte,byte,MountCustomize,BGM,str,str,str,byte,byte,bit&01,bit&02,int32,int32,int32,int32,int16,Image,uint16,byte,byte,byte,byte,byte,MountAction,bit&04,bit&08,bit&10,bit&20,bit&40,byte,byte,bit&80,bit&01,uint16,uint16,uint16,bit&02,uint16,bit&04
0,"",0,"",0,0,1,0,0,0,0,0,45,15,15,0,0,0,0,"","","",10,10,False,True,0,0,0,0,-1,0,0,100,0,0,100,0,0,False,False,False,False,False,0,0,False,False,0,0,0,False,0,False
1,"company chocobo",0,"company chocobos",0,0,1,0,0,1,2,2,45,15,15,1,0,1,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,False,True,65536,65536,65537,0,0,4001,100,100,0,0,55,0,0,False,False,False,False,False,0,0,False,False,10,21,41,False,40,False
2,"",0,"",0,0,1,0,0,1,3,0,45,15,15,0,0,1,61,"","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65537,65537,65537,65537,-1,0,0,100,0,0,55,0,0,False,False,False,False,False,0,0,False,False,10,21,41,False,40,False
3,"",0,"",0,0,1,0,0,1,3,0,45,15,15,0,0,1,61,"","","SE_Bt_Etc_ChocoboBye",2,9,False,True,65552,65552,65537,0,-1,0,0,100,0,0,55,0,0,False,False,False,False,False,0,0,False,False,10,21,41,False,40,False
4,"goobbue",0,"goobbues",0,0,1,0,0,200,4,1,45,15,15,1,2,0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,False,True,0,0,0,0,1,4003,1000,100,0,0,60,0,1,False,True,False,False,False,0,0,False,False,8,19,39,False,40,False
5,"legacy chocobo",0,"legacy chocobos",0,0,1,0,0,1,2,1,45,15,15,1,0,1,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,False,True,65545,65545,65545,65545,2,4002,101,100,0,0,55,0,0,False,False,False,False,False,0,0,False,False,10,21,41,False,40,False
6,"magitek armor",0,"suits of magitek armor",0,0,1,0,0,2,2,1,45,0,15,1,2,0,262,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,131073,0,0,3,4006,10000,77,0,0,70,0,2,False,True,False,False,False,0,0,False,False,30,23,41,False,40,False
7,"",0,"",0,0,1,0,0,311,5,0,45,15,15,0,0,2,121,"","","",0,0,False,True,0,0,0,0,-1,0,0,100,0,0,100,0,0,False,False,False,False,False,0,0,False,False,9,19,39,False,40,False
8,"coeurl",0,"coeurls",0,0,1,0,0,2047,2,1,45,70,70,1,2,3,121,"SE_Bt_Etc_CuahrWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_CuahrBye",20,10,False,True,0,0,0,0,4,4005,3200,60,0,0,60,0,0,False,False,False,False,False,0,0,False,False,10,21,41,False,42,False
9,"ahriman",0,"ahrimans",0,1,1,0,0,167,2,1,45,15,70,1,2,4,121,"SE_Bt_Etc_AhrimanWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_AhrimanBye",20,10,False,True,0,0,0,0,5,4004,5000,100,0,0,50,0,0,True,False,False,False,False,0,0,False,False,19,23,41,False,44,False
10,"",0,"",0,0,1,0,0,1,3,0,45,15,15,0,0,1,121,"","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65536,65536,65537,0,-1,0,0,100,0,0,55,0,0,False,False,False,False,False,0,0,False,False,10,21,41,False,40,False
11,"",0,"",0,0,1,0,0,1,3,0,45,15,15,0,0,1,121,"","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65538,65541,65537,65538,-1,0,0,100,0,0,55,0,0,False,False,False,False,False,0,0,False,False,10,21,41,False,40,False
12,"",0,"",0,0,1,0,0,1,3,0,45,15,15,0,0,1,121,"","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65538,131077,65537,65538,-1,0,0,100,0,0,55,0,0,False,False,False,False,False,0,0,False,False,10,21,41,False,40,False
13,"",0,"",0,0,1,0,0,1,3,0,45,15,15,0,0,1,121,"","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65538,196613,65537,65538,-1,0,0,100,0,0,55,0,0,False,False,False,False,False,0,0,False,False,10,21,41,False,40,False
14,"",0,"",0,0,1,0,0,2,2,0,45,0,15,0,0,0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,65537,0,0,-1,0,0,77,0,0,70,0,0,False,False,False,False,False,0,0,False,False,30,23,41,False,40,False
15,"unicorn",0,"unicorns",0,0,1,0,0,2553,2,1,45,70,70,1,2,5,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_UnicornBye",20,10,False,True,0,0,0,0,6,4007,3000,65,0,0,70,0,0,False,False,False,False,False,0,0,False,False,9,19,41,False,42,False
16,"",0,"",0,0,1,0,0,2,2,0,45,0,15,0,0,0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,196609,0,0,-1,0,0,77,0,0,70,0,0,False,False,False,False,False,0,0,False,False,30,23,41,False,40,False
17,"",0,"",0,0,1,0,0,2,2,0,45,0,15,0,0,0,121,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,131073,0,0,-1,0,0,77,0,0,70,0,3,False,False,False,False,False,0,0,False,False,30,23,41,False,40,False
18,"behemoth",0,"behemoths",0,0,1,0,0,588,2,1,45,85,85,1,2,6,121,"SE_Bt_Etc_BehemothWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BehemothBye",20,10,False,True,0,0,0,0,7,4008,3210,55,0,0,70,0,0,False,False,False,False,False,0,0,False,False,31,19,37,False,37,False
19,"cavalry drake",0,"cavalry drakes",0,0,1,0,0,592,2,1,45,85,85,1,2,7,121,"SE_Bt_Etc_TokageWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_TokageBye",20,10,False,True,0,0,0,0,8,4009,3220,100,0,0,70,0,4,False,True,False,False,False,0,0,False,False,32,21,43,False,42,False
20,"laurel goobbue",0,"laurel goobbues",0,0,1,0,0,593,4,1,45,15,15,1,2,0,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,False,True,0,0,0,0,9,4010,1001,100,0,0,60,0,5,False,True,False,False,False,0,0,False,False,8,19,39,False,40,False
21,"gilded magitek armor",0,"suits of gilded magitek armor",0,0,1,0,0,2,2,1,45,0,15,1,2,0,262,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,262145,0,0,10,4011,10001,77,0,0,70,0,2,False,True,False,False,False,0,0,False,False,30,23,41,False,40,False
