key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,,,,,,,,,,,,,,,,,,,,
int32,byte,byte,byte,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,67631,67631,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,67631,67631,0,0,67633,67633,0,0,0,0,0,0
5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,70789,70945,0,0,0,0,0,0,0,0,0,0
9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,67624,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,67624,0,0,0,67631,0,0,0,0,0,0,0
12,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,67623,0,0,0,0,0,0,0,0,0,0
15,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,70790,0,0,0,0,0,0,0,70945,0,0,0
