key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,,,,,,,,,,,,,,,,,
int32,int16,int16,byte,int16,int16,byte,int16,int16,byte,int16,int16,byte,int16,int16,byte,int16,int16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-785,516,3,-463,349,2,-467,543,1,-611,434,0,0,0,0,0,0
2,420,-908,2,317,-664,1,533,-620,1,331,-740,0,0,0,0,0,0
3,577,-781,2,525,-499,1,453,-610,1,582,-591,0,0,0,0,0,0
4,869,-154,2,655,-264,1,727,-105,1,596,-528,0,0,0,0,0,0
5,25,749,2,123,532,3,200,494,1,-4,652,0,0,0,0,0,0
6,758,375,2,485,439,2,373,469,1,517,362,0,0,0,0,0,0
7,-4,-766,2,87,-566,1,-3,-543,1,-154,-522,0,0,0,0,0,0
8,-448,-674,2,-322,-393,3,-165,-313,1,-289,-466,0,0,0,0,0,0
9,-710,-311,1,-447,-310,1,-475,-204,1,-253,-330,0,0,0,0,0,0
10,-785,516,1,-566,474,1,-454,444,2,-490,357,3,-342,459,0,0,0
11,420,-908,1,337,-748,1,561,-610,3,303,-640,3,583,-557,0,0,0
12,577,-781,1,453,-610,2,303,-737,1,531,-621,1,255,-751,0,0,0
13,869,-154,3,673,-246,2,727,-105,1,670,-158,1,522,-507,0,0,0
14,25,749,1,-31,659,2,117,516,1,-1,589,2,251,549,0,0,0
15,758,375,1,430,375,1,598,360,1,517,362,3,436,459,0,0,0
16,-4,-766,3,87,-566,1,-2,-543,2,-159,-477,1,-117,-545,0,0,0
17,-448,-674,1,-196,-424,3,-164,-311,2,-289,-464,1,-265,-404,0,0,0
18,-710,-311,1,-474,-265,3,-449,-152,1,-333,-331,2,-254,-332,0,0,0
19,-785,516,2,-620,420,3,-476,350,2,-466,445,2,-333,417,0,0,0
20,420,-908,1,532,-622,1,457,-616,3,297,-733,2,314,-649,0,0,0
21,577,-781,1,544,-651,1,599,-531,1,692,-293,2,529,-509,0,0,0
22,869,-154,1,676,-159,1,673,-246,2,605,-574,1,730,-105,0,0,0
23,25,749,2,-3,591,3,138,516,1,189,585,1,-6,655,0,0,0
24,758,375,1,521,355,1,430,375,1,435,459,1,259,513,0,0,0
25,-4,-766,1,-136,-641,1,-2,-540,1,-117,-546,2,91,-563,0,0,0
26,-448,-674,2,-289,-464,1,-196,-424,2,-227,-511,1,-265,-404,0,0,0
27,-710,-311,2,-475,-202,2,-448,-300,2,-333,-329,1,-355,-421,0,0,0
