key,0,1,2,3,4,5,6,7
#,Name,Description,Icon,Action,Pet,,,
int32,str,str,Image,Action,Pet,bit&01,bit&02,bit&04
0,"","",405,0,0,False,True,False
1,"Away","Order pet to leave the battlefield.",530,0,0,False,True,False
2,"Heel","Order pet to follow behind you.",529,0,0,False,True,False
3,"Place","Order pet to move to a specified location.",527,0,0,False,True,False
4,"Stay","Order pet to remain where it is.",528,0,0,False,True,False
5,"Guard","Order pet to refrain from attacking until you attack or are attacked.",531,0,0,False,True,False
6,"Steady","Order pet to refrain from attacking until ordered to do so.",532,0,0,False,True,False
7,"Sic","Order pet to attack.",525,0,0,False,True,False
8,"Obey","Order pet to attack, but refrain from using certain actions until ordered to do so.",526,0,0,False,True,False
9,"Gust","Deals wind damage with a potency of 90.",561,637,1,False,True,False
10,"Backdraft","Deals wind damage with a potency of 80.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15-yalm knockback
When <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Obey<UIGlow>01</UIGlow><UIForeground>01</UIForeground> is active, will only execute upon command.",563,638,1,False,True,False
11,"Downburst","Deals wind damage with a potency of 80 to target and all enemies nearby it.
When <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Obey<UIGlow>01</UIGlow><UIForeground>01</UIForeground> is active, will only execute upon command.",562,639,1,False,True,False
12,"Shining Emerald","Increases target's magic damage taken by 10%.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s
When <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Obey<UIGlow>01</UIGlow><UIForeground>01</UIForeground> is active, will only execute upon command.",564,640,1,False,True,False
13,"Gouge","Deals earth damage with a potency of 70.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increased enmity",551,633,2,False,True,False
14,"Shining Topaz","Deals earth damage with a potency of 60 to all nearby enemies.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Additional Effect:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> Increased enmity
When <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Obey<UIGlow>01</UIGlow><UIForeground>01</UIForeground> is active, will only execute upon command.",552,634,2,False,True,False
15,"Curl","Decreases damage suffered by pet by 20%.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Duration:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 20s
When <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Obey<UIGlow>01</UIGlow><UIForeground>01</UIForeground> is active, will only execute upon command.",553,635,2,False,True,False
