key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,,,,,,,,,,,,,,,,,
int32,str,str,str,str,str,byte,byte,byte,uint32,byte,uint32,byte,uint32,byte,uint32,byte,uint32
0,"Phantom Freelancer","Ph. Freelancer","","Reminiscences of journeys just begun and those long ended embody the freelancer's myriad supportive techniques.","Phantom Freelancer",0,13,5,41650,10,41651,0,0,0,0,0,0
1,"Phantom Knight","Ph. Knight","","Emulate these ancient memories of a loyal, honorable knight and defend your comrades from harm.","Phantom Knight",6,1,1,41588,2,41589,3,41590,6,41591,0,0
2,"Phantom Berserker","Ph. Berserker","","Savagery and unfailing courage characterize the recollections of this former berserker. These techniques entail great risk and even greater reward.","Phantom Berserker",3,5,1,41592,2,41594,0,0,0,0,0,0
3,"Phantom Monk","Ph. Monk","","These memories of a monk's unflinching discipline and quiet meditation offer a path to unparalleled combat mastery.","Phantom Monk",6,2,1,41595,2,41596,3,41597,5,41598,0,0
4,"Phantom Ranger","Ph. Ranger","","Channel these memories of a proud, passionate ranger and learn to call forth the forces of nature in battle.","Phantom Ranger",6,6,1,41599,2,41600,4,41601,6,41602,0,0
5,"Phantom Samurai","Ph. Samurai","","Rigorous training and a strict code of chivalry personify these recollections of an ancient samurai. Access them to fell foes in a single deadly strike.","Phantom Samurai",5,4,1,41603,2,41604,3,41605,4,41606,0,0
6,"Phantom Bard","Ph. Bard","","These memories echo with the vivid imagery of a bard's lilting song. Utilize them to employ the very same ballads in battle.","Phantom Bard",4,10,1,41608,2,41609,3,41607,4,41610,0,0
7,"Phantom Geomancer","Ph. Geomancer","","This geomancer's recollections brim with boundless understanding of nature's laws. Access them to employ weather-dependent techniques.","Phantom Geomancer",5,9,1,41611,2,41612,3,41619,4,41620,0,0
8,"Phantom Time Mage","Ph. Time Mage","","The memories of this former time mage reveal much about the laws of time and how to manipulate them to your advantage.","Phantom Time Mage",5,7,1,41621,2,41623,3,41624,4,41622,5,41625
9,"Phantom Cannoneer","Ph. Cannoneer","","A mastery of ballistics both scholarly and practical infuse this cannoneer's recollections. Emulate them to bombard foes with powerful projectiles.","Phantom Cannoneer",6,12,1,41626,2,41627,3,41628,4,41629,6,41630
10,"Phantom Chemist","Ph. Chemist","","This chemist's memories offer knowledge of ancient medicinal theory, including restorative techniques sure to turn the tide of battle in your favor.","Phantom Chemist",4,8,1,41631,2,41633,3,41634,4,41635,0,0
11,"Phantom Oracle","Ph. Oracle","","Endowed with an oracle's supernatural senses and prophetic insights, these memories promise mastery over a wealth of supportive skills.","Phantom Oracle",5,11,1,41636,2,41641,3,41642,4,41643,5,41644
12,"Phantom Thief","Ph. Thief","","These recollections of a dextrous, principled thief grant access to survival techniques that will doubtless prove useful upon the isle.","Phantom Thief",6,3,1,41646,2,41645,3,41647,4,41648,5,41649
