key,0,1,2,3
#,Icon,Image,Name,Description
int32,Image,Image,str,str
0,0,0,"",""
1,70501,70401,"Whom the Silkie Serves","What a surprise to learn that the old palace silkie was a creation of Mother's! The discovery impelled me to pursue the topic with Papashan, who, of anyone besides Father, knew my mother best of all. Naturally, I was circumspect in my inquiries, lest he become aware of my subterranean explorations. 
With fond remembrance, Papashan spoke of Mother's penchant for cleaning─a habit she refused to surrender even after taking up residence in the royal chambers. Her ladies-in-waiting were positively scandalized, and hid away every brush and broom that the sultana's hands not be sullied by common grime. Denied the usual tools of sanitation, Mother retaliated by employing a Sharlayan tutor, whereby she acquired the arts necessary to manifest a massive, mouselike familiar. Ingrained with an obsessive dislike of dirt, this arcane entity would even corner the palace guards to scrub spots from their armor─to the great amusement of the household staff. Then one day, without fanfare, the silkie was simply gone.
I suspect the cause of its disappearance lay in the deepening conflict with the Monetarists; with less and less time to slip away from the palace, Mother likely set her familiar to protect and maintain the secret garden in her absence. Yet what a stubborn and willful soul she was! To create a servant for cleaning is one thing, but to imbue it with such unbridled power is quite another!"
2,70502,70402,"Pride and Acceptance","With a mind to prepare for future explorations, I began trawling through the palace archives in search of documents with even a tangential mention of Sil'dih. For the most part, however, the shelves held little in the way of new information. The only account to snare my attention was that of an Ul'dahn soldier, who had written of his experiences fighting alongside the Amalj'aa during the zombie purge. His report touched upon the different approach his new allies took to warfare, and how those differences impeded their cooperative efforts.
It was said that the undead which flooded the waterways were beyond counting, and varied wildly in individual strength. The most effective strategy, or so this soldier believed, was to focus their efforts on the weaker zombies, and thus whittle the horde down to a more manageable size. Not so the Amalj'aa. When presented with the choice, the proud warriors would always seek to slay the mightiest enemies first. This display of superiority, they explained to the exasperated Ul'dahn, was the best way to wage war. To do otherwise─to begin an engagement with the lesser foe─would cast doubt upon one's martial prowess.
'Twould seem they learned to respect each other's reasoning, yet ultimately fought their battles as their peoples preferred. The Ul'dahn soldier returned to his former tactic, targeting the weakest undead for his initial assaults. An interesting point of culture, mayhap, but a helpful one? That remains to be seen."
3,70503,70403,"A Spot in the Sunlight","He, a member of the royal family. She, the daughter of a modest merchant house. They met at a palace banquet─an opportunity to mix with the notables of commerce─and it was love at first sight. Ah, I adore that story─'tis so very romantic. Mother would go on to tell me of the secluded place her and Father would visit ere they were bound in marriage; of a sun-dappled garden at the end of a secret tunnel, where they could enjoy each other's company away from prying eyes and judgmental stares. In other words, a perfect description of the sanctuary we discovered on our recent foray.
When they did at last announce the details of their engagement, the location of this magical place where Father proposed to Mother became the subject of much rumor and debate. I am told that the city's merchants, being the same incorrigible creatures then as they are now, seized upon this furor to turn a tidy profit. They never did come close to the truth of it, but after visiting the spot myself, 'tis easy to see why it has remained undisturbed.
I imagine the two of them in their younger years, whiling away an idle morning amidst the dawn-kissed petals, their haven protected beneath a barrier of Thanalan's scorching sand, and I cannot help but smile. Never until now have I managed to think of them without a pang of sadness. Have I been captive to grief for so very long...?"
4,70504,70404,"A Key Memory","On my fifth nameday, my parents gifted me with a key wrought in silver─but not the knowledge of what it opened. “When you are a woman grown, we will take you to the precious place this key protects,” Mother had explained. Father had nodded, saying it was “where slumbers the memories which neither we, nor Ul'dah, should ever forget.” I, a child of five, understood only that I was being forced to wait for my true present. Oh, how I had sulked and fumed back then! Yet now I cling to that fading recollection with desperate fingers, like a failed merchant to her dwindling coinpurse.
'Twas too soon after when Mother and Father were called away to Thal's eternal halls. Their sudden absence left me hollow and dazed; my ascension to the throne followed by torturous days of uncertainty steeped in sorrow. It seemed I stumbled across the desert, the sands burning one moment, freezing the next. All thoughts of keys and secret places were cast aside, forgotten.
Why had they entrusted such a portentous gift to a daughter so young? Had they foreseen the “accident” which would befall them? Or had some other factor influenced their actions? Their true intentions are lost to time. There is only one thing I can know for certain: that the key was left in my hands for good reason."
5,70505,70405,"In Father's Stead","The Amalj'aa constructed Zahar'ak when they came to join Ul'dah in purging the undead infestation from the subterrane. And if Zahar'ak was their main war camp, then the old fortifications we passed through would have served as a forward base. The question, then, is why did my parents gift me the means to visit these rusted defenses? In my late father's possessions was a diary which made reference to “irrefutable evidence of the alliance”─mayhap there is more to the place we have yet to discover.
In life, Father was a staunch opponent of the edict to banish the so-called “beast tribes.” Arrayed against him were the Monetarists, who sought to preserve their special concessions and privileges by ousting their competitors. 'Twas with the backing of the Syndicate that they overruled the sultan's will, and forced their proposal into law. Unwilling to concede defeat, Father intended to take the battle to the court of public consensus. His weapons would not be easily forged documents or records, but physical proof of the Amalj'aa contribution to Ul'dah's continued prosperity. Then the “accident” happened, ending his plans to appeal for harmony ere they could truly begin.
Which brings us back to this mention of evidence. I know not what form it might take, or indeed, if it yet even exists, but should a thorough search of that forgotten base provide us with clues... We are on the cusp of brokering a lasting peace with the Amalj'aa─if I can but discover this elusive proof, then the aspirations Father had for our nation may finally become a reality."
6,70506,70406,"Ul'dah's Sin to Bear","When that Amalj'aa champion burst forth from his casket, the blood nigh froze within my veins. He must have suffered injury during the purge, the zombie corruption finding its way into his flesh...
The Traders' Spurn was concocted by Ul'dahn thaumaturges, and employed by the reigning sultan during our war with Sil'dih. Sasagan III even knowingly propagated the fiction that it was the <Emphasis>Sil'dihns</Emphasis> who devised this abhorrent alchemy in an effort to turn their own citizens into undying soldiers. An accusation from the House of Thorne saw Sasagan III later punished for his heinous acts, and thus ended the first Ul Dynasty. His lies, however, would live on to become accepted history.
This deceit was upheld by a desire to preserve not only the Ul Dynasty's authority, but also the standing of the Order of Nald'thal─an institution deeply entwined with thaumaturgical practices. And it can be said that few Ul'dahns would wish to accept that their home was built upon the corpse of a city so brutally slain by their forebears. Yet without a clear view of the past, we cannot be sure of our course for the future. The sight of that rotting Amalj'aa hero was all too stark a reminder: as a sultana of the House of Ul, I bear responsibility for my ancestor's atrocities. And though we suffer for the truth, even as Ishgard did for hers, the time has come to set the records aright."
7,70507,70407,"To Learn More of Myrrh","I wished to consult with the Amalj'aa over a certain facet of our expedition, yet I could hardly bring up the subject during one of our regular councils. Should it become known that the royal person had been slipping out of the palace to conduct secret investigations, then my trusted escort would be caught up in an unpleasant storm of repercussions. Nay, I must be discrete.
As such, I approached the Amalj'aa war chief at meeting's end, and engaged him with the usual empty pleasantries─eventually steering the conversation to tribal custom. I explained that the coffin of a zombie-cursed warrior had been discovered within Ul'dahn territory, and wondered at the traditional rites one might perform to send his kin's unfortunate soul on to the afterlife.
Somewhat taken aback, the war chief advised that it was of paramount importance to avoid disturbing the warrior's undead slumber. “Leave the coffin untouched,” he warned. “Stand facing the valorous spirit, and perform a single bow. Offer your respects for a life well lived, celebrate the warrior's greatest victory, and then kneel in a moment of reflection.”
Thus did the Amal'jaa mourn comrades fallen on the field of battle, burning myrrh incense at the culmination of the ritual to guide their sanctified souls unto the everlasting flame.
In receiving his answer, I was suddenly struck by a cavalcade of questions I had never thought to ask. I felt ashamed at my ignorance, and am now resolved to learn more of this proud people's culture."
