key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
#,Strength,Dexterity,Vitality,Intelligence,Mind,Piety,HP,MP,TP,GP,CP,PhysicalDamage,MagicalDamage,Delay,AdditionalEffect,AttackSpeed,BlockRate,BlockStrength,Tenacity,AttackPower,Defense,DirectHitRate,Evasion,MagicDefense,CriticalHitPower,CriticalHitResilience,CriticalHit,CriticalHitEvasion,SlashingResistance,PiercingResistance,BluntResistance,ProjectileResistance,AttackMagicPotency,HealingMagicPotency,EnhancementMagicPotency,,FireResistance,IceResistance,WindResistance,EarthResistance,LightningResistance,WaterResistance,EnfeeblingMagicPotency,Determination,SkillSpeed,SpellSpeed,MagicResistance,Haste,Morale,Enmity,EnmityReduction,CarefulDesynthesis,EXPBonus,Regen,Refresh,MovementSpeed,SlowResistance,PetrificationResistance,ParalysisResistance,SilenceResistance,BlindResistance,PoisonResistance,StunResistance,SleepResistance,BindResistance,HeavyResistance,DoomResistance,Spikes,ReducedDurabilityLoss,Craftsmanship,Control,Gathering,Perception,IncreasedSpiritbondGain
int32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16
0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,53,80,6,9,0,0,0,15,15,0,0,112,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,80,80,85,85,0
2,0,0,0,0,0,0,0,0,0,56,80,6,10,0,0,0,16,16,0,0,115,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,85,85,90,90,0
3,0,0,0,0,0,0,0,0,0,59,80,6,10,0,0,0,16,16,0,0,120,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,90,90,95,95,0
4,0,0,0,0,0,0,0,0,0,62,80,7,11,0,0,0,17,17,0,0,124,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,95,95,100,100,0
5,10,10,0,10,10,0,0,0,0,65,80,7,12,0,0,0,17,17,0,0,130,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,100,100,105,105,0
6,10,10,0,10,10,0,0,0,0,68,80,7,12,0,0,0,18,18,0,0,136,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,104,104,110,110,0
7,11,11,0,11,11,0,0,0,0,71,80,8,13,0,0,0,18,18,0,0,141,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,109,109,115,115,0
