key,0,1,2
#,,,
int32,str,str,str
0,"","",""
1,"Log 1","A Stellar Beginning","These are the faithful records of our cosmic exploration as memorialized by myself, the humble Reportingway.

Our fearless leader Searchingway's ambitious project has begun! The Moongate Hub, base of our interstellar operations, is but newly constructed, and as such our facilities are skeleton in nature, from the hangars that house our machinery (perhaps one day advanced enough to propel us into the great unknown!) to the stores which offer our workers the materials they need for their projects.

Indeed, our greatest concern at present is the small meteor showers that occasionally pepper our tents on Sinus Ardorum... Quality of fabric notwithstanding, one cannot imagine achieving our goals huddled beneath such fragile infrastructure!

It will be the work of our talented friends from Etheirys that sees our plans to fruition. May these long-lived dreams prosper!"
2,"Log 2","Base Camp Beta","Our prayers have been answered by the steady stream of personnel from Etheirys, be they Labyrinthos experts or scholars of the Studium. Not to mention the cohort of esteemed gleaners, adventurers, and artisans─a more diverse populace I have never seen!

It is thanks to everyone's diligence that we have been able to transform our modest Moongate Hub into something more established. A Base Camp Beta, if you will. Gone are our feeble tents, replaced by sturdy metal roofing! We need not fear the occasional meteorite as once we did.

With ample talent at our disposal, we have taken our inaugural steps with no little pride or success. I wait with bated breath to witness how our endeavors unfold outside the Moongate Hub."
3,"Log 3","The Cosmoliner","One may think it strange that we Loporrits are now endeavoring to “explore” the moon upon which we have resided for so long. Yet the facilities we create here serve not only as a mooring point for our interstellar aspirations, but a testing site for the challenges we may face on foreign stars.

In this sense, our successful construction of the Cosmoliner may prove to be our most instrumental boon. As we cannot yet confirm the presence of stable aetheric confluences on distant stars, we must have an alternative means of transportation at our disposal. The Cosmoliner provides us with just that, and hopefully we will witness the day when it spans the entirety of Sinus Ardorum."
4,"Log 4","Peaceful Living and Technological Leaps","A habitation module and cosmoport have been successfully constructed by the hands of Etheirys! The relative modesty of these facilities bespeaks the enhancements we hope to make someday.

For our habitation module, we incorporated feedback we received from Smileton in order to create an authentically safe and enjoyable environment within which to live. I repeat: you need not fear unwanted exhilaration whilst residing in this humble abode.

As for the cosmoport, it is a triumph of Sharlayan's latest technology. Apparently, there exist faint confluences of aether within space, to which the cosmoport will guide any starfaring vessel, and whilst this model is still primitive, it carries us one step further towards interstellar travel! How marvelous!"
5,"Log 5","A (Better) Home for Mechs","The mechs you see and use in Sinus Ardorum are the fruits of both Loporrit and Etheirys labor, painstakingly crafted to suit whatever needs lie within the vast abyss we one day shall traverse.

However, the tents we housed our precious mechs within did little to prevent dust and detritus from jamming joints and eliciting errors. But no longer! No, our newly renovated mech hangars now prevent environmental harm to their precious cargo. I hear that even further improvements might yet be made, but for now our mech ops should proceed even smoother thanks to our latest infrastructure!"
6,"Log 6","The Cosmoliner: Northwestern Radius","Travel to Calabash Cove has never been easier with our new extension to the Cosmoliner!

Our personnel will be pleased to hear that rest areas and charging ports are fully installed at each waypoint to better facilitate cosmic exploration in the northwestern radius. By all means, take a trip for yourself to enjoy the conveniences of our newly improved Cosmoliner!"
7,"Log 7","The Cosmoliner: Southeastern Radius","Weddingway's Bower is but a few stops away on our newly improved Cosmoliner!

For those yet unaware, this area is integral to studies in soil quality and our efforts to imbue the moon's unforgiving surface with nutrients. Weddingway is our Loporrit in charge of this endeavor, and together with Sharlayan agriculturalists they have been experimenting with myriad fungi and flora. As rumor holds, fungi-enthusiast Lovingway visits quite often...which may explain why one is far more likely to find mushrooms than flowers blooming in the Bower."
