key,0,1,2,3,4,5,6,7,8,9,10
#,ContentType,Text[0],Text[1],Text[2],Text[3],Image,,UnlockQuest,,,
int32,ContentType,Addon,Addon,Addon,Addon,Image,uint32,Quest,uint32,uint32,uint32
0,0,0,0,0,0,0,0,False,0,0,0
1,2,15938,15916,15922,0,0,0,False,0,0,0
2,4,15938,15916,15922,0,0,0,False,0,0,0
3,5,15938,15916,15922,0,0,0,False,0,0,0
4,6,15938,15916,15923,15934,0,0,False,0,0,0
5,21,15905,15939,15958,0,0,0,False,0,0,0
6,31,15905,15939,15925,15959,112383,8267820,False,69379,0,0
7,32,15905,15939,15928,0,111044,0,False,65973,0,0
8,9,15905,15939,15946,0,111042,0,False,66747,0,0
9,33,15905,15939,15929,0,111041,0,False,0,99,0
10,34,15905,15939,15930,0,111043,0,False,66643,0,0
11,35,15905,15939,15924,15935,111046,0,True,65970,0,0
12,8,15905,15939,15927,0,111045,0,False,0,0,0
13,0,0,0,0,0,0,0,False,0,0,0
14,9,15944,15945,15943,0,111047,0,False,0,0,179
15,26,15905,15939,15948,0,0,0,False,0,0,283
16,29,15905,15939,15949,0,0,0,False,0,0,735
17,27,15953,15954,15947,0,112332,7735774,False,68734,0,610
18,36,15905,15939,15950,0,101184,9323110,False,70179,0,0
19,30,15905,15939,15961,0,111042,0,False,70182,0,0
20,25,15905,15939,15967,0,111048,0,False,67634,0,0
21,13,15905,15939,15966,0,111049,0,False,66488,0,0
