key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,,,,,,,,,,,,,,,,,,
int32,byte,byte,uint32,byte,byte,uint32,byte,byte,uint32,byte,byte,uint32,byte,byte,uint32,byte,byte,uint32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,5,4543,1,4,4538,2,1,0,6,2,0,7,16,0,8,16,0
2,1,5,4544,1,4,4539,4,8,0,5,1,0,8,16,0,9,8,0
3,1,5,4543,1,4,4542,3,2,0,6,2,0,9,8,0,7,16,0
4,1,5,4544,1,4,4537,4,8,0,5,1,0,7,16,0,8,16,0
5,1,5,4543,1,4,4540,4,8,0,6,2,0,8,16,0,9,8,0
6,1,5,4544,1,4,4541,3,2,0,5,1,0,9,8,0,7,16,0
7,1,5,4543,1,3,4533,2,1,0,6,2,0,7,16,0,8,16,0
8,1,5,4544,1,3,4528,4,8,0,5,1,0,8,16,0,9,8,0
9,1,5,4545,1,3,4534,3,2,0,6,2,0,7,16,0,8,16,0
10,1,5,4545,1,4,4538,2,1,0,5,1,0,8,16,0,9,8,0
11,1,4,4537,1,3,4535,4,8,0,6,2,0,9,8,0,7,16,0
12,1,4,4537,1,4,4539,3,2,0,5,1,0,7,16,0,8,16,0
13,1,4,4540,1,3,4532,4,8,0,6,2,0,8,16,0,9,8,0
14,1,5,4547,1,4,4542,4,8,0,5,1,0,9,8,0,7,16,0
15,1,5,4550,1,3,4533,3,2,0,6,2,0,7,16,0,8,16,0
16,1,5,4550,1,3,4528,2,1,0,5,1,0,8,16,0,9,8,0
17,1,5,4545,1,3,4528,4,8,0,6,2,0,7,16,0,8,16,0
18,1,5,4545,1,4,4536,3,2,0,5,1,0,8,16,0,9,8,0
19,1,4,4540,1,3,4534,2,1,0,6,2,0,9,8,0,7,16,0
20,1,4,4540,1,4,4542,4,8,0,5,1,0,7,16,0,8,16,0
21,1,4,4540,1,4,4538,3,2,0,6,2,0,8,16,0,9,8,0
22,1,4,4540,1,5,4544,2,1,0,5,1,0,9,8,0,7,16,0
23,1,4,4540,1,3,4528,4,8,0,6,2,0,7,16,0,8,16,0
24,1,5,4545,1,3,4535,3,2,0,5,1,0,8,16,0,9,8,0
25,1,5,4545,1,3,4529,4,8,0,6,2,0,7,16,0,8,16,0
26,1,5,4541,1,3,4535,4,8,0,5,1,0,8,16,0,9,8,0
27,1,5,4549,1,3,4533,3,2,0,6,2,0,9,8,0,7,16,0
28,1,4,4549,1,4,4538,2,1,0,5,1,0,7,16,0,8,16,0
29,1,4,4540,1,4,4542,4,8,0,6,2,0,8,16,0,9,8,0
30,1,4,4541,1,4,4539,3,2,0,5,1,0,9,8,0,7,16,0
31,1,5,4549,1,3,4532,2,1,0,6,2,0,7,16,0,8,16,0
32,1,5,4549,1,3,4534,4,8,0,5,1,0,8,16,0,9,8,0
33,1,5,4546,1,4,4542,3,2,0,6,2,0,7,16,0,8,16,0
34,1,5,4546,1,4,4539,2,1,0,5,1,0,8,16,0,9,8,0
35,1,4,4541,1,3,4535,4,8,0,6,2,0,9,8,0,7,16,0
36,1,4,4541,1,3,4528,3,2,0,5,1,0,7,16,0,8,16,0
37,1,5,4547,1,3,4532,2,1,0,6,2,0,8,16,0,9,8,0
38,1,5,4546,1,3,4528,4,8,0,5,1,0,9,8,0,7,16,0
39,1,5,4546,1,5,4544,3,2,0,6,2,0,7,16,0,8,16,0
40,1,4,4541,1,3,4532,4,8,0,5,1,0,8,16,0,9,8,0
41,1,5,4548,1,4,4539,4,8,0,6,2,0,7,16,0,8,16,0
42,1,5,4548,1,4,4542,3,2,0,5,1,0,8,16,0,9,8,0
43,1,4,4540,1,3,4530,2,1,0,6,2,0,9,8,0,7,16,0
44,1,4,4540,1,3,4535,4,8,0,5,1,0,7,16,0,8,16,0
45,1,5,4547,1,4,4538,3,2,0,6,2,0,8,16,0,9,8,0
46,1,5,4547,1,3,4529,2,1,0,5,1,0,9,8,0,7,16,0
47,1,4,4540,1,4,4539,4,8,0,6,2,0,7,16,0,8,16,0
48,1,5,4548,1,3,4533,3,2,0,5,1,0,8,16,0,9,8,0
49,1,5,4550,1,4,4537,4,8,0,6,2,0,7,16,0,8,16,0
50,1,5,4550,1,3,4530,4,8,0,5,1,0,8,16,0,9,8,0
51,1,4,4540,1,3,4533,3,2,0,6,2,0,9,8,0,7,16,0
52,1,4,4540,1,3,4529,2,1,0,5,1,0,7,16,0,8,16,0
53,1,4,4540,1,4,4536,4,8,0,6,2,0,8,16,0,9,8,0
54,1,4,4540,1,3,4534,3,2,0,5,1,0,9,8,0,7,16,0
55,1,5,4550,1,4,4539,2,1,0,6,2,0,7,16,0,8,16,0
56,1,5,4550,1,4,4538,4,8,0,5,1,0,8,16,0,9,8,0
57,1,5,4545,1,4,4542,3,2,0,6,2,0,7,16,0,8,16,0
58,1,5,4545,1,3,4532,4,8,0,5,1,0,8,16,0,9,8,0
59,1,4,4541,1,4,4538,4,8,0,6,2,0,9,8,0,7,16,0
60,1,5,4545,1,4,4539,3,2,0,5,1,0,7,16,0,8,16,0
61,1,4,4541,1,3,4534,2,1,0,6,2,0,8,16,0,9,8,0
62,1,4,4541,1,3,4529,4,8,0,5,1,0,9,8,0,7,16,0
63,1,5,4545,1,4,4536,3,2,0,6,2,0,7,16,0,8,16,0
64,1,5,4545,1,3,4530,2,1,0,5,1,0,8,16,0,9,8,0
65,1,5,4550,1,4,4539,4,8,0,6,2,0,7,16,0,8,16,0
66,1,5,4545,1,3,4533,3,2,0,5,1,0,8,16,0,9,8,0
67,1,4,4537,1,3,4532,2,1,0,6,2,0,9,8,0,7,16,0
68,1,5,4550,1,4,4536,4,8,0,5,1,0,7,16,0,8,16,0
69,1,4,4537,1,3,4530,3,2,0,6,2,0,8,16,0,9,8,0
70,1,4,4537,1,5,4544,2,1,0,5,1,0,9,8,0,7,16,0
71,1,5,4550,1,3,4529,4,8,0,6,2,0,7,16,0,8,16,0
72,1,5,4550,1,3,4534,3,2,0,5,1,0,8,16,0,9,8,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
