key,0,1,2,3,4,5
#,,,,,,
int32,byte,byte,bit&01,single,byte,byte
0,0,0,False,0,0,0
1,0,6,False,1,1,0
2,0,1,False,0,0,0
3,0,1,False,0,0,0
4,0,1,False,1,0,0
5,0,2,False,1,0,0
6,0,3,False,1,0,0
7,0,4,False,1,0,0
8,0,5,False,1,0,0
9,0,10,False,1,0,0
10,0,15,False,1,0,0
11,0,20,False,1,0,0
12,0,25,False,1,0,0
13,0,30,False,1,0,0
14,0,35,False,1,0,0
15,0,40,False,1,0,0
16,1,5,False,1,0,0
17,1,10,False,1,0,0
18,1,15,False,1,0,0
19,1,20,False,1,0,0
20,1,25,False,1,0,0
21,1,30,False,1,0,0
22,1,35,False,1,0,0
23,1,40,False,1,0,0
24,1,45,False,1,0,0
25,1,50,False,1,0,0
26,1,15,False,1,1,0
27,1,30,False,1,1,0
28,0,0,False,0,0,0
29,0,0,False,0,0,0
30,2,5,False,1,0,0
31,2,10,False,1,0,0
32,2,15,False,1,0,0
33,2,20,False,1,0,0
34,0,0,False,0,0,0
35,0,0,False,0,0,0
36,0,0,False,0,0,0
37,3,0,False,0,0,0
38,3,5,False,15,0,1
39,3,5,False,30,0,1
40,3,10,False,15,0,1
41,3,10,False,30,0,1
42,3,15,False,15,0,1
43,3,15,False,30,0,1
44,3,20,False,15,0,1
45,3,20,False,30,0,1
46,3,25,False,15,0,1
47,3,25,False,30,0,1
48,3,30,False,15,0,1
49,3,30,False,30,0,1
50,3,5,False,15,0,0
51,3,5,False,30,0,0
52,3,10,False,15,0,0
53,3,10,False,30,0,0
54,3,15,False,15,0,0
55,3,15,False,30,0,0
56,3,5,False,15,0,2
57,3,10,False,15,0,2
58,3,10,False,30,0,2
59,3,15,False,30,0,2
60,3,5,False,15,0,3
61,3,5,False,30,0,3
62,3,10,False,15,0,3
63,3,10,False,30,0,3
64,0,0,False,0,0,0
65,0,0,False,0,0,0
66,0,0,False,0,0,0
67,0,0,False,0,0,0
68,0,0,False,0,0,0
69,0,0,False,0,0,0
70,0,0,False,0,0,0
71,0,0,False,0,0,0
72,0,0,False,0,0,0
73,3,5,True,15,0,1
74,3,5,True,30,0,1
75,3,10,True,15,0,1
76,3,10,True,30,0,1
77,3,15,True,15,0,1
78,3,15,True,30,0,1
79,3,20,True,15,0,1
80,3,20,True,30,0,1
