key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
#,,HyurMaleScale,HyurFemaleScale,ElezenMaleScale,ElezenFemaleScale,LalaMaleScale,LalaFemaleScale,MiqoMaleScale,MiqoFemaleScale,RoeMaleScale,RoeFemaleScale,AuRaMaleScale,AuRaFemaleScale,HyurMaleCameraHeight,HyurFemaleCameraHeight,ElezenMaleCameraHeight,ElezenFemaleCameraHeight,LalaMaleCameraHeight,LalaFemaleCameraHeight,MiqoMaleCameraHeight,MiqoFemaleCameraHeight,RoeMaleCameraHeight,RoeFemaleCameraHeight,AuRaMaleCameraHeight,AuRaFemaleCameraHeight
int32,bit&01,single,single,single,single,single,single,single,single,single,single,single,single,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte
0,False,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100,100,100
1,False,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
2,False,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
3,False,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.1,0.82,100,100,100,100,100,100,100,100,100,100,100,100
4,False,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,100,100,100,100,100,100,100,100,100,100,100,100
5,False,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
6,False,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,100,100,100,100,100,100,100,100,100,100,100,100
7,False,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
8,False,0.6,0.5,0.63,0.56,0.25,0.25,0.54,0.47,0.66,0.62,0.64,0.46,80,80,80,80,100,100,80,80,80,80,80,80
9,False,0.8,0.72,0.84,0.8,0.5,0.5,0.72,0.68,0.88,0.88,0.86,0.66,100,100,100,100,100,100,100,100,100,100,100,100
10,False,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,100,100,100,100,100,100,100,100,100,100,100,100
11,False,1.45,1.3,1.5,1.45,0.87,0.87,1.3,1.23,1.6,1.6,1.56,1.19,100,100,100,100,100,100,100,100,100,100,100,100
12,False,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.1,0.82,100,100,100,100,100,100,100,100,100,100,100,100
13,False,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,100,100,100,100,100,100,100,100,100,100,100,100
14,False,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
15,False,0.5,0.45,0.52,0.5,0.3,0.3,0.45,0.42,0.55,0.55,0.54,0.41,100,100,100,100,100,100,100,100,100,100,100,100
16,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100,100,100,100,100,100,100,100,100,100,100,100
17,False,0.5,0.45,0.52,0.5,0.3,0.3,0.45,0.42,0.55,0.55,0.54,0.41,100,100,100,100,100,100,100,100,100,100,100,100
18,False,1,0.9,2.1,1,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
19,False,0.7,0.63,0.74,0.7,0.38,0.38,0.63,0.6,0.75,0.75,0.75,0.57,100,100,100,100,100,100,100,100,100,100,100,100
20,False,1,0.95,1.1,1.05,0.6,0.6,0.95,0.85,1.3,1.1,1.25,0.82,100,100,100,100,100,100,100,100,100,100,100,100
21,False,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,100,100,100,100,100,100,100,100,100,100,100,100
22,False,1,0.9,1.25,0.98,0.6,0.6,0.9,0.85,1.3,1.05,1.2,0.82,100,100,100,100,100,100,100,100,100,100,100,100
23,False,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,100,100,100,100,100,100,100,100,100,100,100,100
24,False,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,100,100,100,100,100,100,100,100,100,100,100,100
25,False,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.8,0.8,100,100,100,100,100,100,100,100,100,100,100,100
26,False,0.6,0.55,0.67,0.65,0.4,0.4,0.57,0.5,0.75,0.68,0.7,0.5,100,100,100,100,100,100,100,100,100,100,100,100
