key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,uint16,uint16,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,str,str
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
1,497,0,8291000,8291001,8291002,8291003,8291004,8291005,8291006,8291007,8291008,8291009,8291010,8291011,8291012,8291013,8291014,8291015,8291016,8291017,8291018,8291019,8291020,8291021,8291022,8291000,8291001,"Alphinaud","Alphinaud"
2,498,0,8291023,8291024,8291025,8291026,8291027,8291028,8291029,8291030,8291031,8291032,8291033,8291034,8291035,8291036,8291037,8291038,8291039,8291040,8291041,8291042,8291043,8291044,8291045,8291023,8291024,"Alisaie","Alisaie"
3,499,0,8291046,8291047,8291048,8291049,8291050,8291051,8291052,8291053,8291054,8291055,8291056,8291057,8291058,8291059,8291060,8291061,8291062,8291063,8291064,8291065,8291066,8291067,8291068,8291046,8291047,"Thancred","Thancred"
4,500,0,8291069,8291070,8291071,8291072,8291073,8291074,8291075,8291076,8291077,8291078,8291079,8291080,8291081,8291082,8291083,8291084,8291085,8291086,8291087,8291088,8291089,8291090,8291091,8291069,8291070,"Urianger","Urianger"
5,501,0,8291092,8291093,8291094,8291095,8291096,8291097,8291098,8291099,8291100,8291101,8291102,8291103,8291104,8291105,8291106,8291107,8291108,8291109,8291110,8291111,8291112,8291113,8291114,8291092,8291093,"Y'shtola","Y'shtola"
6,502,0,8291115,8291116,8291117,8291118,8291119,8291120,8291121,8291122,8291123,8291124,8291125,8291126,8291127,8291128,8291129,8291130,8291131,8291132,8291133,8291134,8291135,8291136,8291137,8291115,8291116,"Estinien","Estinien"
7,503,0,8291138,8291139,8291140,8291141,8291142,8291143,8291144,8291145,8291146,8291147,8291148,8291149,8291150,8291151,8291152,8291153,8291154,8291155,8291156,8291157,8291158,8291159,8291160,8291138,8291139,"G'raha Tia","G'raha Tia"
8,504,0,8291161,8291162,8291163,8291164,8291165,8291166,8291167,8291168,8291169,8291170,8291171,8291172,8291173,8291174,8291175,8291176,8291177,8291178,8291179,8291180,8291181,8291182,8291183,8291161,8291162,"Krile","Krile"
9,547,0,8291184,8291185,8291186,8291187,8291188,8291189,8291190,8291191,8291192,8291193,8291194,8291195,8291196,8291197,8291198,8291199,8291200,8291201,8291202,8291203,8291204,8291205,8291206,8291184,8291187,"Wuk Lamat","Wuk Lamat"
10,548,0,8291207,8291208,8291209,8291210,8291211,8291212,8291213,8291214,8291215,8291216,8291217,8291218,8291219,8291220,8291221,8291222,8291223,8291224,8291225,8291226,8291227,8291228,8291229,8291208,8291209,"Koana","Koana"
11,549,0,8291230,8291231,8291232,8291233,8291234,8291235,8291236,8291237,8291238,8291239,8291240,8291241,8291242,8291243,8291244,8291245,8291246,8291247,8291248,8291249,8291250,8291251,8291252,8291231,8291234,"Bakool Ja Ja","Bakool Ja Ja"
