key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
#,BNpcName,TargetSmall,TargetLarge,,Endurance,Fire,Ice,Wind,Earth,Thunder,Water,Slashing,Piercing,Blunt,Magic,SlowResistance,PetrificationResistance,ParalysisResistance,SilenceResistance,BlindResistance,StunResistance,SleepResistance,BindResistance,HeavyResistance,InstaDeathResistance
int32,BNpcName,Image,Image,bit&01,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,bit&04
0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False
1,8076,63601,63701,False,12,0,0,0,0,0,0,0,0,21,0,False,False,False,False,False,False,False,False,False,False
2,8077,63602,63702,False,12,0,0,0,0,0,0,21,0,0,0,False,False,False,False,False,False,True,True,True,False
3,8078,63603,63703,False,12,21,0,20,0,0,0,21,21,21,0,False,False,False,False,False,False,False,False,False,False
4,8080,63604,63704,False,12,0,20,21,0,0,0,21,21,21,0,False,False,False,False,False,False,False,False,False,False
5,8082,63605,63705,False,12,0,0,0,20,21,0,21,21,21,0,False,False,False,False,False,False,False,False,False,False
6,8079,63606,63706,False,12,20,21,0,0,0,0,21,21,21,0,False,False,False,False,False,False,False,False,False,False
7,8083,63607,63707,False,12,0,0,0,0,20,21,21,21,21,0,False,False,False,False,False,False,False,False,False,False
8,8081,63608,63708,False,12,0,0,0,21,0,20,21,21,21,0,False,False,False,False,False,False,False,False,False,False
9,8084,63609,63709,False,14,0,0,0,21,0,20,0,0,0,0,False,True,False,False,False,True,True,True,True,True
10,8085,63610,63710,False,12,0,0,0,0,20,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False
11,8086,63611,63711,False,12,20,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False
12,8087,63612,63712,False,13,0,0,0,0,20,0,0,0,0,0,False,False,False,False,False,True,True,True,True,True
13,8088,63613,63713,False,11,0,0,0,0,20,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
14,8096,63614,63714,False,12,21,0,20,0,0,0,0,0,0,0,False,True,True,False,False,True,True,False,False,False
15,8097,63615,63715,False,12,20,21,0,0,0,0,0,0,0,0,False,True,True,False,False,True,True,False,False,False
16,8098,63616,63716,False,14,21,0,20,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,True,True
17,8124,63617,63717,False,14,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,True,True,True,True,True
18,8089,63618,63718,False,11,0,0,0,0,0,0,0,0,0,0,True,False,True,True,True,True,True,True,True,False
19,8090,63619,63719,False,12,0,0,0,0,0,0,0,0,0,0,False,True,True,False,True,True,True,False,False,True
20,8091,63620,63720,False,11,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False
21,8092,63621,63721,False,12,0,0,0,0,20,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False
22,8093,63622,63722,False,13,20,21,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False
23,8094,63623,63723,False,10,21,0,20,0,0,0,0,0,21,0,True,True,True,True,True,True,True,True,True,True
24,8095,63624,63724,False,14,0,0,0,0,20,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True
25,3046,63625,63725,False,13,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True
26,3047,63626,63726,False,14,20,0,0,0,0,0,0,0,0,0,True,True,True,False,True,True,True,True,True,True
27,8116,63627,63727,False,12,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,True,True,True,True
28,4916,63628,63728,False,10,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True
29,8100,63629,63729,False,14,0,0,0,0,0,0,21,0,0,0,False,True,True,False,False,True,True,True,True,True
30,8099,63630,63730,False,13,0,0,0,0,0,0,21,21,21,0,False,True,True,False,False,True,True,True,True,True
31,8125,63631,63731,False,13,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,True,True,True,True,True
32,8126,63632,63732,False,12,0,0,0,0,0,0,21,21,21,0,False,False,False,True,False,False,False,False,False,False
33,8127,63633,63733,False,12,0,0,0,0,0,0,0,0,0,21,False,True,True,False,False,True,True,True,True,False
34,8128,63634,63734,False,13,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,True,True,True,True,True
35,8114,63635,63735,False,12,0,0,0,0,20,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False
