key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
#,Content[0],Content[1],Content[2],Content[3],Content[4],Content[5],Content[6],Content[7],Content[8],Content[9],Content[10],Content[11],Content[12],Content[13],Content[14],Content[15],CandidateName[0],CandidateName[1],CandidateName[2],CandidateName[3],CandidateName[4],CandidateName[5],CandidateName[6],CandidateName[7],CandidateName[8],CandidateName[9],CandidateName[10],CandidateName[11],CandidateName[12],CandidateName[13],CandidateName[14],CandidateName[15]
int32,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,ContentFinderCondition,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName,OpenContentCandidateName
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,654,716,750,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0
3,658,667,693,739,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,25,0,0,0,0,0,0,0,0,0,0,0,0
4,264,244,278,538,291,597,638,280,539,694,0,0,0,0,0,0,9,10,11,12,13,14,15,16,17,18,0,0,0,0,0,0
5,718,763,782,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0
6,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,256,292,591,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0
8,803,791,846,871,788,0,0,0,0,0,0,0,0,0,0,0,29,30,32,37,33,0,0,0,0,0,0,0,0,0,0,0
9,809,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,878,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
