key,0,1,2
#,FirstQuest,LastQuest,
int32,CompleteJournal,CompleteJournal,int32
0,0,622,0
1,622,869,1
2,869,986,1
3,986,1080,1
4,1080,1105,1
5,1105,1124,1
6,1124,1246,1
7,1246,1286,1
8,1286,1392,1
9,1392,1424,1
10,1424,1440,1
11,1440,1446,1
12,1446,1457,1
13,1457,1472,1
14,1472,1482,1
15,1482,1489,1
16,1489,1504,1
17,1504,1516,1
18,1516,1521,1
19,1521,1534,1
20,1534,1542,1
21,1542,1543,1
22,1543,1583,2
23,1583,1617,2
24,1617,1652,2
25,1652,1687,2
26,1687,1722,2
27,1722,1757,2
28,1757,1799,2
29,1799,1837,2
30,1837,1863,2
31,1863,1901,2
32,1901,1933,2
33,1933,1967,2
34,1967,2002,2
35,2002,2164,2
36,2164,2292,3
37,2292,2413,3
38,2413,2550,3
39,2550,2633,3
40,2633,2670,3
41,2670,2693,3
42,2693,2729,3
43,2729,2901,3
44,2901,2915,3
45,2915,3021,3
46,3021,3163,3
47,3163,3183,3
48,3183,3231,3
49,3231,3288,3
50,3288,3339,3
51,3339,3382,3
52,3382,3428,3
53,3428,3447,3
54,3447,3507,2
55,3507,3538,2
56,3538,3714,2
57,3714,3780,2
58,3780,3797,2
59,3797,3983,2
60,3983,4107,2
61,4107,4132,2
62,4132,4147,2
63,4147,4342,2
64,4342,4356,2
65,4356,4563,3
66,4563,4663,3
67,4663,4769,3
68,4769,4869,3
69,4869,4990,3
70,4990,5110,3
71,5110,5230,3
72,5230,5350,3
73,5350,5470,3
74,5470,5590,3
75,5590,5710,3
76,5710,5830,3
77,0,0,3
78,0,0,3
79,0,0,3
80,0,0,3
81,0,0,3
82,0,0,3
83,0,0,3
84,0,0,3
85,0,0,3
86,0,0,3
87,0,0,3
88,0,0,3
89,0,0,2
90,5830,5896,2
91,5896,5985,2
92,5985,6080,2
93,6080,6150,2
94,6150,6184,2
95,0,0,2
