key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,,,,,,,,,,,,,,,,
int32,byte,uint32,byte,byte,uint32,byte,byte,uint32,byte,byte,uint32,byte,byte,uint32,uint16,uint32
39920,1,1403,5,1,1405,5,1,1406,5,1,1408,5,1,40322,1,80851
39921,1,1404,7,2,1403,7,2,1405,7,2,1406,7,2,40322,1,80852
39922,1,1403,7,2,1405,7,2,1406,7,2,1408,7,2,40322,1,80853
39923,1,1404,7,2,1403,7,2,1405,7,2,1406,7,2,40322,1,80854
39924,1,1404,7,2,1403,7,2,1405,7,2,1406,7,2,40322,1,80855
39925,1,1404,7,2,1403,7,2,1405,7,2,1406,7,2,40322,1,80860
39926,1,1403,7,2,1405,7,2,1406,7,2,1408,7,2,40322,1,80862
39927,1,1404,7,2,1403,7,2,1405,7,2,1406,7,2,40322,1,80861
39928,1,1403,7,2,1405,7,2,1407,7,2,1409,7,2,40322,1,80856
39929,1,1404,7,2,1403,7,2,1405,7,2,1407,7,2,40322,1,80857
39930,1,1404,7,2,1403,7,2,1405,7,2,1407,7,2,40322,1,80858
39931,1,1403,7,2,1405,7,2,1407,7,2,1409,7,2,40322,1,80859
39932,1,1403,7,2,1405,7,2,1407,7,2,1409,7,2,40322,1,80863
39933,1,1404,7,2,1403,7,2,1405,7,2,1406,7,2,40322,1,80864
39934,1,1404,7,2,1403,7,2,1405,7,2,1407,7,2,40322,1,80865
39935,1,1403,7,2,1405,7,2,1406,7,2,1408,7,2,40322,1,80866
39936,1,1404,7,2,1403,7,2,1405,7,2,1406,7,2,40322,1,80867
39937,1,1403,7,2,1405,7,2,1407,7,2,1409,7,2,40322,1,80868
39938,1,1404,7,2,1403,7,2,1405,7,2,1406,7,2,40322,1,80869
39939,1,1403,3,0,1405,3,0,1406,3,0,1408,3,0,0,0,0
