key,0,1,2,3,4,5,6,7,8
#,,,,,,,,,
int32,uint16,byte,uint16,uint16,uint16,bool,bool,bool,byte
0,0,0,0,0,0,False,False,False,0
1,1558,0,164,165,166,True,True,True,0
2,1559,0,167,168,329,True,True,True,0
3,1560,0,169,170,171,True,True,True,0
4,1561,0,172,173,174,True,True,True,0
5,1562,0,175,176,177,True,True,True,0
6,1563,0,178,179,180,True,True,True,0
7,1564,0,181,182,183,True,True,True,0
8,1565,0,184,185,0,True,True,True,0
9,1566,0,186,187,188,True,True,True,0
10,1567,0,189,190,191,True,True,True,0
11,1568,0,192,193,0,True,True,True,0
12,1569,0,194,195,196,True,True,True,0
13,1570,0,197,198,199,True,True,True,0
14,1571,0,200,201,202,True,True,True,0
15,1572,0,203,204,0,True,True,True,0
16,1573,0,205,206,0,True,True,True,0
17,1574,0,207,208,209,True,True,True,0
18,1575,0,210,211,212,True,True,True,0
19,1576,0,213,328,0,True,True,True,0
20,1577,0,216,217,218,True,True,True,0
21,1578,0,219,220,221,True,True,True,0
22,1579,0,222,223,224,True,True,True,0
23,1580,0,225,226,0,True,True,True,0
24,1581,0,227,228,229,True,True,True,0
25,1582,0,230,231,0,True,True,True,0
26,1583,0,232,233,0,True,True,True,0
27,1584,0,234,0,0,True,True,True,0
28,1585,0,235,0,0,True,True,True,0
29,1588,0,247,248,249,True,True,True,0
30,1589,0,250,251,252,True,True,True,0
31,1587,0,253,0,0,True,True,True,0
32,1586,0,254,0,0,True,True,True,0
33,1590,0,255,256,0,True,True,True,0
34,1591,0,308,309,310,True,True,True,0
35,1592,0,311,312,313,True,True,True,0
36,1593,0,314,315,0,True,True,True,0
37,1594,0,316,317,318,True,True,True,0
38,1595,0,319,320,321,True,True,True,0
39,1596,0,322,323,324,True,True,True,0
40,1597,0,325,326,327,True,True,True,0
41,0,0,0,0,0,False,False,False,0
42,0,0,0,0,0,False,False,False,0
43,0,0,0,0,0,False,False,False,0
44,0,0,0,0,0,False,False,False,0
45,0,0,0,0,0,False,False,False,0
46,0,0,0,0,0,False,False,False,0
47,0,0,0,0,0,False,False,False,0
48,0,0,0,0,0,False,False,False,0
49,0,0,0,0,0,False,False,False,0
50,0,0,0,0,0,False,False,False,0
