key,0,1,2
#,Tag,Icon,Order
int32,str,Image,byte
0,"None",0,0
1,"Emporium",66401,1
2,"Boutique",66402,2
3,"Designer Home",66403,3
4,"Message Book",66404,4
5,"Tavern",66405,5
6,"Eatery",66406,6
7,"Immersive Experience",66407,21
8,"Café",66411,24
9,"Aquarium",66408,22
10,"Sanctum",66409,23
11,"Venue",66410,50
12,"Florist",66412,25
13,"",0,0
14,"Library",66414,26
15,"Photo Studio",66413,51
16,"Haunted House",66415,52
17,"Atelier",66416,27
18,"Bathhouse",66417,28
19,"Garden",66418,29
20,"Far Eastern",66419,80
21,"Visitors Welcome",66420,19
22,"Bakery",66421,30
23,"Under Renovation",66422,20
24,"Concert Hall",66423,31
