key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,,,,,,,,,,,,,,
int32,bit&01,int32,uint16,str,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
0,False,0,0,"",0,0,0,0,0,0,0,0,0,0
1,False,0,0,"",0,0,0,0,0,0,0,0,0,0
2,False,0,0,"",0,0,0,0,0,0,0,0,0,0
3,False,0,0,"",0,0,0,0,0,0,0,0,0,0
4,False,0,0,"",0,0,0,0,0,0,0,0,0,0
5,False,0,0,"",0,0,0,0,0,0,0,0,0,0
6,False,0,0,"",0,0,0,0,0,0,0,0,0,0
7,False,0,0,"",0,0,0,0,0,0,0,0,0,0
8,False,0,0,"",0,0,0,0,0,0,0,0,0,0
9,False,0,0,"",0,0,0,0,0,0,0,0,0,0
10,False,0,0,"",0,0,0,0,0,0,0,0,0,0
11,False,0,0,"",0,0,0,0,0,0,0,0,0,0
12,False,0,0,"",0,0,0,0,0,0,0,0,0,0
13,False,0,0,"",0,0,0,0,0,0,0,0,0,0
14,False,0,0,"",0,0,0,0,0,0,0,0,0,0
15,False,0,0,"",0,0,0,0,0,0,0,0,0,0
16,False,0,0,"",0,0,0,0,0,0,0,0,0,0
17,False,0,0,"",0,0,0,0,0,0,0,0,0,0
18,False,0,0,"",0,0,0,0,0,0,0,0,0,0
19,False,0,0,"",0,0,0,0,0,0,0,0,0,0
20,False,0,0,"",0,0,0,0,0,0,0,0,0,0
