key,0,1,2
#,,,
int32,uint32,uint32,byte
0,0,0,0
1,66260,353,2
2,66260,354,3
3,66391,355,4
4,66503,356,5
5,66393,357,6
6,66393,358,7
7,66260,344,12
8,66260,345,13
9,66312,346,14
10,66335,347,15
11,66260,348,22
12,66260,349,23
13,66054,350,24
14,66358,351,25
15,66060,352,26
16,66541,359,31
17,66488,360,41
18,67142,361,42
19,67183,365,43
20,67203,366,44
21,67152,362,46
22,67195,363,47
23,67162,364,48
24,67205,0,45
25,66060,0,1
26,66060,0,11
27,66060,0,21
28,68068,0,52
29,68080,0,53
30,68086,0,54
31,68089,0,51
32,68025,0,62
33,68032,0,63
34,68051,0,64
35,68089,0,61
