key,0,1
#,,
int32,uint32,str
0,0,""
1,0,""
2,2,"Find a potential customer."
3,3,"View the stone pillars."
4,4,"View the stone pillars."
5,5,"Select an item."
6,0,""
7,7,"Gather information and prepare for the auction."
8,8,"Help define Picot's Seneschal Prince persona."
9,9,"Observe the plants in Weddingway's Bower."
10,10,"Tell Sphene about the city!"
11,11,"Enter a combination and press the confirm key."
12,12,"Examine the jewel display plate."
13,13,"Take in the view from the Iridized Rise."
