key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,,Name,Icon,Action,StackSize,,Quest,CastTime,CastTimeline,Timeline
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,bit&01,str,Image,Action,byte,byte,Quest,byte,EventItemCastTimeline,byte
2000000,"[en]",0,"",0,0,1,0,0,False,"",0,0,1,1,0,0,0,0
2000021,"wooden hairpin",0,"wooden hairpins",0,0,1,0,0,False,"Wooden Hairpin",22623,1,1,1,0,3,0,0
2000024,"recruit's toolbox",0,"recruit's toolboxes",0,0,1,0,0,False,"Recruit's Toolbox",21002,1,1,1,65563,3,0,0
2000028,"Azeyma rose",0,"Azeyma roses",0,1,1,0,0,False,"Azeyma Rose",25919,1,1,1,65562,3,0,0
2000029,"iron snaffle",0,"iron snaffles",0,1,1,0,0,False,"Iron Snaffle",21007,1,1,1,65568,3,0,0
2000038,"fire candy",0,"fire candies",0,0,1,0,0,False,"Fire Candy",22624,1,1,1,66704,3,0,0
2000039,"wind candy",0,"wind candies",0,0,1,0,0,False,"Wind Candy",22625,1,1,1,66704,3,0,0
2000040,"earth candy",0,"earth candies",0,1,1,0,0,False,"Earth Candy",22626,1,1,1,66704,3,0,0
2000041,"bomb digit",0,"bomb digits",0,0,1,0,0,False,"Bomb Digit",30201,1,5,1,66705,3,0,0
2000042,"warding lantern",0,"warding lantern",0,0,1,0,0,False,"Warding Lantern",24153,1,1,1,66706,5,0,0
2000043,"bomb digit",0,"bomb digits",0,0,1,0,0,False,"Bomb Digit",30201,1,1,1,66706,3,0,0
2000044,"spooky sparkler",0,"spooky sparkler",0,0,1,0,0,False,"Spooky Sparkler",22647,1,1,1,66706,3,0,0
2000045,"fire candy",0,"fire candies",0,0,1,0,0,False,"Fire Candy",22624,1,1,1,66700,3,0,0
2000046,"wind candy",0,"wind candies",0,0,1,0,0,False,"Wind Candy",22625,1,1,1,66700,3,0,0
2000047,"earth candy",0,"earth candies",0,1,1,0,0,False,"Earth Candy",22626,1,1,1,66700,3,0,0
