key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
#,Icon{Actor},Icon{Map},Name,Script{Instruction}[0],Script{Instruction}[1],Script{Instruction}[2],Script{Instruction}[3],Script{Instruction}[4],Script{Instruction}[5],Script{Instruction}[6],Script{Instruction}[7],Script{Instruction}[8],Script{Instruction}[9],Script{Instruction}[10],Script{Instruction}[11],Script{Instruction}[12],Script{Instruction}[13],Script{Instruction}[14],Script{Instruction}[15],Script{Instruction}[16],Script{Instruction}[17],Script{Instruction}[18],Script{Instruction}[19],Script{Instruction}[20],Script{Instruction}[21],Script{Instruction}[22],Script{Instruction}[23],Script{Instruction}[24],Script{Instruction}[25],Script{Instruction}[26],Script{Instruction}[27],Script{Instruction}[28],Script{Instruction}[29],Script{Arg}[0],Script{Arg}[1],Script{Arg}[2],Script{Arg}[3],Script{Arg}[4],Script{Arg}[5],Script{Arg}[6],Script{Arg}[7],Script{Arg}[8],Script{Arg}[9],Script{Arg}[10],Script{Arg}[11],Script{Arg}[12],Script{Arg}[13],Script{Arg}[14],Script{Arg}[15],Script{Arg}[16],Script{Arg}[17],Script{Arg}[18],Script{Arg}[19],Script{Arg}[20],Script{Arg}[21],Script{Arg}[22],Script{Arg}[23],Script{Arg}[24],Script{Arg}[25],Script{Arg}[26],Script{Arg}[27],Script{Arg}[28],Script{Arg}[29],,MainOption,SubOption,,,,,,,,,,SpecialLinks,,,
int32,Image,Image,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,bit&01,str,str,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,Row,byte,byte,bit&04
720896,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"Small Talk","",False,False,False,False,False,False,False,False,False,0,0,0,True
720897,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"","",False,False,False,False,False,False,False,False,False,0,0,0,False
720898,0,60551,"CmnDefMogLetter_00002","HOWTO_MOGLETTER","DENINED_LETTERS","LETTER_BOX_USAGE","CLEAR_QUEST0","CLEAR_QUEST1","CLEAR_QUEST2","THE1ST_MOOGLE_01","THE1ST_MOOGLE_02","THE1ST_MOOGLE_03","THE1ST_MOOGLE_04","THE1ST_MOOGLE_05","THE1ST_MOOGLE_06","THE1ST_MOOGLE_07","THE1ST_OPEN_QUEST","THE1ST_OPEN_QUEST_SEQ","","","","","","","","","","","","","","","",22,3902,3903,67017,67106,65898,1027996,1029989,1028310,1027455,1030437,1027965,1027964,68817,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"Small Talk","",False,True,False,False,False,False,False,False,False,0,0,0,True
720899,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"","",False,False,False,False,False,False,False,False,False,0,0,0,False
720900,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"","",False,False,False,False,False,False,False,False,False,0,0,0,False
720901,0,0,"RegFstAdvGuild_00005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"Small Talk","",False,False,False,False,False,False,False,False,False,0,0,0,True
720902,0,0,"CmnDefLinkShell_00006","SUCCESS_LOG","HOWTO_LINKSHELL","INFO_ERROR_1","INFO_ERROR_2","","","","","","","","","","","","","","","","","","","","","","","","","","",485,17,364,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"Small Talk","",False,False,False,False,False,False,False,False,False,0,0,0,True
720903,0,0,"RegFstLncGuild_00007","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","QST_AKTKMG115","","","","","","","","","","","","","","","","","","","","","","","","",65975,66608,65964,66604,67168,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"Small Talk","",False,False,False,False,False,False,False,False,False,0,0,0,True
720904,0,0,"RegFstArcGuild_00008","QUEST0","QUEST1","QUEST2","QUEST3","QUEST4","QST_AKTKMG115","","","","","","","","","","","","","","","","","","","","","","","","",65612,66626,65964,66622,67168,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"Small Talk","",False,False,False,False,False,False,False,False,False,0,0,0,True
720905,0,0,"CmnDefRetainerDesk_00009","RETAINER_SUCCESS_EMPLOY","RETAINER_SUCCESS_ASSIGN_MARKET","LIMSA","GRIDANIA","ULDAH","RETAINER_SUCCESS_DISMISS","REWARD_RETAINER","NPC_OF_LIMSA","NPC_OF_GRIDANIA","NPC_OF_ULDAH","REGISTERING_CONTENT_FINDER","OTHER_WORLD","RETAINER_REMAKE_COMPLETE","ISHGARD","NPC_OF_ISHGARD","ITEM_RETAINER_JOB_SCROLL","ITEM_SCROLL_TRADE_COIN","NUM_SCROLL_TRADE_COIN","TOWN40","NPC_OF_TOWN40","ENEABLE_TOWN50_QUEST","OLDSHARLAYAN","NPC_OF_OLDSHARLAYAN","TULIYOLLAL","NPC_OF_TULIYOLLAL","","","","","",394,396,1,2,3,395,3,1003275,1000233,1001963,25,40,406,4,1011198,14044,7796,40,7,1018983,68817,12,1037056,14,1048384,0,0,0,0,0,False,"Retainer Options","",False,False,False,False,False,False,False,False,False,0,0,0,True
720906,0,60425,"CmnDefRetainerCall_00010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"Summon Retainer","",False,True,False,False,False,False,False,False,False,0,0,0,True
